Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,62.267163,[220  64] ; [36 68],[187.3814433  96.6185567] ; [68.6185567 35.3814433],1
d3,1,0.0,34.065098,[234  51] ; [55 49],[211.73521851  73.26478149] ; [77.26478149 26.73521851],1
u1,1,2e-06,23.068473,[ 90 195] ; [ 8 96],[ 71.79948586 213.20051414] ; [26.20051414 77.79948586],1
a2,1,2e-06,22.669637,[104 181] ; [12 92],[ 84.98714653 200.01285347] ; [31.01285347 72.98714653],1
b5,1,4e-05,16.884664,[189  96] ; [45 59],[171.43958869 113.56041131] ; [62.56041131 41.43958869],1
s8,1,0.003389,8.585184,[170 114] ; [79 25],[182.25773196 101.74226804] ; [66.74226804 37.25773196],0
d1,1,0.004373,8.121901,[224  61] ; [67 37],[213.20051414  71.79948586] ; [77.79948586 26.20051414],0
p2,1,0.005312,7.769989,[249  34] ; [78 24],[240.36623377  42.63376623] ; [86.63376623 15.36623377],0
r2,1,0.006708,7.349608,[278   3] ; [98  6],[274.43116883   6.56883117] ; [101.56883117   2.43116883],0
b1,1,0.009267,6.770657,[101 184] ; [52 52],[112.09511568 172.90488432] ; [40.90488432 63.09511568],0
s7,1,0.018031,5.593174,[185  87] ; [79 19],[194.07567568  77.92432432] ; [69.92432432 28.07567568],0
n1,1,0.020436,5.374286,[19 37] ; [19 13],[24.18181818 31.81818182] ; [13.81818182 18.18181818],0
r4,1,0.023199,5.153534,[267  18] ; [90 14],[261.55526992  23.44473008] ; [95.44473008  8.55526992],0
a1,1,0.043763,4.065663,[ 14 271] ; [11 93],[ 18.31619537 266.68380463] ; [ 6.68380463 97.31619537],0
p9,1,0.0461,3.977936,[252  26] ; [85 17],[246.54210526  31.45789474] ; [90.45789474 11.54210526],0
r1,1,0.04673,3.955079,[241  41] ; [80 24],[234.51295337  47.48704663] ; [86.48704663 17.51295337],0
p10,1,0.104798,2.630967,[246  34] ; [83 19],[241.15183246  38.84816754] ; [87.84816754 14.15183246],0
b4,1,0.105659,2.61798,[174 111] ; [54 50],[167.0437018 117.9562982] ; [60.9562982 43.0437018],0
b2,1,0.126562,2.334172,[ 59 107] ; [34 40],[ 64.325 101.675] ; [28.675 45.325],0
b3,1,0.126562,2.334172,[ 59 107] ; [34 40],[ 64.325 101.675] ; [28.675 45.325],0
