Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.0,54.602104,[265  71] ; [55 72],[232.22462203 103.77537797] ; [87.77537797 39.22462203],1
d2,1,0.0,37.508094,[184 151] ; [29 97],[154.78308026 180.21691974] ; [58.21691974 67.78308026],1
d4,1,0.0,36.755413,[291  45] ; [77 49],[267.63636364  68.36363636] ; [100.36363636  25.63636364],1
d1,1,0.0,36.742923,[214 122] ; [41 86],[185.05399568 150.94600432] ; [69.94600432 57.05399568],1
d5,1,0.0,34.524618,[286  50] ; [76 51],[262.70410367  73.29589633] ; [99.29589633 27.70410367],1
a4,1,0.0,30.855518,[164 171] ; [ 26 101],[137.77056277 197.22943723] ; [52.22943723 74.77056277],1
a6,1,2e-06,22.400807,[258  78] ; [69 58],[237.30453564  98.69546436] ; [89.69546436 37.30453564],1
r1,1,3e-06,21.559335,[283  51] ; [82 44],[265.02173913  68.97826087] ; [99.97826087 26.02173913],1
s7,1,2.8e-05,17.542895,[152 167] ; [32 92],[132.496614 186.503386] ; [51.503386 72.496614],1
u1,1,2.9e-05,17.510656,[ 66 270] ; [  5 122],[ 51.52483801 284.47516199] ; [ 19.47516199 107.52483801],1
p4,1,0.000347,12.799669,[178 157] ; [43 82],[160.94565217 174.05434783] ; [60.05434783 64.94565217],1
b2,1,0.000476,12.207168,[ 85 135] ; [10 55],[ 73.33333333 146.66666667] ; [21.66666667 43.33333333],1
b3,1,0.000476,12.207168,[ 85 135] ; [10 55],[ 73.33333333 146.66666667] ; [21.66666667 43.33333333],1
n4,1,0.00054,11.973216,[266  70] ; [80 46],[251.63636364  84.36363636] ; [94.36363636 31.63636364],1
p3,1,0.001035,10.764174,[154 181] ; [37 90],[138.495671 196.504329] ; [52.504329 74.495671],0
v1,1,0.00118,10.521046,[170 151] ; [44 79],[154.71621622 166.28378378] ; [59.28378378 63.71621622],0
r4,1,0.002867,8.890289,[306  30] ; [103  24],[296.81209503  39.18790497] ; [112.18790497  14.81209503],0
