Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1.6e-05,18.589515,[38 10] ; [ 6 17],[29.74647887 18.25352113] ; [14.25352113  8.74647887],1
s7,1,0.000441,12.349853,[35 11] ; [ 7 15],[28.41176471 17.58823529] ; [13.58823529  8.41176471],1
a4,1,0.002005,9.545137,[27 21] ; [ 4 19],[20.95774648 27.04225352] ; [10.04225352 12.95774648],0
d2,1,0.003001,8.80666,[30 17] ; [ 6 17],[24.17142857 22.82857143] ; [11.82857143 11.17142857],0
r1,1,0.007585,7.128989,[41  7] ; [13 10],[36.50704225 11.49295775] ; [17.49295775  5.50704225],0
u1,1,0.011118,6.446433,[15 33] ; [ 1 22],[10.81690141 37.18309859] ; [ 5.18309859 17.81690141],0
d1,1,0.011371,6.406416,[30 18] ; [ 7 16],[25.01408451 22.98591549] ; [11.98591549 11.01408451],0
a5,1,0.023499,5.131244,[36 12] ; [11 12],[31.77464789 16.22535211] ; [15.22535211  7.77464789],0
a3,1,0.026284,4.937268,[34 14] ; [10 13],[29.74647887 18.25352113] ; [14.25352113  8.74647887],0
s3,1,0.039002,4.260795,[42  5] ; [16  7],[38.94285714  8.05714286] ; [19.05714286  3.94285714],0
n6,1,0.047132,3.940661,[38 10] ; [13 10],[34.47887324 13.52112676] ; [16.52112676  6.47887324],0
v1,1,0.072627,3.222619,[25 22] ; [ 7 16],[21.48571429 25.51428571] ; [10.51428571 12.48571429],0
a8,1,0.089269,2.8875,[ 9 35] ; [ 1 21],[ 6.66666667 37.33333333] ; [ 3.33333333 18.66666667],0
p11,1,0.090418,2.866919,[27 21] ; [ 8 15],[23.66197183 24.33802817] ; [11.33802817 11.66197183],0
a2,1,0.106115,2.611147,[12 36] ; [ 2 21],[ 9.46478873 38.53521127] ; [ 4.53521127 18.46478873],0
p2,1,0.123437,2.373154,[34 14] ; [12 11],[31.09859155 16.90140845] ; [14.90140845  8.09859155],0
n3,1,0.132391,2.264245,[11  5] ; [2 4],[9.45454545 6.54545455] ; [3.54545455 2.45454545],0
p9,1,0.147305,2.099939,[21 25] ; [ 6 16],[18.26470588 27.73529412] ; [ 8.73529412 13.26470588],0
v3,1,0.161999,1.955471,[18 27] ; [ 5 17],[15.44776119 29.55223881] ; [ 7.55223881 14.44776119],0
d4,1,0.164841,1.929248,[41  6] ; [17  6],[38.94285714  8.05714286] ; [19.05714286  3.94285714],0
b4,1,0.178855,1.807114,[31 17] ; [11 12],[28.3943662 19.6056338] ; [13.6056338  9.3943662],0
r4,1,0.183521,1.768875,[40  8] ; [16  7],[37.85915493 10.14084507] ; [18.14084507  4.85915493],0
d3,1,0.195648,1.67457,[32 15] ; [12 11],[29.54285714 17.45714286] ; [14.45714286  8.54285714],0
d5,1,0.224606,1.474695,[37 10] ; [15  8],[34.91428571 12.08571429] ; [17.08571429  5.91428571],0
u2,1,0.224728,1.473923,[8 6] ; [4 8],[6.46153846 7.53846154] ; [5.53846154 6.46153846],0
s8,1,0.227818,1.454431,[24 24] ; [ 8 15],[21.63380282 26.36619718] ; [10.36619718 12.63380282],0
n1,1,0.239559,1.383185,[7 9] ; [1 5],[ 5.81818182 10.18181818] ; [2.18181818 3.81818182],0
r3,1,0.28089,1.162777,[42  6] ; [22  1],[43.26760563  4.73239437] ; [20.73239437  2.26760563],0
p3,1,0.316811,1.002068,[19 29] ; [12 11],[20.95774648 27.04225352] ; [10.04225352 12.95774648],0
u3,1,0.344503,0.893601,[10  4] ; [7 6],[8.81481481 5.18518519] ; [8.18518519 4.81481481],0
a6,1,0.347506,0.882543,[23 24] ; [14  9],[24.84285714 22.15714286] ; [12.15714286 10.84285714],0
r2,1,0.349798,0.874191,[44  3] ; [20  3],[42.97142857  4.02857143] ; [21.02857143  1.97142857],0
n2,1,0.350122,0.873016,[10  6] ; [5 1],[10.90909091  5.09090909] ; [4.09090909 1.90909091],0
s5,1,0.429748,0.623505,[17 29] ; [ 6 16],[15.55882353 30.44117647] ; [ 7.44117647 14.55882353],0
p6,1,0.431788,0.618009,[17 31] ; [ 6 17],[15.54929577 32.45070423] ; [ 7.45070423 15.54929577],0
p8,1,0.555195,0.348092,[17 30] ; [10 13],[18.12857143 28.87142857] ; [ 8.87142857 14.12857143],0
p7,1,0.609185,0.261364,[21 25] ; [12 11],[22. 24.] ; [11. 12.],0
b1,1,0.616724,0.250498,[26 22] ; [11 12],[25.01408451 22.98591549] ; [11.98591549 11.01408451],0
v2,1,0.66405,0.188642,[24 23] ; [10 12],[23.15942029 23.84057971] ; [10.84057971 11.15942029],0
s4,1,0.664825,0.187716,[12 35] ; [ 7 16],[12.75714286 34.24285714] ; [ 6.24285714 16.75714286],0
p4,1,0.725658,0.123136,[25 23] ; [13 10],[25.69014085 22.30985915] ; [12.30985915 10.69014085],0
v4,1,0.743224,0.107314,[43  5] ; [20  3],[42.5915493  5.4084507] ; [20.4084507  2.5915493],0
a1,1,0.744947,0.105826,[ 3 45] ; [ 1 22],[ 2.70422535 45.29577465] ; [ 1.29577465 21.70422535],0
s1,1,0.819922,0.051823,[ 5 43] ; [ 2 21],[ 4.73239437 43.26760563] ; [ 2.26760563 20.73239437],0
b3,1,0.854311,0.033716,[11 22] ; [4 7],[11.25 21.75] ; [3.75 7.25],0
b2,1,0.854311,0.033716,[11 22] ; [4 7],[11.25 21.75] ; [3.75 7.25],0
b5,1,0.894639,0.01754,[30 18] ; [14  9],[29.74647887 18.25352113] ; [14.25352113  8.74647887],0
s6,1,0.939223,0.005813,[40  8] ; [19  4],[39.88732394  8.11267606] ; [19.11267606  3.88732394],0
a7,1,0.97085,0.001335,[29 19] ; [14  9],[29.07042254 18.92957746] ; [13.92957746  9.07042254],0
p1,1,0.97928,0.000675,[ 4 43] ; [ 2 21],[ 4.02857143 42.97142857] ; [ 1.97142857 21.02857143],0
