Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,49.369909,[106  65] ; [16 78],[78.7245283 92.2754717] ; [43.2754717 50.7245283],1
v1,1,0.001063,10.715104,[117  53] ; [46 49],[104.56603774  65.43396226] ; [58.43396226 36.56603774],0
n6,1,0.019966,5.41487,[157  15] ; [80 18],[150.97777778  21.02222222] ; [86.02222222 11.97777778],0
s4,1,0.095292,2.782627,[ 28 145] ; [24 74],[ 33.19557196 139.80442804] ; [18.80442804 79.19557196],0
n5,1,0.099532,2.713021,[141  31] ; [72 26],[135.68888889  36.31111111] ; [77.31111111 20.68888889],0
s7,1,0.101365,2.683929,[130  34] ; [66 28],[124.58914729  39.41085271] ; [71.41085271 22.58914729],0
p11,1,0.103088,2.657109,[144  30] ; [73 25],[138.81617647  35.18382353] ; [78.18382353 19.81617647],0
r3,1,0.107667,2.588138,[170   4] ; [92  6],[167.60294118   6.39705882] ; [94.39705882  3.60294118],0
a3,1,0.121321,2.40018,[141  32] ; [72 26],[135.97416974  37.02583026] ; [77.02583026 20.97416974],0
r1,1,0.129152,2.302673,[154  19] ; [80 17],[149.93333333  23.06666667] ; [84.06666667 12.93333333],0
u1,1,0.152225,2.049809,[ 57 117] ; [24 74],[ 51.81617647 122.18382353] ; [29.18382353 68.81617647],0
p6,1,0.159407,1.97984,[85 86] ; [40 58],[79.46096654 91.53903346] ; [45.53903346 52.46096654],0
p12,1,0.166504,1.914145,[ 24 150] ; [ 8 90],[ 20.47058824 153.52941176] ; [11.52941176 86.47058824],0
n2,1,0.169145,1.890502,[28  6] ; [16  8],[25.79310345  8.20689655] ; [18.20689655  5.79310345],0
s6,1,0.184437,1.761504,[140  32] ; [85 12],[143.866171  28.133829] ; [81.133829 15.866171],0
s5,1,0.194225,1.685273,[79 85] ; [37 56],[74.0233463 89.9766537] ; [41.9766537 51.0233463],0
d5,1,0.201054,1.634704,[155  19] ; [82 16],[151.61029412  22.38970588] ; [85.38970588 12.61029412],0
p7,1,0.211303,1.562479,[122  46] ; [62 33],[117.53612167  50.46387833] ; [66.46387833 28.53612167],0
a6,1,0.214608,1.540065,[140  33] ; [73 25],[135.97416974  37.02583026] ; [77.02583026 20.97416974],0
d4,1,0.258873,1.274775,[154  20] ; [82 16],[150.97058824  23.02941176] ; [85.02941176 12.97058824],0
a5,1,0.261801,1.259208,[143  31] ; [75 23],[139.45588235  34.54411765] ; [78.54411765 19.45588235],0
p3,1,0.304428,1.054697,[100  74] ; [50 48],[95.95588235 78.04411765] ; [54.04411765 43.95588235],0
n4,1,0.310693,1.027728,[145  29] ; [76 21],[141.89667897  32.10332103] ; [79.10332103 17.89667897],0
b4,1,0.323941,0.972969,[110  64] ; [56 42],[106.19117647  67.80882353] ; [59.80882353 38.19117647],0
p10,1,0.334425,0.931686,[154  18] ; [83 14],[151.53903346  20.46096654] ; [85.46096654 11.53903346],0
r2,1,0.340536,0.908411,[167   5] ; [91  5],[165.58208955   6.41791045] ; [92.41791045  3.58208955],0
a8,1,0.356205,0.851229,[ 30 119] ; [14 77],[ 27.31666667 121.68333333] ; [16.68333333 74.31666667],0
s2,1,0.359651,0.839112,[122  49] ; [64 33],[118.67910448  52.32089552] ; [67.32089552 29.67910448],0
d1,1,0.361135,0.833942,[128  46] ; [67 31],[124.74264706  49.25735294] ; [70.25735294 27.74264706],0
d2,1,0.361907,0.831265,[104  70] ; [53 45],[100.43382353  73.56617647] ; [56.56617647 41.43382353],0
r4,1,0.377331,0.779379,[166   8] ; [91  7],[164.40441176   9.59558824] ; [92.59558824  5.40441176],0
b1,1,0.405475,0.69203,[ 57 117] ; [37 61],[ 60.13235294 113.86764706] ; [33.86764706 64.13235294],0
