Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,8.5e-05,15.442332,[11  2] ; [ 4 19],[5.41666667 7.58333333] ; [ 9.58333333 13.41666667],1
d3,1,0.00761,7.123008,[12  1] ; [11 12],[8.30555556 4.69444444] ; [14.69444444  8.30555556],0
p7,1,0.008339,6.959197,[8 5] ; [22  1],[10.83333333  2.16666667] ; [19.16666667  3.83333333],0
a4,1,0.010948,6.473776,[7 6] ; [ 3 19],[3.71428571 9.28571429] ; [ 6.28571429 15.71428571],0
a5,1,0.011668,6.360631,[9 4] ; [ 6 17],[5.41666667 7.58333333] ; [ 9.58333333 13.41666667],0
s6,1,0.038774,4.270737,[10  3] ; [ 9 13],[7.05714286 5.94285714] ; [11.94285714 10.05714286],0
n4,1,0.051596,3.788817,[11  2] ; [12 11],[8.30555556 4.69444444] ; [14.69444444  8.30555556],0
u3,1,0.069294,3.299663,[4 1] ; [ 5 10],[2.25 2.75] ; [6.75 8.25],0
a2,1,0.085886,2.949833,[ 3 10] ; [ 1 22],[ 1.44444444 11.55555556] ; [ 2.55555556 20.44444444],0
p4,1,0.088961,2.893072,[10  3] ; [11 12],[7.58333333 5.41666667] ; [13.41666667  9.58333333],0
p2,1,0.114905,2.485428,[12  1] ; [16  7],[10.11111111  2.88888889] ; [17.88888889  5.11111111],0
a3,1,0.120714,2.408027,[8 5] ; [ 8 15],[5.77777778 7.22222222] ; [10.22222222 12.77777778],0
s8,1,0.149154,2.080883,[6 7] ; [ 5 17],[4.08571429 8.91428571] ; [ 6.91428571 15.08571429],0
r4,1,0.18042,1.794158,[12  1] ; [17  6],[10.47222222  2.52777778] ; [18.52777778  4.47222222],0
s3,1,0.214449,1.541137,[9 4] ; [11 12],[7.22222222 5.77777778] ; [12.77777778 10.22222222],0
u1,1,0.230744,1.436271,[ 3 10] ; [ 2 21],[ 1.80555556 11.19444444] ; [ 3.19444444 19.80555556],0
p1,1,0.230744,1.436271,[ 3 10] ; [ 2 21],[ 1.80555556 11.19444444] ; [ 3.19444444 19.80555556],0
p3,1,0.265114,1.241854,[7 6] ; [ 8 15],[5.41666667 7.58333333] ; [ 9.58333333 13.41666667],0
u2,1,0.291841,1.111111,[4 1] ; [8 7],[3. 2.] ; [9. 6.],0
s4,1,0.30859,1.036702,[3 8] ; [ 3 20],[1.94117647 9.05882353] ; [ 4.05882353 18.94117647],0
p8,1,0.318725,0.994171,[9 4] ; [12 11],[7.58333333 5.41666667] ; [13.41666667  9.58333333],0
r1,1,0.326379,0.963211,[10  3] ; [14  9],[8.66666667 4.33333333] ; [15.33333333  7.66666667],0
b1,1,0.326379,0.963211,[10  3] ; [14  9],[8.66666667 4.33333333] ; [15.33333333  7.66666667],0
p10,1,0.391504,0.734266,[4 9] ; [ 4 18],[ 2.97142857 10.02857143] ; [ 5.02857143 16.97142857],0
r2,1,0.418944,0.653274,[12  1] ; [19  4],[11.19444444  1.80555556] ; [19.80555556  3.19444444],0
n6,1,0.438815,0.59938,[8 5] ; [17  6],[9.02777778 3.97222222] ; [15.97222222  7.02777778],0
v1,1,0.452461,0.564479,[4 9] ; [10 13],[5.05555556 7.94444444] ; [ 8.94444444 14.05555556],0
b5,1,0.501436,0.451896,[7 6] ; [15  8],[7.94444444 5.05555556] ; [14.05555556  8.94444444],0
b3,1,0.521245,0.411429,[3 6] ; [7 8],[3.75 5.25] ; [6.25 8.75],0
b2,1,0.521245,0.411429,[3 6] ; [7 8],[3.75 5.25] ; [6.25 8.75],0
v2,1,0.587045,0.294983,[5 8] ; [11 12],[5.77777778 7.22222222] ; [10.22222222 12.77777778],0
s7,1,0.618402,0.24812,[4 7] ; [10 12],[4.66666667 6.33333333] ; [ 9.33333333 12.66666667],0
s5,1,0.629217,0.233124,[ 2 10] ; [ 5 16],[2.54545455 9.45454545] ; [ 4.45454545 16.54545455],0
p5,1,0.673911,0.177061,[ 1 12] ; [ 1 22],[ 0.72222222 12.27777778] ; [ 1.27777778 21.72222222],0
v3,1,0.678863,0.171409,[ 3 10] ; [ 4 19],[ 2.52777778 10.47222222] ; [ 4.47222222 18.52777778],0
p11,1,0.681393,0.168562,[7 6] ; [14  9],[7.58333333 5.41666667] ; [13.41666667  9.58333333],0
b4,1,0.7286,0.120401,[6 7] ; [12 11],[6.5 6.5] ; [11.5 11.5],0
a7,1,0.825298,0.048724,[8 5] ; [15  8],[8.30555556 4.69444444] ; [14.69444444  8.30555556],0
s2,1,0.876681,0.02408,[6 7] ; [10 13],[5.77777778 7.22222222] ; [10.22222222 12.77777778],0
v4,1,0.916676,0.010946,[12  1] ; [21  2],[11.91666667  1.08333333] ; [21.08333333  1.91666667],0
a6,1,0.923096,0.009319,[6 7] ; [11 12],[6.13888889 6.86111111] ; [10.86111111 12.13888889],0
n5,1,0.923096,0.009319,[7 6] ; [12 11],[6.86111111 6.13888889] ; [12.13888889 10.86111111],0
