Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.000203,13.798692,[96 37] ; [117 107],[79.35294118 53.64705882] ; [133.64705882  90.35294118],1
s7,1,0.002014,9.536523,[83 45] ; [104 114],[69.17919075 58.82080925] ; [117.82080925 100.17919075],0
p5,1,0.004923,7.907642,[ 17 117] ; [ 10 211],[ 10.1915493 123.8084507] ; [ 16.8084507 204.1915493],0
d4,1,0.023929,5.099784,[116  18] ; [172  52],[107.79888268  26.20111732] ; [180.20111732  43.79888268],0
a3,1,0.02493,5.02871,[103  31] ; [147  77],[93.57541899 40.42458101] ; [156.42458101  67.57541899],0
d2,1,0.03508,4.441262,[71 63] ; [ 93 131],[61.38547486 72.61452514] ; [102.61452514 121.38547486],0
a5,1,0.05347,3.729158,[106  28] ; [157  68],[98.16713092 35.83286908] ; [164.83286908  60.16713092],0
u2,1,0.070534,3.270556,[13 17] ; [47 28],[17.14285714 12.85714286] ; [42.85714286 32.14285714],0
s8,1,0.073345,3.206538,[73 60] ; [101 123],[64.82352941 68.17647059] ; [109.17647059 114.82352941],0
p12,1,0.077428,3.11807,[ 13 121] ; [ 11 214],[  8.95821727 125.04178273] ; [ 15.04178273 209.95821727],0
s4,1,0.085085,2.964988,[33 99] ; [ 39 185],[ 26.69662921 105.30337079] ; [ 45.30337079 178.69662921],0
b3,1,0.097256,2.74998,[30 49] ; [36 97],[24.59433962 54.40566038] ; [41.40566038 91.59433962],0
b2,1,0.097256,2.74998,[30 49] ; [36 97],[24.59433962 54.40566038] ; [41.40566038 91.59433962],0
b5,1,0.119288,2.426647,[79 55] ; [151  74],[85.84958217 48.15041783] ; [144.15041783  80.84958217],0
s3,1,0.120242,2.414168,[96 35] ; [145  77],[89.43626062 41.56373938] ; [151.56373938  70.43626062],0
a6,1,0.167804,1.902455,[87 47] ; [161  63],[92.82681564 41.17318436] ; [155.17318436  68.82681564],0
a4,1,0.16816,1.899267,[61 73] ; [ 85 138],[54.80112045 79.19887955] ; [ 91.19887955 131.80112045],0
r1,1,0.174002,1.848119,[112  20] ; [177  47],[107.15730337  24.84269663] ; [181.84269663  42.15730337],0
p9,1,0.188529,1.729078,[113  18] ; [181  43],[108.49014085  22.50985915] ; [185.50985915  38.49014085],0
r2,1,0.210813,1.565834,[125   6] ; [206  18],[122.14366197   8.85633803] ; [208.85633803  15.14366197],0
r4,1,0.21227,1.555874,[123  11] ; [197  28],[119.44289694  14.55710306] ; [200.55710306  24.44289694],0
u1,1,0.218844,1.511937,[ 29 105] ; [ 37 188],[ 24.63509749 109.36490251] ; [ 41.36490251 183.63509749],0
n2,1,0.229432,1.444377,[27  5] ; [44 16],[24.69565217  7.30434783] ; [46.30434783 13.69565217],0
v2,1,0.238133,1.391614,[76 54] ; [109 101],[70.73529412 59.26470588] ; [114.26470588  95.73529412],0
a2,1,0.249037,1.328696,[37 97] ; [ 50 175],[ 32.4735376 101.5264624] ; [ 54.5264624 170.4735376],0
p3,1,0.259236,1.272834,[62 72] ; [ 90 134],[56.89385475 77.10614525] ; [ 95.10614525 128.89385475],0
n6,1,0.260099,1.268229,[114  18] ; [184  41],[110.18487395  21.81512605] ; [187.81512605  37.18487395],0
p7,1,0.277907,1.177296,[74 55] ; [113 107],[69.12034384 59.87965616] ; [117.87965616 102.12034384],0
v4,1,0.306055,1.047625,[128   4] ; [212  12],[126.06741573   5.93258427] ; [213.93258427  10.06741573],0
d1,1,0.368966,0.807143,[78 56] ; [120 105],[73.90529248 60.09470752] ; [124.09470752 100.90529248],0
