Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.000186,13.964263,[22  7] ; [ 7 20],[15.01785714 13.98214286] ; [13.98214286 13.01785714],1
u3,1,0.003325,8.620212,[ 1 14] ; [8 6],[ 4.65517241 10.34482759] ; [4.34482759 9.65517241],0
r3,1,0.02622,4.941462,[13 16] ; [20  7],[17.08928571 11.91071429] ; [15.91071429 11.08928571],0
p4,1,0.032309,4.582035,[ 7 22] ; [14 13],[10.875 18.125] ; [10.125 16.875],0
p7,1,0.063217,3.450922,[10 19] ; [16 11],[13.46428571 15.53571429] ; [12.53571429 14.46428571],0
b3,1,0.074462,3.181818,[ 9 12] ; [ 2 12],[ 6.6 14.4] ; [4.4 9.6],0
b2,1,0.074462,3.181818,[ 9 12] ; [ 2 12],[ 6.6 14.4] ; [4.4 9.6],0
p8,1,0.147394,2.099019,[ 6 23] ; [10 16],[ 8.43636364 20.56363636] ; [ 7.56363636 18.43636364],0
s2,1,0.164645,1.931034,[ 5 24] ; [ 9 18],[ 7.25 21.75] ; [ 6.75 20.25],0
s4,1,0.272562,1.20381,[ 5 24] ; [ 8 19],[ 6.73214286 22.26785714] ; [ 6.26785714 20.73214286],0
s6,1,0.298852,1.079308,[ 8 21] ; [11 16],[ 9.83928571 19.16071429] ; [ 9.16071429 17.83928571],0
r2,1,0.342716,0.900244,[20  8] ; [16 11],[18.32727273  9.67272727] ; [17.67272727  9.32727273],0
n6,1,0.350013,0.873411,[18 10] ; [14 13],[16.29090909 11.70909091] ; [15.70909091 11.29090909],0
v4,1,0.359181,0.840755,[17 12] ; [19  8],[18.64285714 10.35714286] ; [17.35714286  9.64285714],0
s5,1,0.378732,0.774815,[ 3 25] ; [ 5 21],[ 4.14814815 23.85185185] ; [ 3.85185185 22.14814815],0
v3,1,0.38023,0.769958,[ 7 22] ; [ 4 23],[ 5.69642857 23.30357143] ; [ 5.30357143 21.69642857],0
s8,1,0.382429,0.762878,[ 3 26] ; [ 5 22],[ 4.14285714 24.85714286] ; [ 3.85714286 23.14285714],0
v1,1,0.421921,0.644958,[ 8 21] ; [ 5 22],[ 6.73214286 22.26785714] ; [ 6.26785714 20.73214286],0
d3,1,0.422382,0.643678,[16 13] ; [12 15],[14.5 14.5] ; [13.5 13.5],0
b4,1,0.422382,0.643678,[16 13] ; [12 15],[14.5 14.5] ; [13.5 13.5],0
a6,1,0.440109,0.595998,[18 11] ; [14 13],[16.57142857 12.42857143] ; [15.42857143 11.57142857],0
p11,1,0.445639,0.58172,[10 19] ; [12 15],[11.39285714 17.60714286] ; [10.60714286 16.39285714],0
s3,1,0.503557,0.447432,[ 8 20] ; [10 17],[ 9.16363636 18.83636364] ; [ 8.83636364 18.16363636],0
n3,1,0.567996,0.326048,[6 7] ; [8 6],[6.74074074 6.25925926] ; [7.25925926 6.74074074],0
n1,1,0.568261,0.3256,[4 8] ; [ 3 10],[3.36 8.64] ; [3.64 9.36],0
p3,1,0.581426,0.303935,[ 7 22] ; [ 8 18],[ 7.90909091 21.09090909] ; [ 7.09090909 18.90909091],0
s7,1,0.581995,0.303021,[ 5 23] ; [ 6 19],[ 5.81132075 22.18867925] ; [ 5.18867925 19.81132075],0
b1,1,0.585917,0.296766,[14 15] ; [15 12],[15.01785714 13.98214286] ; [13.98214286 13.01785714],0
s1,1,0.608815,0.261905,[ 2 26] ; [ 3 24],[ 2.54545455 25.45454545] ; [ 2.45454545 24.54545455],0
a4,1,0.611812,0.257544,[ 9 19] ; [ 7 20],[ 8.14545455 19.85454545] ; [ 7.85454545 19.14545455],0
a5,1,0.620554,0.24509,[11 18] ; [12 15],[11.91071429 17.08928571] ; [11.08928571 15.91071429],0
p10,1,0.630438,0.231467,[ 4 25] ; [ 5 22],[ 4.66071429 24.33928571] ; [ 4.33928571 22.66071429],0
r4,1,0.640229,0.218443,[ 8 21] ; [ 9 18],[ 8.80357143 20.19642857] ; [ 8.19642857 18.80357143],0
d2,1,0.687536,0.161766,[13 15] ; [14 13],[13.74545455 14.25454545] ; [13.25454545 13.74545455],0
u2,1,0.698791,0.149733,[5 9] ; [6 8],[5.5 8.5] ; [5.5 8.5],0
a1,1,0.700099,0.148369,[ 3 26] ; [ 2 25],[ 2.58928571 26.41071429] ; [ 2.41071429 24.58928571],0
a2,1,0.700099,0.148369,[ 3 26] ; [ 2 25],[ 2.58928571 26.41071429] ; [ 2.41071429 24.58928571],0
d4,1,0.739541,0.110531,[17 12] ; [17 10],[17.60714286 11.39285714] ; [16.39285714 10.60714286],0
d5,1,0.739541,0.110531,[17 12] ; [17 10],[17.60714286 11.39285714] ; [16.39285714 10.60714286],0
b5,1,0.789137,0.07152,[15 14] ; [13 14],[14.5 14.5] ; [13.5 13.5],0
p2,1,0.816847,0.05364,[12 17] ; [12 15],[12.42857143 16.57142857] ; [11.57142857 15.42857143],0
n2,1,0.841596,0.039941,[7 6] ; [7 7],[6.74074074 6.25925926] ; [7.25925926 6.74074074],0
d1,1,0.842003,0.039733,[10 19] ; [10 17],[10.35714286 18.64285714] ; [ 9.64285714 17.35714286],0
p6,1,0.884254,0.021193,[ 6 22] ; [ 6 20],[ 6.22222222 21.77777778] ; [ 5.77777778 20.22222222],0
v2,1,0.927669,0.008241,[10 19] ; [ 9 18],[ 9.83928571 19.16071429] ; [ 9.16071429 17.83928571],0
p1,1,0.940873,0.005502,[ 2 27] ; [ 2 25],[ 2.07142857 26.92857143] ; [ 1.92857143 25.07142857],0
a3,1,0.992375,9.1e-05,[14 15] ; [13 14],[13.98214286 15.01785714] ; [13.01785714 13.98214286],0
