Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,1e-06,24.494942,[221  68] ; [43 45],[202.37665782  86.62334218] ; [61.62334218 26.37665782],1
p2,1,1e-06,24.427856,[226  61] ; [45 42],[207.95989305  79.04010695] ; [63.04010695 23.95989305],1
n5,1,2e-06,22.753359,[208  79] ; [39 48],[189.54278075  97.45721925] ; [57.45721925 29.54278075],1
n4,1,2e-06,22.232295,[223  66] ; [45 43],[205.44297082  83.55702918] ; [62.55702918 25.44297082],1
p10,1,4e-06,21.093499,[213  71] ; [42 44],[195.72972973  88.27027027] ; [59.27027027 26.72972973],1
p9,1,9e-06,19.786108,[220  62] ; [46 40],[203.83695652  78.16304348] ; [62.16304348 23.83695652],1
v4,1,1.4e-05,18.820058,[264  23] ; [65 22],[252.46791444  34.53208556] ; [76.53208556 10.46791444],1
r4,1,7.4e-05,15.714743,[248  41] ; [59 29],[235.33952255  53.66047745] ; [71.66047745 16.33952255],1
s7,1,9.6e-05,15.223041,[115 161] ; [14 65],[100.29295775 175.70704225] ; [28.70704225 50.29295775],1
s5,1,0.00014,14.505951,[ 76 207] ; [ 6 78],[ 63.23160763 219.76839237] ; [18.76839237 65.23160763],1
r3,1,0.000148,14.40033,[266  21] ; [69 19],[256.38666667  30.61333333] ; [78.61333333  9.38666667],1
s6,1,0.00028,13.196405,[156 127] ; [29 59],[141.11859838 141.88140162] ; [43.88140162 44.11859838],1
s8,1,0.000491,12.148481,[102 185] ; [14 74],[ 88.77866667 198.22133333] ; [27.22133333 60.77866667],1
p6,1,0.001252,10.412396,[ 82 203] ; [10 76],[ 70.67385445 214.32614555] ; [21.32614555 64.67385445],0
p3,1,0.004449,8.090631,[120 167] ; [22 66],[108.67733333 178.32266667] ; [33.32266667 54.67733333],0
s2,1,0.006704,7.350667,[114 173] ; [21 67],[103.32 183.68] ; [31.68 56.32],0
s1,1,0.0158,5.825001,[  7 280] ; [ 7 80],[ 10.74331551 276.25668449] ; [ 3.25668449 83.74331551],0
r2,1,0.025358,4.999242,[258  27] ; [72 16],[252.14477212  32.85522788] ; [77.85522788 10.14477212],0
