Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,73.09341,[103   7] ; [21 43],[78.3908046 31.6091954] ; [45.6091954 18.3908046],1
p11,1,1e-05,19.548425,[86 25] ; [29 36],[72.52840909 38.47159091] ; [42.47159091 22.52840909],1
n6,1,1.4e-05,18.859471,[90 20] ; [33 32],[77.31428571 32.68571429] ; [45.68571429 19.31428571],1
v4,1,0.000102,15.097528,[102   8] ; [46 19],[93.02857143 16.97142857] ; [54.97142857 10.02857143],1
p2,1,0.000609,11.749596,[80 31] ; [30 35],[69.375 41.625] ; [40.625 24.375],1
r3,1,0.001108,10.63771,[99 11] ; [46 19],[91.14285714 18.85714286] ; [53.85714286 11.14285714],0
b1,1,0.003606,8.47231,[32 79] ; [33 32],[40.99431818 70.00568182] ; [24.00568182 40.99431818],0
p8,1,0.004892,7.919013,[32 78] ; [ 7 58],[24.51428571 85.48571429] ; [14.48571429 50.51428571],0
s6,1,0.008593,6.90562,[61 48] ; [23 42],[52.62068966 56.37931034] ; [31.37931034 33.62068966],0
r4,1,0.009659,6.696662,[91 20] ; [42 23],[83.88068182 27.11931818] ; [49.11931818 15.88068182],0
a5,1,0.01129,6.41915,[68 43] ; [27 38],[59.91477273 51.08522727] ; [35.08522727 29.91477273],0
n5,1,0.011758,6.347074,[79 32] ; [34 31],[71.26704545 39.73295455] ; [41.73295455 23.26704545],0
v1,1,0.021555,5.281316,[52 55] ; [20 45],[44.79069767 62.20930233] ; [27.20930233 37.79069767],0
p4,1,0.025214,5.009127,[40 71] ; [13 52],[33.42613636 77.57386364] ; [19.57386364 45.42613636],0
a1,1,0.025679,4.977534,[  3 108] ; [ 7 58],[  6.30681818 104.69318182] ; [ 3.69318182 61.30681818],0
d2,1,0.027811,4.839755,[13 97] ; [16 49],[18.22857143 91.77142857] ; [10.77142857 54.22857143],0
a7,1,0.055536,3.665918,[71 40] ; [32 33],[64.96022727 46.03977273] ; [38.03977273 26.96022727],0
u2,1,0.080038,3.064121,[30 25] ; [10 19],[26.19047619 28.80952381] ; [13.80952381 15.19047619],0
s2,1,0.083429,2.996796,[39 69] ; [15 49],[33.90697674 74.09302326] ; [20.09302326 43.90697674],0
s3,1,0.08712,2.926808,[46 63] ; [18 44],[40.79532164 68.20467836] ; [23.20467836 38.79532164],0
r2,1,0.091919,2.840445,[99 12] ; [52 13],[95.23295455 15.76704545] ; [55.76704545  9.23295455],0
v2,1,0.106195,2.609959,[43 62] ; [18 45],[38.125 66.875] ; [22.875 40.125],0
a6,1,0.110121,2.552487,[70 41] ; [33 32],[64.96022727 46.03977273] ; [38.03977273 26.96022727],0
a8,1,0.117333,2.45257,[10 94] ; [11 50],[13.23636364 90.76363636] ; [ 7.76363636 53.23636364],0
s8,1,0.125916,2.342145,[30 81] ; [11 54],[25.85795455 85.14204545] ; [15.14204545 49.85795455],0
p5,1,0.142774,2.147801,[  7 104] ; [ 1 64],[  5.04545455 105.95454545] ; [ 2.95454545 62.04545455],0
a4,1,0.15735,1.999509,[24 87] ; [20 44],[27.90857143 83.09142857] ; [16.09142857 47.90857143],0
u3,1,0.199913,1.643008,[30 25] ; [12 18],[27.17647059 27.82352941] ; [14.82352941 15.17647059],0
p12,1,0.20771,1.587315,[  6 104] ; [ 1 63],[  4.42528736 105.57471264] ; [ 2.57471264 61.42528736],0
a2,1,0.234656,1.412412,[  4 107] ; [ 5 60],[  5.67613636 105.32386364] ; [ 3.32386364 61.67613636],0
d3,1,0.237744,1.393921,[44 67] ; [20 45],[40.36363636 70.63636364] ; [23.63636364 41.36363636],0
s5,1,0.24115,1.373858,[23 82] ; [ 9 53],[20.11976048 84.88023952] ; [11.88023952 50.11976048],0
n2,1,0.255155,1.294856,[23  6] ; [15  8],[21.19230769  7.80769231] ; [16.80769231  6.19230769],0
s7,1,0.289289,1.122925,[33 75] ; [14 47],[30.03550296 77.96449704] ; [16.96449704 44.03550296],0
n3,1,0.390008,0.738916,[20  9] ; [12  9],[18.56 10.44] ; [13.44  7.56],0
s4,1,0.425068,0.636261,[17 94] ; [13 52],[18.92045455 92.07954545] ; [11.07954545 53.92045455],0
d4,1,0.441352,0.592765,[63 48] ; [33 32],[60.54545455 50.45454545] ; [35.45454545 29.54545455],0
b5,1,0.493108,0.469738,[69 42] ; [37 28],[66.85227273 44.14772727] ; [39.14772727 25.85227273],0
v3,1,0.50783,0.438535,[28 80] ; [19 43],[29.85882353 78.14117647] ; [17.14117647 44.85882353],0
a3,1,0.517008,0.419858,[56 55] ; [35 28],[58.05172414 52.94827586] ; [32.94827586 30.05172414],0
r1,1,0.572357,0.318755,[73 38] ; [40 25],[71.26704545 39.73295455] ; [41.73295455 23.26704545],0
s1,1,0.576969,0.31116,[  6 102] ; [ 5 60],[  6.86705202 101.13294798] ; [ 4.13294798 60.86705202],0
p6,1,0.642895,0.214976,[ 11 100] ; [ 5 59],[ 10.14857143 100.85142857] ; [ 5.85142857 58.14857143],0
n1,1,0.729588,0.11949,[10 19] ; [ 9 14],[10.59615385 18.40384615] ; [ 8.40384615 14.59615385],0
p3,1,0.748879,0.102475,[28 83] ; [15 50],[27.11931818 83.88068182] ; [15.88068182 49.11931818],0
b2,1,0.772206,0.083804,[17 29] ; [16 24],[17.65116279 28.34883721] ; [15.34883721 24.65116279],0
b3,1,0.772206,0.083804,[17 29] ; [16 24],[17.65116279 28.34883721] ; [15.34883721 24.65116279],0
p1,1,0.785375,0.074159,[ 10 101] ; [ 5 59],[  9.51428571 101.48571429] ; [ 5.48571429 58.51428571],0
b4,1,0.811267,0.057021,[72 39] ; [41 24],[71.26704545 39.73295455] ; [41.73295455 23.26704545],0
d5,1,0.875888,0.024394,[56 55] ; [32 33],[55.5 55.5] ; [32.5 32.5],0
n4,1,0.915031,0.011384,[76 35] ; [44 21],[75.68181818 35.31818182] ; [44.31818182 20.68181818],0
