Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,7e-06,20.089546,[78 46] ; [365  81],[96.37192982 27.62807018] ; [346.62807018  99.37192982],1
s5,1,0.000122,14.758847,[70 48] ; [172 263],[51.63833635 66.36166365] ; [190.36166365 244.63833635],1
a8,1,0.000209,13.752247,[  4 110] ; [ 70 336],[16.22307692 97.77692308] ; [ 57.77692308 348.22307692],1
s2,1,0.002421,9.199401,[95 27] ; [282 164],[80.97535211 41.02464789] ; [296.02464789 149.97535211],0
v1,1,0.007536,7.140434,[58 65] ; [262 170],[70.91891892 52.08108108] ; [249.08108108 182.91891892],0
v3,1,0.008148,7.000716,[37 83] ; [190 239],[49.61748634 70.38251366] ; [177.38251366 251.61748634],0
u2,1,0.008503,6.924382,[13 20] ; [79 43],[19.58709677 13.41290323] ; [72.41290323 49.58709677],0
v2,1,0.01269,6.21185,[57 62] ; [259 168],[68.87179487 50.12820513] ; [247.12820513 179.87179487],0
n5,1,0.01897,5.504325,[87 37] ; [357  89],[96.58947368 27.41052632] ; [347.41052632  98.58947368],0
s3,1,0.04281,4.102887,[96 26] ; [305 135],[87.04982206 34.95017794] ; [313.95017794 126.04982206],0
n1,1,0.048801,3.882195,[10 26] ; [44 50],[14.95384615 21.04615385] ; [39.04615385 54.95384615],0
b2,1,0.049164,3.869737,[16 45] ; [113 172],[22.74277457 38.25722543] ; [106.25722543 178.74277457],0
b3,1,0.049164,3.869737,[16 45] ; [113 172],[22.74277457 38.25722543] ; [106.25722543 178.74277457],0
p2,1,0.05658,3.634895,[97 27] ; [379  65],[103.91549296  20.08450704] ; [372.08450704  71.91549296],0
a1,1,0.095435,2.780229,[  3 121] ; [ 28 420],[  6.72027972 117.27972028] ; [ 24.27972028 423.72027972],0
u4,1,0.108581,2.574761,[  1 123] ; [ 16 432],[  3.68531469 120.31468531] ; [ 13.31468531 434.68531469],0
p5,1,0.130072,2.291643,[ 11 113] ; [ 62 380],[ 15.99293286 108.00706714] ; [ 57.00706714 384.99293286],0
r1,1,0.202255,1.626014,[101  23] ; [383  62],[105.47627417  18.52372583] ; [378.52372583  66.47627417],0
d3,1,0.211586,1.560539,[93 31] ; [308 137],[87.3884007 36.6115993] ; [313.6115993 131.3884007],0
v4,1,0.266942,1.232395,[119   5] ; [438  10],[120.74825175   3.25174825] ; [436.25174825  11.74825175],0
p12,1,0.2718,1.207638,[  9 115] ; [ 47 397],[ 12.22535211 111.77464789] ; [ 43.77464789 400.22535211],0
b4,1,0.30003,1.074059,[80 44] ; [266 182],[75.00699301 48.99300699] ; [270.99300699 177.00699301],0
p6,1,0.302653,1.062466,[54 68] ; [172 268],[49.06049822 72.93950178] ; [176.93950178 263.06049822],0
d1,1,0.306286,1.046625,[81 43] ; [270 178],[76.09090909 47.90909091] ; [274.90909091 173.09090909],0
n3,1,0.329235,0.951906,[28  8] ; [65 29],[25.75384615 10.24615385] ; [67.24615385 26.75384615],0
a7,1,0.339605,0.91192,[87 37] ; [332 114],[91.15087719 32.84912281] ; [327.84912281 118.15087719],0
r4,1,0.364041,0.823906,[116   8] ; [428  20],[117.93006993   6.06993007] ; [426.06993007  21.93006993],0
s7,1,0.38885,0.742535,[79 42] ; [261 167],[74.93624772 46.06375228] ; [265.06375228 162.93624772],0
p11,1,0.414984,0.664478,[92 32] ; [348 100],[95.38461538 28.61538462] ; [344.61538462 103.38461538],0
a2,1,0.417094,0.658489,[29 95] ; [121 327],[32.51748252 91.48251748] ; [117.48251748 330.51748252],0
b5,1,0.441228,0.593088,[80 44] ; [272 176],[76.30769231 47.69230769] ; [275.69230769 172.30769231],0
a6,1,0.462542,0.539736,[80 44] ; [302 142],[83.3943662 40.6056338] ; [298.6056338 145.3943662],0
a5,1,0.50566,0.443037,[91 33] ; [341 106],[93.81436077 30.18563923] ; [338.18563923 108.81436077],0
s1,1,0.518366,0.417142,[  6 116] ; [ 16 424],[  4.77580071 117.22419929] ; [ 17.22419929 422.77580071],0
d4,1,0.554605,0.349132,[102  22] ; [375  69],[104.13380282  19.86619718] ; [372.86619718  71.13380282],0
p1,1,0.566626,0.32836,[ 13 111] ; [ 39 404],[ 11.37213404 112.62786596] ; [ 40.62786596 402.37213404],0
n2,1,0.647663,0.20886,[29  7] ; [73 22],[28.03053435  7.96946565] ; [73.96946565 21.03053435],0
d2,1,0.700936,0.1475,[64 60] ; [221 224],[62.10896309 61.89103691] ; [222.89103691 222.10896309],0
a4,1,0.71337,0.134934,[59 65] ; [203 241],[57.1971831 66.8028169] ; [204.8028169 239.1971831],0
b1,1,0.736145,0.113544,[45 79] ; [170 278],[46.60839161 77.39160839] ; [168.39160839 279.60839161],0
p7,1,0.764541,0.089714,[80 40] ; [281 150],[78.62068966 41.37931034] ; [282.37931034 148.62068966],0
p8,1,0.824942,0.048927,[63 57] ; [236 204],[64.07142857 55.92857143] ; [234.92857143 205.07142857],0
d5,1,0.848201,0.036639,[104  20] ; [370  75],[103.2970123  20.7029877] ; [370.7029877  74.2970123],0
a3,1,0.85905,0.031536,[91 33] ; [323 122],[90.22144112 33.77855888] ; [323.77855888 121.22144112],0
u1,1,0.872814,0.025627,[26 98] ; [ 91 357],[25.36363636 98.63636364] ; [ 91.63636364 356.36363636],0
p4,1,0.884884,0.020961,[79 45] ; [286 158],[79.68309859 44.31690141] ; [285.31690141 158.68309859],0
n6,1,0.891054,0.018761,[107  16] ; [385  60],[106.54225352  16.45774648] ; [385.45774648  59.54225352],0
r3,1,0.93142,0.007406,[118   4] ; [434  14],[118.14736842   3.85263158] ; [433.85263158  14.14736842],0
p9,1,0.93379,0.006902,[107  15] ; [388  53],[107.26465364  14.73534636] ; [387.73534636  53.26465364],0
s8,1,0.950991,0.003778,[69 55] ; [249 196],[69.30052724 54.69947276] ; [248.69947276 196.30052724],0
p3,1,0.959482,0.002581,[66 58] ; [238 207],[66.24956063 57.75043937] ; [237.75043937 207.24956063],0
