Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s1,1,0.016605,5.737635,[3 7] ; [ 2 39],[0.98039216 9.01960784] ; [ 4.01960784 36.98039216],0
s2,1,0.029558,4.734826,[6 4] ; [10 31],[3.1372549 6.8627451] ; [12.8627451 28.1372549],0
a4,1,0.035318,4.429713,[7 3] ; [13 26],[4.08163265 5.91836735] ; [15.91836735 23.08163265],0
u2,1,0.049442,3.860294,[3 1] ; [ 4 13],[1.33333333 2.66666667] ; [ 5.66666667 11.33333333],0
n1,1,0.064061,3.428986,[1 4] ; [15  8],[2.85714286 2.14285714] ; [13.14285714  9.85714286],0
d2,1,0.065126,3.401771,[8 2] ; [19 21],[5.4 4.6] ; [21.6 18.4],0
r2,1,0.073638,3.2,[4 4] ; [32  8],[6. 2.] ; [30. 10.],0
p6,1,0.0771,3.125,[4 6] ; [ 6 34],[2. 8.] ; [ 8. 32.],0
a6,1,0.077557,3.115358,[3 7] ; [25 16],[5.49019608 4.50980392] ; [22.50980392 18.49019608],0
b4,1,0.097075,2.752953,[4 6] ; [28 13],[6.2745098 3.7254902] ; [25.7254902 15.2745098],0
s6,1,0.148915,2.083333,[6 4] ; [14 26],[4. 6.] ; [16. 24.],0
d4,1,0.17964,1.800597,[7 3] ; [19 22],[5.09803922 4.90196078] ; [20.90196078 20.09803922],0
s7,1,0.19352,1.690617,[4 5] ; [ 9 30],[2.4375 6.5625] ; [10.5625 28.4375],0
p2,1,0.197258,1.662562,[6 4] ; [15 25],[4.2 5.8] ; [16.8 23.2],0
s5,1,0.224994,1.472233,[4 5] ; [10 31],[2.52 6.48] ; [11.48 29.52],0
d1,1,0.229817,1.441991,[6 4] ; [16 25],[4.31372549 5.68627451] ; [17.68627451 23.31372549],0
d3,1,0.290857,1.115649,[6 4] ; [17 24],[4.50980392 5.49019608] ; [18.49019608 22.50980392],0
p10,1,0.318689,0.994318,[3 7] ; [19 21],[4.4 5.6] ; [17.6 22.4],0
r1,1,0.349515,0.875216,[3 7] ; [19 22],[4.31372549 5.68627451] ; [17.68627451 23.31372549],0
n5,1,0.367328,0.812683,[8 2] ; [37  4],[8.82352941 1.17647059] ; [36.17647059  4.82352941],0
s3,1,0.390905,0.736124,[5 5] ; [13 24],[3.82978723 6.17021277] ; [14.17021277 22.82978723],0
n2,1,0.392742,0.730435,[2 3] ; [14  9],[2.85714286 2.14285714] ; [13.14285714  9.85714286],0
d5,1,0.423169,0.641498,[7 3] ; [23 18],[5.88235294 4.11764706] ; [24.11764706 16.88235294],0
v1,1,0.466299,0.530732,[2 8] ; [13 28],[2.94117647 7.05882353] ; [12.05882353 28.94117647],0
p9,1,0.477197,0.505263,[4 6] ; [20 18],[5. 5.] ; [19. 19.],0
a1,1,0.479271,0.500523,[1 9] ; [ 8 33],[1.76470588 8.23529412] ; [ 7.23529412 33.76470588],0
p1,1,0.479271,0.500523,[1 9] ; [ 8 33],[1.76470588 8.23529412] ; [ 7.23529412 33.76470588],0
v4,1,0.505587,0.44319,[7 3] ; [24 17],[6.07843137 3.92156863] ; [24.92156863 16.07843137],0
v2,1,0.521215,0.411489,[3 7] ; [ 8 31],[2.24489796 7.75510204] ; [ 8.75510204 30.24489796],0
b5,1,0.52455,0.404938,[6 4] ; [20 21],[5.09803922 4.90196078] ; [20.90196078 20.09803922],0
u1,1,0.537098,0.380945,[1 9] ; [ 2 39],[0.58823529 9.41176471] ; [ 2.41176471 38.58823529],0
p4,1,0.54429,0.367647,[4 6] ; [12 28],[3.2 6.8] ; [12.8 27.2],0
r4,1,0.555955,0.346756,[2 8] ; [12 29],[2.74509804 7.25490196] ; [11.25490196 29.74509804],0
n3,1,0.556812,0.345255,[3 2] ; [10 12],[2.40740741 2.59259259] ; [10.59259259 11.40740741],0
n6,1,0.560084,0.339559,[7 3] ; [24 16],[6.2 3.8] ; [24.8 15.2],0
a5,1,0.696006,0.152661,[7 3] ; [26 15],[6.47058824 3.52941176] ; [26.52941176 14.47058824],0
a7,1,0.717841,0.130571,[4 6] ; [19 22],[4.50980392 5.49019608] ; [18.49019608 22.50980392],0
p11,1,0.728362,0.120621,[4 6] ; [14 27],[3.52941176 6.47058824] ; [14.47058824 26.52941176],0
s8,1,0.740544,0.109649,[2 8] ; [10 30],[2.4 7.6] ; [ 9.6 30.4],0
v3,1,0.740544,0.109649,[2 8] ; [10 30],[2.4 7.6] ; [ 9.6 30.4],0
p3,1,0.765291,0.089127,[3 7] ; [14 26],[3.4 6.6] ; [13.6 26.4],0
b1,1,0.823216,0.049912,[6 4] ; [23 18],[5.68627451 4.31372549] ; [23.31372549 17.68627451],0
a2,1,0.846821,0.037317,[1 9] ; [ 5 36],[1.17647059 8.82352941] ; [ 4.82352941 36.17647059],0
b2,1,0.871799,0.026042,[3 5] ; [13 19],[3.2 4.8] ; [12.8 19.2],0
b3,1,0.871799,0.026042,[3 5] ; [13 19],[3.2 4.8] ; [12.8 19.2],0
a3,1,0.929018,0.007935,[6 4] ; [24 15],[6.12244898 3.87755102] ; [23.87755102 15.12244898],0
p7,1,0.948046,0.004246,[3 7] ; [11 27],[2.91666667 7.08333333] ; [11.08333333 26.91666667],0
p8,1,1.0,0.0,[3 7] ; [12 28],[3. 7.] ; [12. 28.],0
