Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.000144,14.454763,[14  9] ; [16 64],[ 6.69902913 16.30097087] ; [23.30097087 56.69902913],1
r1,1,0.00038,12.628626,[20  4] ; [35 48],[12.3364486 11.6635514] ; [42.6635514 40.3364486],1
a5,1,0.010809,6.496374,[16  8] ; [31 52],[10.54205607 13.45794393] ; [36.45794393 46.54205607],0
r4,1,0.021291,5.302773,[21  3] ; [52 31],[16.37383178  7.62616822] ; [56.62616822 26.37383178],0
n4,1,0.045451,4.001836,[19  5] ; [47 36],[14.80373832  9.19626168] ; [51.19626168 31.80373832],0
a7,1,0.063361,3.447154,[16  8] ; [37 45],[12. 12.] ; [41. 41.],0
p10,1,0.070384,3.274048,[18  6] ; [44 37],[14.17142857  9.82857143] ; [47.82857143 33.17142857],0
s3,1,0.073522,3.202589,[14 10] ; [31 51],[10.18867925 13.81132075] ; [34.81132075 47.18867925],0
p9,1,0.07853,3.095073,[19  5] ; [47 32],[15.37864078  8.62135922] ; [50.62135922 28.37864078],0
v4,1,0.092479,2.830692,[23  1] ; [68 15],[20.41121495  3.58878505] ; [70.58878505 12.41121495],0
r2,1,0.113749,2.50134,[22  2] ; [64 19],[19.28971963  4.71028037] ; [66.71028037 16.28971963],0
b5,1,0.121827,2.393673,[ 9 15] ; [46 37],[12.3364486 11.6635514] ; [42.6635514 40.3364486],0
p3,1,0.127136,2.327126,[12 12] ; [27 55],[ 8.83018868 15.16981132] ; [30.16981132 51.83018868],0
n5,1,0.131337,2.276635,[20  4] ; [56 27],[17.04672897  6.95327103] ; [58.95327103 24.04672897],0
p12,1,0.18016,1.796302,[ 3 21] ; [ 4 79],[ 1.57009346 22.42990654] ; [ 5.42990654 77.57009346],0
a3,1,0.186823,1.742493,[13 11] ; [32 50],[10.18867925 13.81132075] ; [34.81132075 47.18867925],0
s6,1,0.192106,1.701389,[14 10] ; [35 46],[11.2 12.8] ; [37.8 43.2],0
b1,1,0.197357,1.661822,[ 8 16] ; [40 43],[10.76635514 13.23364486] ; [37.23364486 45.76635514],0
s5,1,0.200888,1.635909,[ 8 16] ; [17 65],[ 5.66037736 18.33962264] ; [19.33962264 62.66037736],0
p4,1,0.209225,1.576778,[13 11] ; [33 50],[10.31775701 13.68224299] ; [35.68224299 47.31775701],0
d3,1,0.260244,1.267456,[ 7 17] ; [15 66],[ 5.02857143 18.97142857] ; [16.97142857 64.02857143],0
n1,1,0.282802,1.153574,[2 1] ; [12 22],[1.13513514 1.86486486] ; [12.86486486 21.13513514],0
s4,1,0.306911,1.043923,[ 3 21] ; [18 64],[ 4.75471698 19.24528302] ; [16.24528302 65.75471698],0
s8,1,0.314887,1.010066,[ 8 16] ; [19 63],[ 6.11320755 17.88679245] ; [20.88679245 61.11320755],0
a8,1,0.341625,0.904324,[ 1 21] ; [ 9 70],[ 2.17821782 19.82178218] ; [ 7.82178218 71.17821782],0
u1,1,0.345372,0.890388,[ 1 23] ; [ 1 82],[ 0.44859813 23.55140187] ; [ 1.55140187 81.44859813],0
s7,1,0.391173,0.735294,[ 8 12] ; [24 56],[ 6.4 13.6] ; [25.6 54.4],0
p5,1,0.423024,0.641899,[ 3 21] ; [ 6 76],[ 2.03773585 21.96226415] ; [ 6.96226415 75.03773585],0
p8,1,0.486472,0.48432,[12 12] ; [34 47],[10.51428571 13.48571429] ; [35.48571429 45.51428571],0
r3,1,0.513221,0.427495,[20  4] ; [64 19],[18.8411215  5.1588785] ; [65.1588785 17.8411215],0
u3,1,0.526934,0.4003,[5 6] ; [18 33],[4.08064516 6.91935484] ; [18.91935484 32.08064516],0
u2,1,0.530287,0.393842,[3 8] ; [19 32],[3.90322581 7.09677419] ; [18.09677419 32.90322581],0
a4,1,0.541209,0.373304,[ 6 18] ; [16 67],[ 4.93457944 19.06542056] ; [17.06542056 65.93457944],0
n3,1,0.585289,0.297762,[1 1] ; [24 11],[1.35135135 0.64864865] ; [23.64864865 11.35135135],0
p2,1,0.5928,0.285993,[16  8] ; [60 23],[17.04672897  6.95327103] ; [58.95327103 24.04672897],0
b2,1,0.616168,0.25129,[ 4 11] ; [ 9 35],[ 3.30508475 11.69491525] ; [ 9.69491525 34.30508475],0
b3,1,0.616168,0.25129,[ 4 11] ; [ 9 35],[ 3.30508475 11.69491525] ; [ 9.69491525 34.30508475],0
d2,1,0.653087,0.20203,[ 5 19] ; [21 62],[ 5.8317757 18.1682243] ; [20.1682243 62.8317757],0
a2,1,0.727579,0.121346,[ 1 23] ; [ 5 78],[ 1.34579439 22.65420561] ; [ 4.65420561 78.34579439],0
d5,1,0.72799,0.120965,[ 9 15] ; [34 48],[ 9.73584906 14.26415094] ; [33.26415094 48.73584906],0
n6,1,0.792439,0.069245,[18  6] ; [60 23],[17.4953271  6.5046729] ; [60.5046729 22.4953271],0
p11,1,0.799908,0.064245,[16  8] ; [53 30],[15.47663551  8.52336449] ; [53.52336449 29.47663551],0
a6,1,0.83066,0.045734,[13 11] ; [47 36],[13.45794393 10.54205607] ; [46.54205607 36.45794393],0
p7,1,0.881744,0.022129,[14 10] ; [47 36],[13.68224299 10.31775701] ; [47.31775701 35.68224299],0
d1,1,0.893865,0.0178,[ 1 23] ; [ 4 79],[ 1.12149533 22.87850467] ; [ 3.87850467 79.12149533],0
a1,1,0.893865,0.0178,[ 1 23] ; [ 4 79],[ 1.12149533 22.87850467] ; [ 3.87850467 79.12149533],0
p6,1,0.914845,0.011434,[ 7 17] ; [23 59],[ 6.79245283 17.20754717] ; [23.20754717 58.79245283],0
b4,1,0.958539,0.002703,[12 12] ; [41 42],[11.88785047 12.11214953] ; [41.11214953 41.88785047],0
s2,1,0.970745,0.001345,[ 8 16] ; [28 55],[ 8.07476636 15.92523364] ; [27.92523364 55.07476636],0
