Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,36.633091,[ 9 16] ; [93 10],[19.921875  5.078125] ; [82.078125 20.921875],1
n6,1,1.3e-05,18.973641,[14 11] ; [94  9],[21.09375  3.90625] ; [86.90625 16.09375],1
p9,1,8e-05,15.554082,[15 10] ; [94  9],[21.2890625  3.7109375] ; [87.7109375 15.2890625],1
s7,1,0.001847,9.696083,[ 7 18] ; [62 37],[13.91129032 11.08870968] ; [55.08870968 43.91129032],0
v3,1,0.002764,8.957176,[ 4 21] ; [50 52],[10.62992126 14.37007874] ; [43.37007874 58.62992126],0
a4,1,0.005195,7.810309,[ 4 21] ; [48 55],[10.15625 14.84375] ; [41.84375 61.15625],0
s8,1,0.006436,7.423961,[ 8 17] ; [64 39],[14.0625 10.9375] ; [57.9375 45.0625],0
r1,1,0.006822,7.319378,[13 12] ; [81 22],[18.359375  6.640625] ; [75.640625 27.359375],0
p10,1,0.011946,6.318901,[17  8] ; [91 12],[21.09375  3.90625] ; [86.90625 16.09375],0
v2,1,0.015468,5.862391,[ 8 17] ; [59 41],[13.4 11.6] ; [53.6 46.4],0
p2,1,0.015631,5.843898,[18  7] ; [93 10],[21.6796875  3.3203125] ; [89.3203125 13.6796875],0
a3,1,0.019775,5.431642,[11 14] ; [71 32],[16.015625  8.984375] ; [65.984375 37.015625],0
v1,1,0.020365,5.380323,[ 8 17] ; [59 43],[13.18897638 11.81102362] ; [53.81102362 48.18897638],0
r4,1,0.025437,4.99387,[18  7] ; [92 11],[21.484375  3.515625] ; [88.515625 14.484375],0
d2,1,0.028262,4.812042,[ 7 18] ; [54 49],[11.9140625 13.0859375] ; [49.0859375 53.9140625],0
s3,1,0.03875,4.27181,[10 15] ; [64 38],[14.56692913 10.43307087] ; [59.43307087 42.56692913],0
r3,1,0.050553,3.823024,[21  4] ; [98  5],[23.2421875  1.7578125] ; [95.7578125  7.2421875],0
p11,1,0.058468,3.580304,[17  8] ; [87 16],[20.3125  4.6875] ; [83.6875 19.3125],0
d1,1,0.082615,3.012699,[ 9 16] ; [57 46],[12.890625 12.109375] ; [53.109375 49.890625],0
v4,1,0.112693,2.516047,[22  3] ; [98  4],[23.62204724  1.37795276] ; [96.37795276  5.62204724],0
r2,1,0.123555,2.371665,[20  5] ; [90  9],[22.17741935  2.82258065] ; [87.82258065 11.17741935],0
p3,1,0.161137,1.963522,[13 12] ; [69 34],[16.015625  8.984375] ; [65.984375 37.015625],0
p5,1,0.174663,1.842463,[ 2 23] ; [20 83],[ 4.296875 20.703125] ; [17.703125 85.296875],0
a8,1,0.18033,1.7949,[ 1 23] ; [14 85],[ 2.92682927 21.07317073] ; [12.07317073 86.92682927],0
b5,1,0.196721,1.666551,[13 12] ; [39 64],[10.15625 14.84375] ; [41.84375 61.15625],0
p6,1,0.248863,1.329675,[ 9 14] ; [54 49],[11.5 11.5] ; [51.5 51.5],0
d5,1,0.291885,1.110906,[16  9] ; [76 26],[18.11023622  6.88976378] ; [73.88976378 28.11023622],0
b1,1,0.34668,0.885574,[10 15] ; [52 51],[12.109375 12.890625] ; [49.890625 53.109375],0
p7,1,0.393503,0.728091,[19  6] ; [85 17],[20.47244094  4.52755906] ; [83.52755906 18.47244094],0
u3,1,0.428207,0.62768,[7 7] ; [12 20],[5.7826087 8.2173913] ; [13.2173913 18.7826087],0
n2,1,0.45426,0.56,[6 2] ; [12  8],[5.14285714 2.85714286] ; [12.85714286  7.14285714],0
s4,1,0.476753,0.506281,[ 7 18] ; [22 81],[ 5.6640625 19.3359375] ; [23.3359375 79.6640625],0
u2,1,0.482305,0.493647,[9 5] ; [17 15],[7.91304348 6.08695652] ; [18.08695652 13.91304348],0
s2,1,0.503582,0.447379,[11 14] ; [53 50],[12.5 12.5] ; [51.5 51.5],0
s5,1,0.563233,0.334138,[ 9 15] ; [44 56],[10.25806452 13.74193548] ; [42.74193548 57.25806452],0
d4,1,0.565262,0.330674,[18  7] ; [79 23],[19.09448819  5.90551181] ; [77.90551181 24.09448819],0
p4,1,0.651059,0.204567,[17  8] ; [74 28],[17.91338583  7.08661417] ; [73.08661417 28.91338583],0
s6,1,0.655399,0.199161,[18  7] ; [66 32],[17.07317073  7.92682927] ; [66.92682927 31.07317073],0
d3,1,0.691123,0.157873,[13 12] ; [49 54],[12.109375 12.890625] ; [49.890625 53.109375],0
b4,1,0.691123,0.157873,[12 13] ; [54 49],[12.890625 12.109375] ; [53.109375 49.890625],0
b2,1,0.722982,0.125653,[4 7] ; [29 40],[4.5375 6.4625] ; [28.4625 40.5375],0
b3,1,0.722982,0.125653,[4 7] ; [29 40],[4.5375 6.4625] ; [28.4625 40.5375],0
p1,1,0.733698,0.115743,[ 3 22] ; [10 93],[ 2.5390625 22.4609375] ; [10.4609375 92.5390625],0
a6,1,0.773474,0.082848,[10 15] ; [38 65],[ 9.375 15.625] ; [38.625 64.375],0
n3,1,0.824016,0.049454,[5 3] ; [11  8],[4.74074074 3.25925926] ; [11.25925926  7.74074074],0
a1,1,0.856137,0.032868,[ 1 24] ; [ 5 98],[ 1.171875 23.828125] ; [ 4.828125 98.171875],0
a5,1,0.928137,0.008134,[17  8] ; [71 32],[17.1875  7.8125] ; [70.8125 32.1875],0
n1,1,1.0,0.0,[4 4] ; [10 10],[4. 4.] ; [10. 10.],0
