Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,5.1e-05,16.407254,[ 3 23] ; [146 129],[12.87043189 13.12956811] ; [136.12956811 138.87043189],1
p9,1,0.000237,13.510938,[20  9] ; [260  25],[25.85987261  3.14012739] ; [254.14012739  30.85987261],1
s2,1,0.000477,12.203704,[20  9] ; [260  27],[25.69620253  3.30379747] ; [254.30379747  32.69620253],1
r3,1,0.003283,8.643115,[25  4] ; [277   8],[27.89171975  1.10828025] ; [274.10828025  10.89171975],0
s8,1,0.004348,8.13256,[15 14] ; [217  68],[21.42675159  7.57324841] ; [210.57324841  74.42675159],0
n5,1,0.013959,6.043346,[19 10] ; [239  46],[23.82802548  5.17197452] ; [234.17197452  50.82802548],0
r4,1,0.024241,5.077293,[23  6] ; [264  23],[26.33860759  2.66139241] ; [260.66139241  26.33860759],0
n6,1,0.038687,4.274551,[22  7] ; [252  31],[25.46794872  3.53205128] ; [248.53205128  34.46794872],0
p5,1,0.053743,3.720649,[ 1 26] ; [ 52 232],[ 4.60128617 22.39871383] ; [ 48.39871383 235.60128617],0
d4,1,0.087649,2.917022,[22  7] ; [248  36],[25.01597444  3.98402556] ; [244.98402556  39.01597444],0
p4,1,0.090375,2.867674,[15 14] ; [192  93],[19.11783439  9.88216561] ; [187.88216561  97.11783439],0
d1,1,0.093023,2.821273,[15 14] ; [193  94],[19.08860759  9.91139241] ; [188.91139241  98.08860759],0
d5,1,0.108298,2.578884,[21  8] ; [239  45],[24.08945687  4.91054313] ; [235.91054313  48.08945687],0
v1,1,0.112729,2.51554,[12 16] ; [163 116],[15.96091205 12.03908795] ; [159.03908795 119.96091205],0
r1,1,0.127026,2.328481,[22  7] ; [247  39],[24.76507937  4.23492063] ; [244.23492063  41.76507937],0
a2,1,0.149281,2.079578,[ 5 24] ; [ 86 201],[ 8.35126582 20.64873418] ; [ 82.64873418 204.35126582],0
n1,1,0.156122,2.011394,[5 1] ; [33 29],[3.35294118 2.64705882] ; [34.64705882 27.35294118],0
p2,1,0.161649,1.958732,[22  7] ; [245  41],[24.58095238  4.41904762] ; [242.41904762  43.58095238],0
p8,1,0.167523,1.90497,[13 16] ; [164 118],[16.50482315 12.49517685] ; [160.49517685 121.50482315],0
p12,1,0.18095,1.789808,[ 1 28] ; [ 33 253],[ 3.13015873 25.86984127] ; [ 30.86984127 255.13015873],0
d2,1,0.214612,1.540042,[13 16] ; [162 123],[16.16242038 12.83757962] ; [158.83757962 126.16242038],0
a5,1,0.226786,1.460908,[20  9] ; [226  61],[22.57594937  6.42405063] ; [223.42405063  63.57594937],0
u2,1,0.265667,1.238985,[6 1] ; [31 17],[4.70909091 2.29090909] ; [32.29090909 15.70909091],0
a4,1,0.312476,1.020183,[12 17] ; [147 140],[14.59177215 14.40822785] ; [144.40822785 142.59177215],0
s4,1,0.343511,0.897285,[ 5 24] ; [ 72 214],[ 7.08888889 21.91111111] ; [ 69.91111111 216.08888889],0
a3,1,0.347131,0.883916,[22  7] ; [237  49],[23.84444444  5.15555556] ; [235.15555556  50.84444444],0
v2,1,0.350952,0.870013,[15 14] ; [168 109],[17.34313725 11.65686275] ; [165.65686275 111.34313725],0
p1,1,0.366981,0.813862,[ 2 27] ; [ 36 249],[ 3.50955414 25.49044586] ; [ 34.49044586 250.50955414],0
p10,1,0.400879,0.705689,[23  6] ; [242  42],[24.55271565  4.44728435] ; [240.44728435  43.55271565],0
b2,1,0.410778,0.676548,[10 10] ; [ 81 119],[ 8.27272727 11.72727273] ; [ 82.72727273 117.27272727],0
b3,1,0.410778,0.676548,[10 10] ; [ 81 119],[ 8.27272727 11.72727273] ; [ 82.72727273 117.27272727],0
p6,1,0.441695,0.591875,[11 18] ; [128 154],[12.96141479 16.03858521] ; [126.03858521 155.96141479],0
v3,1,0.46393,0.536396,[10 17] ; [122 153],[11.8013245 15.1986755] ; [120.1986755 154.8013245],0
b4,1,0.52577,0.40256,[15 14] ; [166 121],[16.61075949 12.38924051] ; [164.38924051 122.61075949],0
s1,1,0.534742,0.385373,[ 1 28] ; [ 18 266],[ 1.76038339 27.23961661] ; [ 17.23961661 266.76038339],0
a7,1,0.67162,0.179713,[19 10] ; [199  88],[20.00632911  8.99367089] ; [197.99367089  89.00632911],0
d3,1,0.680325,0.169761,[22  7] ; [206  79],[21.05732484  7.94267516] ; [206.94267516  78.05732484],0
a8,1,0.697275,0.151322,[ 4 23] ; [ 47 217],[ 4.73195876 22.26804124] ; [ 46.26804124 217.73195876],0
a6,1,0.70726,0.141029,[20  9] ; [186  98],[19.08626198  9.91373802] ; [186.91373802  97.08626198],0
u1,1,0.715846,0.132507,[ 6 23] ; [ 68 219],[ 6.79113924 22.20886076] ; [ 67.20886076 219.79113924],0
v4,1,0.721216,0.12733,[27  1] ; [278   7],[27.28434505  0.71565495] ; [277.71565495   7.28434505],0
n4,1,0.758809,0.094277,[24  5] ; [242  43],[24.56687898  4.43312102] ; [241.43312102  43.56687898],0
p11,1,0.767782,0.087189,[24  5] ; [231  56],[23.40189873  5.59810127] ; [231.59810127  55.40189873],0
p3,1,0.781788,0.076723,[15 13] ; [161 125],[15.69426752 12.30573248] ; [160.30573248 125.69426752],0
n2,1,0.819112,0.052298,[6 1] ; [51 11],[5.7826087 1.2173913] ; [51.2173913 10.7826087],0
u3,1,0.884946,0.020939,[5 2] ; [37 13],[5.15789474 1.84210526] ; [36.84210526 13.15789474],0
n3,1,0.891751,0.01852,[4 2] ; [43 19],[4.14705882 1.85294118] ; [42.85294118 19.14705882],0
a1,1,0.895231,0.017342,[ 2 27] ; [ 18 269],[ 1.83544304 27.16455696] ; [ 18.16455696 268.83544304],0
b1,1,0.906634,0.013756,[12 17] ; [122 165],[12.29746835 16.70253165] ; [121.70253165 165.29746835],0
b5,1,0.935296,0.006591,[17 12] ; [166 121],[16.7943038 12.2056962] ; [166.2056962 120.7943038],0
