Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,70.173428,[ 7 33] ; [124  21],[28.32432432 11.67567568] ; [102.67567568  42.32432432],1
r3,1,0.0,35.547797,[19 21] ; [130  15],[32.21621622  7.78378378] ; [116.78378378  28.21621622],1
r2,1,0.0,33.839427,[21 16] ; [135   9],[31.88950276  5.11049724] ; [124.11049724  19.88950276],1
r1,1,1.2e-05,19.123717,[14 26] ; [105  40],[25.72972973 14.27027027] ; [93.27027027 51.72972973],1
p10,1,2.8e-05,17.531448,[ 9 30] ; [87 56],[20.57142857 18.42857143] ; [75.42857143 67.57142857],1
n6,1,6.1e-05,16.067898,[16 24] ; [107  38],[26.59459459 13.40540541] ; [96.40540541 48.59459459],1
p9,1,0.00019,13.922562,[11 27] ; [88 52],[21.13483146 16.86516854] ; [77.86516854 62.13483146],1
u3,1,0.000359,12.736093,[ 3 15] ; [34 18],[9.51428571 8.48571429] ; [27.48571429 24.51428571],1
s6,1,0.000618,11.720566,[10 30] ; [79 63],[19.56043956 20.43956044] ; [69.43956044 72.56043956],1
s2,1,0.001766,9.77847,[ 7 33] ; [64 79],[15.51912568 24.48087432] ; [55.48087432 87.51912568],0
p11,1,0.002275,9.313047,[12 28] ; [83 62],[20.54054054 19.45945946] ; [74.45945946 70.54054054],0
s8,1,0.002384,9.227376,[ 4 36] ; [50 94],[11.73913043 28.26086957] ; [ 42.26086957 101.73913043],0
v2,1,0.006387,7.437659,[11 28] ; [72 64],[18.49714286 20.50285714] ; [64.50285714 71.49714286],0
p1,1,0.007506,7.147687,[ 8 32] ; [  9 136],[ 3.67567568 36.32432432] ; [ 13.32432432 131.67567568],0
d3,1,0.0156,5.847354,[15 25] ; [85 59],[21.73913043 18.26086957] ; [78.26086957 65.73913043],0
p4,1,0.021071,5.32092,[ 5 35] ; [44 99],[10.71038251 29.28961749] ; [ 38.28961749 104.71038251],0
p6,1,0.021168,5.312929,[ 2 37] ; [ 30 113],[ 6.85714286 32.14285714] ; [ 25.14285714 117.85714286],0
