Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,40.965711,[231  62] ; [25 39],[210.10644258  82.89355742] ; [45.89355742 18.10644258],1
s3,1,0.0,40.389204,[232  59] ; [26 38],[211.48732394  79.51267606] ; [46.51267606 17.48732394],1
s5,1,1e-06,23.279068,[136 148] ; [ 9 53],[119.01734104 164.98265896] ; [25.98265896 36.01734104],1
s8,1,7e-06,20.288736,[209  83] ; [27 37],[193.57303371  98.42696629] ; [42.42696629 21.57303371],1
r4,1,0.000238,13.505968,[271  23] ; [49 15],[262.79329609  31.20670391] ; [57.20670391  6.79329609],1
p9,1,0.000284,13.173571,[261  29] ; [46 17],[252.20963173  37.79036827] ; [54.79036827  8.20963173],1
v4,1,0.002739,8.973797,[284   8] ; [56  7],[279.66197183  12.33802817] ; [60.33802817  2.66197183],0
r3,1,0.003111,8.740959,[284   8] ; [57  7],[279.69662921  12.30337079] ; [61.30337079  2.69662921],0
r1,1,0.004079,8.248286,[250  43] ; [45 19],[242.11484594  50.88515406] ; [52.88515406 11.11484594],0
a2,1,0.02484,5.035,[ 97 197] ; [12 52],[ 89.51396648 204.48603352] ; [19.48603352 44.51396648],0
n5,1,0.024893,5.031294,[233  58] ; [43 21],[226.24225352  64.75774648] ; [49.75774648 14.24225352],0
a5,1,0.030517,4.679902,[238  56] ; [44 20],[231.58659218  62.41340782] ; [50.41340782 13.58659218],0
b2,1,0.038378,4.288189,[ 76 126] ; [24 20],[ 82.11382114 119.88617886] ; [17.88617886 26.11382114],0
b3,1,0.038378,4.288189,[ 76 126] ; [24 20],[ 82.11382114 119.88617886] ; [17.88617886 26.11382114],0
v1,1,0.043012,4.094946,[166 122] ; [27 35],[158.81142857 129.18857143] ; [34.18857143 27.81142857],0
n6,1,0.085058,2.965508,[255  36] ; [50 13],[250.72033898  40.27966102] ; [54.27966102  8.72033898],0
s4,1,0.087331,2.922905,[ 75 217] ; [10 54],[ 69.71910112 222.28089888] ; [15.28089888 48.71910112],0
p12,1,0.090294,2.869125,[ 21 271] ; [ 1 63],[ 18.04494382 273.95505618] ; [ 3.95505618 60.04494382],0
r2,1,0.102384,2.668013,[280  10] ; [57  5],[277.64204545  12.35795455] ; [59.35795455  2.64204545],0
b5,1,0.106039,2.612278,[188 106] ; [34 30],[182.31284916 111.68715084] ; [39.68715084 24.31284916],0
d1,1,0.106039,2.612278,[188 106] ; [34 30],[182.31284916 111.68715084] ; [39.68715084 24.31284916],0
d5,1,0.139547,2.182952,[246  46] ; [49 15],[241.96629213  50.03370787] ; [53.03370787 10.96629213],0
p10,1,0.185728,1.751186,[247  44] ; [50 14],[243.45633803  47.54366197] ; [53.54366197 10.45633803],0
n1,1,0.218614,1.513446,[29 35] ; [10  6],[31.2 32.8] ; [7.8 8.2],0
v2,1,0.236278,1.402663,[178 109] ; [34 29],[173.84 113.16] ; [38.16 24.84],0
d2,1,0.272673,1.203248,[164 129] ; [31 33],[160.04201681 132.95798319] ; [34.95798319 29.04201681],0
u2,1,0.296088,1.091731,[38 17] ; [7 6],[36.39705882 18.60294118] ; [8.60294118 4.39705882],0
p4,1,0.329079,0.95252,[184 109] ; [36 28],[180.56022409 112.43977591] ; [39.43977591 24.56022409],0
u3,1,0.381712,0.765182,[42 15] ; [8 5],[40.71428571 16.28571429] ; [9.28571429 3.71428571],0
b1,1,0.38415,0.757378,[123 171] ; [23 41],[119.89944134 174.10055866] ; [26.10055866 37.89944134],0
b4,1,0.386701,0.74929,[169 125] ; [33 31],[165.88826816 128.11173184] ; [36.11173184 27.88826816],0
d3,1,0.407094,0.687271,[212  81] ; [43 21],[209.28571429  83.71428571] ; [45.71428571 18.28571429],0
d4,1,0.419856,0.650719,[249  43] ; [52 12],[246.88764045  45.11235955] ; [54.11235955  9.88764045],0
u1,1,0.439872,0.596615,[ 78 216] ; [14 50],[ 75.55307263 218.44692737] ; [16.44692737 47.55307263],0
a7,1,0.451124,0.567826,[207  87] ; [42 22],[204.48603352  89.51396648] ; [44.51396648 19.48603352],0
a6,1,0.458559,0.54941,[201  91] ; [41 23],[198.49438202  93.50561798] ; [43.50561798 20.49438202],0
v3,1,0.488658,0.479479,[124 161] ; [24 38],[121.55619597 163.44380403] ; [26.44380403 35.55619597],0
p6,1,0.497971,0.459259,[120 170] ; [29 34],[122.40793201 167.59206799] ; [26.59206799 36.40793201],0
a4,1,0.512567,0.428823,[146 147] ; [29 35],[143.62745098 149.37254902] ; [31.37254902 32.62745098],0
p7,1,0.530325,0.393768,[192  92] ; [40 23],[189.87896254  94.12103746] ; [42.12103746 20.87896254],0
a8,1,0.535477,0.383988,[ 44 222] ; [11 44],[ 45.57632399 220.42367601] ; [ 9.42367601 45.57632399],0
n3,1,0.625585,0.238095,[44 20] ; [12  4],[44.8 19.2] ; [11.2  4.8],0
s1,1,0.703195,0.14517,[ 12 277] ; [ 2 62],[ 11.46175637 277.53824363] ; [ 2.53824363 61.46175637],0
p8,1,0.743564,0.107019,[145 141] ; [31 33],[143.81714286 142.18285714] ; [32.18285714 31.81714286],0
p2,1,0.768463,0.086663,[247  46] ; [53 11],[246.21848739  46.78151261] ; [53.78151261 10.21848739],0
n4,1,0.785462,0.074098,[237  55] ; [51 13],[236.2247191  55.7752809] ; [51.7752809 12.2247191],0
p1,1,0.78944,0.071309,[ 21 271] ; [ 4 60],[ 20.50561798 271.49438202] ; [ 4.49438202 59.50561798],0
a1,1,0.826475,0.04806,[ 12 282] ; [ 3 61],[ 12.31843575 281.68156425] ; [ 2.68156425 61.31843575],0
p3,1,0.844563,0.03844,[150 144] ; [33 30],[150.70588235 143.29411765] ; [32.29411765 30.70588235],0
p11,1,0.864003,0.029337,[228  66] ; [49 15],[227.48044693  66.51955307] ; [49.51955307 14.48044693],0
a3,1,0.990499,0.000142,[237  56] ; [51 12],[237.03370787  55.96629213] ; [50.96629213 12.03370787],0
n2,1,0.993657,6.3e-05,[49 15] ; [13  4],[48.98765432 15.01234568] ; [13.01234568  3.98765432],0
