Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,5e-05,16.437337,[25 20] ; [ 69 200],[13.47133758 31.52866242] ; [ 80.52866242 188.47133758],1
p6,1,5.3e-05,16.345282,[29 18] ; [ 87 192],[16.72392638 30.27607362] ; [ 99.27607362 179.72392638],1
s6,1,0.000505,12.096401,[33 14] ; [120 160],[21.99082569 25.00917431] ; [131.00917431 148.99082569],1
s8,1,0.000637,11.663806,[23 24] ; [ 70 213],[13.24545455 33.75454545] ; [ 79.75454545 203.24545455],1
s5,1,0.002552,9.102609,[19 27] ; [ 58 220],[10.93209877 35.06790123] ; [ 66.06790123 211.93209877],0
p11,1,0.00397,8.297339,[32 15] ; [242  42],[38.90634441  8.09365559] ; [235.09365559  48.90634441],0
u1,1,0.00568,7.649267,[13 34] ; [ 35 249],[ 6.81570997 40.18429003] ; [ 41.18429003 242.81570997],0
r1,1,0.012484,6.240862,[28 19] ; [218  66],[34.9305136 12.0694864] ; [211.0694864  72.9305136],0
s4,1,0.013263,6.133672,[10 35] ; [ 27 254],[ 5.10736196 39.89263804] ; [ 31.89263804 249.10736196],0
p10,1,0.051413,3.794772,[46  1] ; [250  32],[42.28571429  4.71428571] ; [253.71428571  28.28571429],0
b5,1,0.133893,2.246774,[34 13] ; [173 111],[29.39274924 17.60725076] ; [177.60725076 106.39274924],0
a1,1,0.156829,2.00454,[ 4 43] ; [ 11 273],[ 2.12990937 44.87009063] ; [ 12.87009063 271.12990937],0
n1,1,0.177751,1.816329,[ 2 11] ; [22 42],[4.05194805 8.94805195] ; [19.94805195 44.05194805],0
d1,1,0.239372,1.384288,[29 18] ; [149 135],[25.27492447 21.72507553] ; [152.72507553 131.27492447],0
v2,1,0.246255,1.344425,[30 17] ; [150 124],[26.35514019 20.64485981] ; [153.64485981 120.35514019],0
d3,1,0.273799,1.197614,[34 12] ; [186  97],[30.75987842 15.24012158] ; [189.24012158  93.75987842],0
n6,1,0.277586,1.178873,[41  5] ; [235  49],[38.47272727  7.52727273] ; [237.52727273  46.47272727],0
a4,1,0.287922,1.129313,[24 23] ; [121 162],[20.65151515 26.34848485] ; [124.34848485 158.65151515],0
d4,1,0.300644,1.071334,[40  7] ; [223  61],[37.34441088  9.65558912] ; [225.65558912  58.34441088],0
p4,1,0.301181,1.068958,[31 16] ; [164 119],[27.77272727 19.22727273] ; [167.22727273 115.77272727],0
p12,1,0.309265,1.033811,[ 1 46] ; [ 16 266],[ 2.42857143 44.57142857] ; [ 14.57142857 267.42857143],0
v1,1,0.321515,0.982773,[29 18] ; [151 129],[25.87155963 21.12844037] ; [154.12844037 125.87155963],0
a2,1,0.329826,0.949583,[12 35] ; [ 55 229],[ 9.51359517 37.48640483] ; [ 57.48640483 226.51359517],0
u2,1,0.442897,0.588766,[7 8] ; [51 38],[8.36538462 6.63461538] ; [49.63461538 39.36538462],0
n3,1,0.457862,0.551116,[8 5] ; [46 18],[9.11688312 3.88311688] ; [44.88311688 19.11688312],0
d5,1,0.47118,0.519207,[39  7] ; [228  56],[37.21818182  8.78181818] ; [229.78181818  54.21818182],0
u3,1,0.473819,0.513057,[9 6] ; [44 44],[7.7184466 7.2815534] ; [45.2815534 42.7184466],0
d2,1,0.482187,0.493913,[22 25] ; [117 166],[19.7969697 27.2030303] ; [119.2030303 163.7969697],0
b1,1,0.496982,0.461375,[14 33] ; [ 99 185],[16.04531722 30.95468278] ; [ 96.95468278 187.04531722],0
b4,1,0.523326,0.407334,[28 19] ; [155 129],[25.98489426 21.01510574] ; [157.01510574 126.98489426],0
r3,1,0.575401,0.313729,[45  2] ; [265  18],[44.15151515  2.84848485] ; [265.84848485  17.15151515],0
v3,1,0.593929,0.28425,[19 28] ; [100 175],[17.36956522 29.63043478] ; [101.63043478 173.36956522],0
a5,1,0.62824,0.234455,[36 11] ; [208  76],[34.64652568 12.35347432] ; [209.35347432  74.64652568],0
p1,1,0.63142,0.23014,[ 3 44] ; [ 24 260],[ 3.83383686 43.16616314] ; [ 23.16616314 260.83383686],0
a8,1,0.635436,0.224761,[ 4 36] ; [ 32 221],[ 4.91467577 35.08532423] ; [ 31.08532423 221.91467577],0
v4,1,0.636599,0.223217,[45  2] ; [267  17],[44.3021148  2.6978852] ; [267.6978852  16.3021148],0
n2,1,0.667436,0.184615,[8 5] ; [44 21],[8.66666667 4.33333333] ; [43.33333333 21.66666667],0
n5,1,0.70129,0.147134,[35 11] ; [207  75],[33.93902439 12.06097561] ; [208.06097561  73.93902439],0
p7,1,0.719178,0.129282,[30 17] ; [171 109],[28.88990826 18.11009174] ; [172.11009174 107.88990826],0
a7,1,0.733531,0.115894,[34 12] ; [203  81],[33.03636364 12.96363636] ; [203.96363636  80.03636364],0
p3,1,0.752628,0.099336,[24 23] ; [137 145],[23. 24.] ; [138. 144.],0
p2,1,0.763431,0.090588,[39  8] ; [238  43],[39.69207317  7.30792683] ; [237.30792683  43.69207317],0
p5,1,0.786718,0.073211,[ 5 42] ; [ 34 249],[ 5.55454545 41.44545455] ; [ 33.44545455 249.55454545],0
r2,1,0.825701,0.048496,[42  5] ; [254  27],[42.41463415  4.58536585] ; [253.58536585  27.41463415],0
b3,1,0.84711,0.037174,[11 16] ; [ 64 101],[10.546875 16.453125] ; [ 64.453125 100.546875],0
