Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,1e-06,23.203424,[44 98] ; [27  9],[56.64044944 85.35955056] ; [14.35955056 21.64044944],1
r4,1,9e-06,19.807661,[131  11] ; [23 13],[122.85393258  19.14606742] ; [31.14606742  4.85393258],1
v4,1,0.000162,14.224331,[138   4] ; [28  7],[133.17514124   8.82485876] ; [32.82485876  2.17514124],1
r2,1,0.000476,12.205866,[132   8] ; [27  9],[126.47727273  13.52272727] ; [32.52272727  3.47727273],1
n4,1,0.001057,10.724657,[110  32] ; [18 18],[102.11235955  39.88764045] ; [25.88764045 10.11235955],0
p2,1,0.002844,8.905013,[128  14] ; [24 10],[122.63636364  19.36363636] ; [29.36363636  4.63636364],0
r3,1,0.007715,7.098387,[134   8] ; [29  7],[130.03370787  11.96629213] ; [32.96629213  3.03370787],0
p9,1,0.008835,6.855921,[115  26] ; [22 14],[109.13559322  31.86440678] ; [27.86440678  8.13559322],0
n5,1,0.016167,5.784658,[101  41] ; [18 18],[94.93258427 47.06741573] ; [24.06741573 11.93258427],0
s1,1,0.022617,5.197671,[  2 139] ; [ 3 32],[  4.00568182 136.99431818] ; [ 0.99431818 34.00568182],0
p10,1,0.027031,4.888841,[111  31] ; [21 14],[105.89830508  36.10169492] ; [26.10169492  8.89830508],0
u2,1,0.041912,4.138742,[20 25] ; [8 2],[22.90909091 22.09090909] ; [5.09090909 4.90909091],0
d1,1,0.042617,4.110533,[82 60] ; [14 22],[76.58426966 65.41573034] ; [19.41573034 16.58426966],0
p11,1,0.050295,3.831597,[119  23] ; [25 11],[114.87640449  27.12359551] ; [29.12359551  6.87640449],0
b2,1,0.076459,3.138608,[39 52] ; [ 4 15],[35.57272727 55.42727273] ; [ 7.42727273 11.57272727],0
b3,1,0.076459,3.138608,[39 52] ; [ 4 15],[35.57272727 55.42727273] ; [ 7.42727273 11.57272727],0
p8,1,0.086162,2.944653,[89 52] ; [16 18],[84.6 56.4] ; [20.4 13.6],0
s8,1,0.124608,2.358423,[ 37 105] ; [ 5 31],[ 33.50561798 108.49438202] ; [ 8.49438202 27.50561798],0
d3,1,0.130643,2.28485,[92 49] ; [18 17],[88.125 52.875] ; [21.875 13.125],0
a7,1,0.13421,2.243123,[97 44] ; [20 16],[93.20338983 47.79661017] ; [23.79661017 12.20338983],0
s3,1,0.162004,1.955421,[ 39 101] ; [14 21],[42.4 97.6] ; [10.6 24.4],0
a8,1,0.193363,1.69181,[ 19 108] ; [ 2 30],[ 16.77358491 110.22641509] ; [ 4.22641509 27.77358491],0
d4,1,0.21146,1.561399,[108  34] ; [23 12],[105.0960452  36.9039548] ; [25.9039548  9.0960452],0
v1,1,0.215849,1.531755,[74 65] ; [15 21],[70.69142857 68.30857143] ; [18.30857143 17.69142857],0
a5,1,0.224012,1.47848,[98 44] ; [21 15],[94.93258427 47.06741573] ; [24.06741573 11.93258427],0
s5,1,0.232771,1.42385,[ 23 119] ; [ 3 33],[ 20.74157303 121.25842697] ; [ 5.25842697 30.74157303],0
v3,1,0.252676,1.308448,[58 80] ; [11 24],[55.04046243 82.95953757] ; [13.95953757 21.04046243],0
p3,1,0.258492,1.276816,[80 62] ; [16 19],[77.01694915 64.98305085] ; [18.98305085 16.01694915],0
u1,1,0.265469,1.240013,[ 17 125] ; [ 2 34],[ 15.15730337 126.84269663] ; [ 3.84269663 32.15730337],0
