Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,9e-06,19.623481,[57 52] ; [ 9 46],[43.86585366 65.13414634] ; [22.13414634 32.86585366],1
p9,1,3e-05,17.425154,[85 26] ; [22 29],[73.31481481 37.68518519] ; [33.68518519 17.31481481],1
p11,1,5.5e-05,16.258667,[82 29] ; [23 32],[70.21084337 40.78915663] ; [34.78915663 20.21084337],1
a7,1,0.003012,8.8,[88 22] ; [32 23],[80. 30.] ; [40. 15.],0
p10,1,0.003156,8.715136,[75 36] ; [23 30],[66.32926829 44.67073171] ; [31.67073171 21.32926829],0
v4,1,0.00319,8.695378,[101   8] ; [42 13],[95.04268293 13.95731707] ; [47.95731707  7.04268293],0
p8,1,0.005255,7.789663,[41 68] ; [ 9 46],[33.23170732 75.76829268] ; [16.76829268 38.23170732],0
a6,1,0.022262,5.225169,[73 38] ; [26 29],[66.19879518 44.80120482] ; [32.80120482 22.19879518],0
b1,1,0.02274,5.188281,[29 82] ; [24 31],[35.43975904 75.56024096] ; [17.56024096 37.43975904],0
d3,1,0.025096,5.017268,[81 29] ; [31 24],[74.66666667 35.33333333] ; [37.33333333 17.66666667],0
n6,1,0.02771,4.84604,[76 35] ; [28 27],[69.54216867 41.45783133] ; [34.45783133 20.54216867],0
a8,1,0.079261,3.08,[12 87] ; [ 2 53],[ 9. 90.] ; [ 5. 50.],0
p6,1,0.096517,2.762175,[21 89] ; [ 5 50],[17.33333333 92.66666667] ; [ 8.66666667 46.33333333],0
r3,1,0.098386,2.731509,[105   6] ; [48  7],[102.30722892   8.69277108] ; [50.69277108  4.30722892],0
r4,1,0.138287,2.19692,[90 21] ; [39 16],[86.25903614 24.74096386] ; [42.74096386 12.25903614],0
s3,1,0.158928,1.984393,[51 58] ; [19 35],[46.80981595 62.19018405] ; [23.19018405 30.80981595],0
n3,1,0.231998,1.428571,[30 10] ; [12  8],[28. 12.] ; [14.  6.],0
u3,1,0.247284,1.338586,[20 23] ; [13  8],[22.171875 20.828125] ; [10.828125 10.171875],0
r1,1,0.260084,1.26831,[82 29] ; [36 19],[78.90361446 32.09638554] ; [39.09638554 15.90361446],0
a4,1,0.279448,1.169775,[35 76] ; [22 33],[38.11445783 72.88554217] ; [18.88554217 36.11445783],0
d2,1,0.288052,1.128702,[39 72] ; [24 31],[42.12650602 68.87349398] ; [20.87349398 34.12650602],0
s1,1,0.298838,1.079373,[  4 107] ; [ 4 51],[  5.34939759 105.65060241] ; [ 2.65060241 52.34939759],0
n4,1,0.322982,0.976835,[43 68] ; [17 38],[40.12048193 70.87951807] ; [19.87951807 35.12048193],0
n2,1,0.348249,0.879828,[26 13] ; [12 10],[24.29508197 14.70491803] ; [13.70491803  8.29508197],0
a5,1,0.350767,0.870679,[63 48] ; [27 28],[60.18072289 50.81927711] ; [29.81927711 25.18072289],0
s8,1,0.35318,0.862,[30 81] ; [11 43],[27.58181818 83.41818182] ; [13.41818182 40.58181818],0
a2,1,0.377235,0.779694,[ 11 100] ; [ 8 47],[12.70481928 98.29518072] ; [ 6.29518072 48.70481928],0
s5,1,0.408193,0.684057,[26 83] ; [ 9 41],[23.99371069 85.00628931] ; [11.00628931 38.99371069],0
s6,1,0.419279,0.652335,[54 56] ; [22 30],[51.60493827 58.39506173] ; [24.39506173 27.60493827],0
n1,1,0.422387,0.643664,[ 9 31] ; [ 7 15],[10.32258065 29.67741935] ; [ 5.67741935 16.32258065],0
p4,1,0.458318,0.55,[32 78] ; [13 42],[30. 80.] ; [15. 40.],0
s4,1,0.464442,0.535169,[19 92] ; [12 43],[20.72891566 90.27108434] ; [10.27108434 44.72891566],0
b4,1,0.47428,0.511986,[67 44] ; [30 25],[64.86144578 46.13855422] ; [32.13855422 22.86144578],0
v1,1,0.511019,0.43198,[40 69] ; [17 37],[38.11656442 70.88343558] ; [18.88343558 35.11656442],0
b5,1,0.52437,0.40529,[67 44] ; [36 19],[68.87349398 42.12650602] ; [34.12650602 20.87349398],0
r2,1,0.558653,0.342041,[97 13] ; [45  8],[95.82822086 14.17177914] ; [46.17177914  6.82822086],0
d4,1,0.605228,0.267183,[87 24] ; [45 10],[88.26506024 22.73493976] ; [43.73493976 11.26506024],0
u2,1,0.609424,0.261015,[26 18] ; [11 10],[25.04615385 18.95384615] ; [11.95384615  9.04615385],0
v2,1,0.609758,0.260527,[54 53] ; [24 28],[52.49056604 54.50943396] ; [25.50943396 26.49056604],0
d5,1,0.615936,0.25162,[80 30] ; [42 13],[81.33333333 28.66666667] ; [40.66666667 14.33333333],0
b2,1,0.681642,0.168283,[17 38] ; [ 8 22],[16.17647059 38.82352941] ; [ 8.82352941 21.17647059],0
b3,1,0.681642,0.168283,[17 38] ; [ 8 22],[16.17647059 38.82352941] ; [ 8.82352941 21.17647059],0
u1,1,0.696205,0.15245,[ 10 101] ; [ 6 49],[ 10.69879518 100.30120482] ; [ 5.30120482 49.69879518],0
p1,1,0.720404,0.128106,[  3 107] ; [ 1 54],[  2.66666667 107.33333333] ; [ 1.33333333 53.66666667],0
p12,1,0.732697,0.11665,[  3 107] ; [ 1 53],[  2.68292683 107.31707317] ; [ 1.31707317 52.68292683],0
a3,1,0.82173,0.050769,[66 44] ; [34 21],[66.66666667 43.33333333] ; [33.33333333 21.66666667],0
s2,1,0.900192,0.01573,[40 71] ; [20 34],[40.36363636 70.63636364] ; [19.63636364 34.36363636],0
s7,1,0.918829,0.010385,[32 76] ; [15 37],[31.725 76.275] ; [15.275 36.725],0
v3,1,0.946987,0.004421,[27 81] ; [13 38],[27.16981132 80.83018868] ; [12.83018868 38.16981132],0
d1,1,0.954002,0.003327,[53 58] ; [26 29],[52.8253012 58.1746988] ; [26.1746988 28.8253012],0
a1,1,0.991507,0.000113,[  4 107] ; [ 2 53],[  4.01204819 106.98795181] ; [ 1.98795181 53.01204819],0
