Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.0,40.910631,[18 98] ; [117 112],[45.39130435 70.60869565] ; [ 89.60869565 139.39130435],1
a3,1,0.0,37.674578,[50 66] ; [175  54],[75.65217391 40.34782609] ; [149.34782609  79.65217391],1
d1,1,0.0,33.902201,[35 81] ; [145  84],[60.52173913 55.47826087] ; [119.47826087 109.52173913],1
d2,1,0.0,32.612877,[26 89] ; [126 103],[50.81395349 64.18604651] ; [101.18604651 127.81395349],1
n4,1,1e-06,25.247856,[62 53] ; [183  46],[81.90406977 33.09593023] ; [163.09593023  65.90406977],1
r1,1,1e-06,25.042146,[68 48] ; [190  38],[87. 29.] ; [171.  57.],1
d4,1,1e-06,24.434119,[70 44] ; [195  34],[88.07580175 25.92419825] ; [176.92419825  52.07580175],1
d5,1,2e-06,22.845805,[71 44] ; [194  35],[88.59011628 26.40988372] ; [176.40988372  52.59011628],1
a6,1,5e-06,20.76337,[60 56] ; [174  55],[78.67826087 37.32173913] ; [155.32173913  73.67826087],1
p10,1,5.6e-05,16.237926,[74 41] ; [190  37],[88.77192982 26.22807018] ; [175.22807018  51.77192982],1
p9,1,8.5e-05,15.449294,[80 34] ; [198  28],[93.21176471 20.78823529] ; [184.78823529  41.21176471],1
r4,1,9.4e-05,15.254542,[88 28] ; [209  20],[99.86086957 16.13913043] ; [197.13913043  31.86086957],1
u1,1,0.000627,11.695374,[  6 110] ; [ 43 186],[16.47536232 99.52463768] ; [ 32.52463768 196.47536232],1
r2,1,0.000775,11.300034,[97 19] ; [213  12],[105.45454545  10.54545455] ; [204.54545455  20.45454545],1
d3,1,0.000886,11.052777,[65 49] ; [171  58],[78.43731778 35.56268222] ; [157.56268222  71.43731778],1
s6,1,0.001456,10.132929,[58 56] ; [153  70],[71.3768546 42.6231454] ; [139.6231454  83.3768546],0
p4,1,0.003388,8.585915,[52 63] ; [141  87],[64.70845481 50.29154519] ; [128.29154519  99.70845481],0
p3,1,0.00381,8.372345,[38 78] ; [112 116],[50.58139535 65.41860465] ; [ 99.41860465 128.58139535],0
s7,1,0.006141,7.508594,[39 73] ; [110 107],[50.72340426 61.27659574] ; [ 98.27659574 118.72340426],0
v2,1,0.021428,5.291607,[34 77] ; [ 97 125],[43.66666667 67.33333333] ; [ 87.33333333 134.66666667],0
p7,1,0.027651,4.849685,[63 49] ; [154  71],[72.11869436 39.88130564] ; [144.88130564  80.11869436],0
b2,1,0.041235,4.16635,[12 48] ; [44 83],[17.96791444 42.03208556] ; [38.03208556 88.96791444],0
b3,1,0.041235,4.16635,[12 48] ; [44 83],[17.96791444 42.03208556] ; [38.03208556 88.96791444],0
s5,1,0.043759,4.065839,[25 88] ; [ 72 148],[32.91591592 80.08408408] ; [ 64.08408408 155.91591592],0
b4,1,0.062037,3.482085,[75 41] ; [124 105],[66.91014493 49.08985507] ; [132.08985507  96.91014493],0
n6,1,0.070635,3.268191,[89 27] ; [193  35],[95.09302326 20.90697674] ; [186.90697674  41.09302326],0
v3,1,0.073891,3.194391,[22 91] ; [ 64 161],[28.75147929 84.24852071] ; [ 57.24852071 167.75147929],0
p11,1,0.076292,3.142167,[84 32] ; [185  44],[90.44637681 25.55362319] ; [178.55362319  50.44637681],0
r3,1,0.088523,2.901032,[103  11] ; [216  11],[106.64516129   7.35483871] ; [212.35483871  14.64516129],0
p12,1,0.088886,2.894442,[  2 113] ; [ 13 214],[  5.04385965 109.95614035] ; [  9.95614035 217.04385965],0
s8,1,0.099423,2.714772,[35 81] ; [ 89 138],[41.93586006 74.06413994] ; [ 82.06413994 144.93586006],0
v4,1,0.130843,2.282475,[106   9] ; [218   9],[108.94736842   6.05263158] ; [215.05263158  11.94736842],0
n5,1,0.131994,2.268891,[70 45] ; [156  70],[76.2170088 38.7829912] ; [149.7829912  76.2170088],0
n3,1,0.135528,2.228009,[23 13] ; [49 14],[26.18181818  9.81818182] ; [45.81818182 17.18181818],0
p5,1,0.151136,2.060743,[  6 110] ; [ 22 206],[  9.44186047 106.55813953] ; [ 18.55813953 209.44186047],0
n1,1,0.204661,1.6088,[ 8 28] ; [21 40],[10.7628866 25.2371134] ; [18.2371134 42.7628866],0
u3,1,0.214696,1.539474,[30 35] ; [30 22],[33.33333333 31.66666667] ; [26.66666667 25.33333333],0
b5,1,0.241045,1.374474,[70 46] ; [123 106],[64.89275362 51.10724638] ; [128.10724638 100.89275362],0
s2,1,0.24145,1.372107,[50 66] ; [113 114],[55.12536443 60.87463557] ; [107.87463557 119.12536443],0
u2,1,0.242637,1.365208,[31 34] ; [31 22],[34.15254237 30.84745763] ; [27.84745763 25.15254237],0
a1,1,0.270562,1.213897,[  2 114] ; [  9 220],[  3.69855072 112.30144928] ; [  7.30144928 221.69855072],0
