Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,3e-06,21.910749,[ 63 109] ; [40 15],[78.04405286 93.95594714] ; [24.95594714 30.04405286],1
s6,1,4.1e-05,16.82684,[92 83] ; [46  9],[105.  70.] ; [33. 22.],1
s7,1,0.002352,9.252011,[ 54 113] ; [29 23],[ 63.29223744 103.70776256] ; [19.70776256 32.29223744],0
r3,1,0.004985,7.884977,[168   7] ; [46  8],[163.5371179  11.4628821] ; [50.4628821  3.5371179],0
p5,1,0.005498,7.708021,[  7 169] ; [ 8 47],[ 11.42857143 164.57142857] ; [ 3.57142857 51.42857143],0
s3,1,0.015576,5.850084,[80 94] ; [35 19],[87.76315789 86.23684211] ; [27.23684211 26.76315789],0
p3,1,0.024875,5.032596,[ 51 124] ; [25 30],[ 57.82608696 117.17391304] ; [18.17391304 36.82608696],0
d2,1,0.030323,4.690904,[ 70 106] ; [30 23],[76.8558952 99.1441048] ; [23.1441048 29.8558952],0
n2,1,0.033641,4.512864,[33 19] ; [13  1],[36.24242424 15.75757576] ; [9.75757576 4.24242424],0
p12,1,0.033656,4.51209,[  8 166] ; [ 7 48],[ 11.39737991 162.60262009] ; [ 3.60262009 51.39737991],0
p11,1,0.044103,4.052632,[136  40] ; [35 20],[130.28571429  45.71428571] ; [40.71428571 14.28571429],0
d1,1,0.053131,3.739803,[89 87] ; [36 19],[95.23809524 80.76190476] ; [29.76190476 25.23809524],0
n1,1,0.061374,3.499864,[16 37] ; [8 6],[18.98507463 34.01492537] ; [5.01492537 8.98507463],0
s4,1,0.067613,3.34005,[ 19 157] ; [11 43],[ 22.95652174 153.04347826] ; [ 7.04347826 46.95652174],0
d4,1,0.087021,2.928642,[134  42] ; [47  7],[138.50434783  37.49565217] ; [42.49565217 11.50434783],0
u2,1,0.106094,2.611465,[31 36] ; [11  5],[33.90361446 33.09638554] ; [8.09638554 7.90361446],0
u3,1,0.108665,2.573529,[36 32] ; [12  4],[38.85714286 29.14285714] ; [9.14285714 6.85714286],0
p9,1,0.154824,2.024065,[140  34] ; [48  6],[143.47368421  30.52631579] ; [44.52631579  9.47368421],0
p4,1,0.157524,1.997838,[80 96] ; [31 24],[84.57142857 91.42857143] ; [26.42857143 28.57142857],0
b4,1,0.188794,1.727002,[111  65] ; [40 15],[115.04761905  60.95238095] ; [35.95238095 19.04761905],0
a3,1,0.198959,1.65,[108  68] ; [39 16],[112.  64.] ; [35. 20.],0
p10,1,0.214395,1.5415,[128  46] ; [45 10],[131.44978166  42.55021834] ; [41.55021834 13.44978166],0
d5,1,0.22085,1.498842,[137  39] ; [47  8],[140.19047619  35.80952381] ; [43.80952381 11.19047619],0
p1,1,0.223798,1.479852,[ 13 162] ; [ 7 48],[ 15.2173913 159.7826087] ; [ 4.7826087 50.2173913],0
s8,1,0.227227,1.458133,[ 53 123] ; [21 33],[ 56.62608696 119.37391304] ; [17.37391304 36.62608696],0
u1,1,0.235252,1.408821,[ 21 155] ; [10 45],[ 23.61904762 152.38095238] ; [ 7.38095238 47.61904762],0
n3,1,0.253056,1.306355,[33 20] ; [11  3],[34.80597015 18.19402985] ; [9.19402985 4.80597015],0
a6,1,0.29981,1.075038,[122  54] ; [34 21],[118.85714286  57.14285714] ; [37.14285714 17.85714286],0
p6,1,0.327402,0.959148,[ 26 150] ; [11 43],[ 28.31304348 147.68695652] ; [ 8.68695652 45.31304348],0
a4,1,0.328704,0.953995,[ 67 109] ; [25 30],[ 70.0952381 105.9047619] ; [21.9047619 33.0952381],0
r2,1,0.333121,0.936727,[159  17] ; [52  3],[160.76190476  15.23809524] ; [50.23809524  4.76190476],0
