Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,8.9e-05,15.364474,[28 41] ; [25  5],[36.93939394 32.06060606] ; [16.06060606 13.93939394],1
p4,1,0.000294,13.105813,[10 59] ; [15 16],[17.25 51.75] ; [ 7.75 23.25],1
p6,1,0.000369,12.684029,[ 3 65] ; [ 9 21],[ 8.32653061 59.67346939] ; [ 3.67346939 26.32653061],1
p8,1,0.001392,10.216833,[ 8 60] ; [12 18],[13.87755102 54.12244898] ; [ 6.12244898 23.87755102],0
p10,1,0.003058,8.772659,[26 41] ; [22  9],[32.81632653 34.18367347] ; [15.18367347 15.81632653],0
s2,1,0.005544,7.692929,[11 57] ; [13 18],[16.48484848 51.51515152] ; [ 7.51515152 23.48484848],0
s3,1,0.027556,4.855606,[17 50] ; [14 15],[21.63541667 45.36458333] ; [ 9.36458333 19.63541667],0
n6,1,0.028089,4.82258,[40 28] ; [10 19],[35.05154639 32.94845361] ; [14.94845361 14.05154639],0
b3,1,0.03253,4.570366,[20 22] ; [ 3 14],[16.37288136 25.62711864] ; [ 6.62711864 10.37288136],0
b2,1,0.03253,4.570366,[20 22] ; [ 3 14],[16.37288136 25.62711864] ; [ 6.62711864 10.37288136],0
r3,1,0.042008,4.134873,[32 35] ; [21  9],[36.60824742 30.39175258] ; [16.39175258 13.60824742],0
s6,1,0.044219,4.048175,[18 51] ; [14 16],[22.3030303 46.6969697] ; [ 9.6969697 20.3030303],0
u2,1,0.048607,3.888889,[10 20] ; [8 4],[12.85714286 17.14285714] ; [5.14285714 6.85714286],0
v4,1,0.050361,3.8294,[36 33] ; [20  7],[40.25 28.75] ; [15.75 11.25],0
p11,1,0.074574,3.179355,[29 40] ; [19 12],[33.12 35.88] ; [14.88 16.12],0
d1,1,0.080936,3.045996,[28 41] ; [ 7 24],[24.15 44.85] ; [10.85 20.15],0
a2,1,0.095832,2.773579,[10 59] ; [ 1 30],[ 7.59 61.41] ; [ 3.41 27.59],0
b4,1,0.14808,2.09192,[44 25] ; [15 16],[40.71 28.29] ; [18.29 12.71],0
s5,1,0.16393,1.937598,[ 8 60] ; [ 7 24],[10.3030303 57.6969697] ; [ 4.6969697 26.3030303],0
p9,1,0.187438,1.737641,[30 34] ; [19 12],[33.01052632 30.98947368] ; [15.98947368 15.01052632],0
v2,1,0.211016,1.564444,[22 44] ; [14 16],[24.75 41.25] ; [11.25 18.75],0
s8,1,0.228913,1.447606,[ 9 60] ; [ 7 24],[11.04 57.96] ; [ 4.96 26.04],0
v3,1,0.234358,1.414212,[16 53] ; [ 4 27],[13.8 55.2] ; [ 6.2 24.8],0
n4,1,0.243576,1.359779,[42 27] ; [15 16],[39.33 29.67] ; [17.67 13.33],0
a1,1,0.252443,1.309731,[10 59] ; [ 2 29],[ 8.28 60.72] ; [ 3.72 27.28],0
n5,1,0.281309,1.160755,[46 23] ; [16 13],[43.65306122 25.34693878] ; [18.34693878 10.65306122],0
n2,1,0.313732,1.014898,[19 18] ; [10  5],[20.63461538 16.36538462] ; [8.36538462 6.63461538],0
r2,1,0.38118,0.766893,[35 31] ; [17 10],[36.90322581 29.09677419] ; [15.09677419 11.90322581],0
p5,1,0.381544,0.765721,[ 2 67] ; [ 2 28],[ 2.78787879 66.21212121] ; [ 1.21212121 28.78787879],0
v1,1,0.385229,0.753949,[17 49] ; [10 19],[18.75789474 47.24210526] ; [ 8.24210526 20.75789474],0
n3,1,0.405563,0.691769,[17 19] ; [9 6],[18.35294118 17.64705882] ; [7.64705882 7.35294118],0
a5,1,0.415853,0.662004,[35 34] ; [13 18],[33.12 35.88] ; [14.88 16.12],0
d4,1,0.427805,0.628775,[43 25] ; [17 14],[41.21212121 26.78787879] ; [18.78787879 12.21212121],0
u3,1,0.439261,0.598212,[ 8 22] ; [5 8],[ 9.06976744 20.93023256] ; [3.93023256 9.06976744],0
d2,1,0.465038,0.533742,[29 38] ; [11 20],[27.34693878 39.65306122] ; [12.65306122 18.34693878],0
a7,1,0.472738,0.515568,[32 36] ; [17 14],[33.65656566 34.34343434] ; [15.34343434 15.65656566],0
b5,1,0.496407,0.46261,[35 34] ; [18 13],[36.57 32.43] ; [16.43 14.57],0
p12,1,0.56483,0.331411,[ 1 67] ; [ 1 30],[ 1.37373737 66.62626263] ; [ 0.62626263 30.37373737],0
a6,1,0.584637,0.298799,[33 36] ; [13 18],[31.74 37.26] ; [14.26 16.74],0
s7,1,0.633192,0.227757,[18 48] ; [ 9 19],[18.95744681 47.04255319] ; [ 8.04255319 19.95744681],0
r1,1,0.665303,0.187146,[20 49] ; [10 20],[20.90909091 48.09090909] ; [ 9.09090909 20.90909091],0
d5,1,0.66769,0.184316,[41 28] ; [17 14],[40.02 28.98] ; [17.98 13.02],0
b1,1,0.726079,0.122742,[33 36] ; [16 15],[33.81 35.19] ; [15.19 15.81],0
a4,1,0.767971,0.087043,[24 44] ; [10 21],[23.35353535 44.64646465] ; [10.64646465 20.35353535],0
d3,1,0.779867,0.078116,[32 37] ; [13 17],[31.36363636 37.63636364] ; [13.63636364 16.36363636],0
a3,1,0.806589,0.059941,[39 29] ; [18 12],[39.55102041 28.44897959] ; [17.44897959 12.55102041],0
s4,1,0.832156,0.044917,[10 59] ; [ 5 26],[10.35 58.65] ; [ 4.65 26.35],0
u1,1,0.885451,0.020754,[ 5 64] ; [ 2 29],[ 4.83 64.17] ; [ 2.17 28.83],0
s1,1,0.898574,0.016247,[ 4 65] ; [ 2 29],[ 4.14 64.86] ; [ 1.86 29.14],0
a8,1,0.923905,0.009123,[ 4 61] ; [ 2 28],[ 4.10526316 60.89473684] ; [ 1.89473684 28.10526316],0
n1,1,0.949971,0.003937,[12 25] ; [ 5 10],[12.09615385 24.90384615] ; [ 4.90384615 10.09615385],0
