Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.000472,12.222222,[10  5] ; [11 44],[ 4.5 10.5] ; [16.5 38.5],1
p4,1,0.027293,4.87218,[10  5] ; [20 37],[6.25 8.75] ; [23.75 33.25],0
r3,1,0.037105,4.345601,[14  1] ; [37 19],[10.77464789  4.22535211] ; [40.22535211 15.77464789],0
b1,1,0.037928,4.308253,[10  5] ; [21 36],[6.45833333 8.54166667] ; [24.54166667 32.45833333],0
s8,1,0.062693,3.464662,[6 9] ; [10 47],[ 3.33333333 11.66666667] ; [12.66666667 44.33333333],0
v4,1,0.080471,3.055373,[13  1] ; [40 17],[10.45070423  3.54929577] ; [42.54929577 14.45070423],0
b4,1,0.146793,2.105263,[ 5 10] ; [31 26],[7.5 7.5] ; [28.5 28.5],0
p11,1,0.14966,2.075713,[11  4] ; [30 27],[8.54166667 6.45833333] ; [32.45833333 24.54166667],0
a3,1,0.169165,1.890331,[8 7] ; [19 37],[5.70422535 9.29577465] ; [21.29577465 34.70422535],0
n5,1,0.218258,1.515789,[12  3] ; [36 21],[10.  5.] ; [38. 19.],0
n4,1,0.274828,1.192492,[10  5] ; [29 28],[8.125 6.875] ; [30.875 26.125],0
n2,1,0.29203,1.11024,[5 1] ; [12  8],[3.92307692 2.07692308] ; [13.07692308  6.92307692],0
s6,1,0.302975,1.061053,[8 7] ; [22 35],[6.25 8.75] ; [23.75 33.25],0
d1,1,0.302975,1.061053,[ 1 14] ; [ 1 56],[ 0.41666667 14.58333333] ; [ 1.58333333 55.41666667],0
p7,1,0.317742,0.998217,[9 6] ; [25 30],[7.28571429 7.71428571] ; [26.71428571 28.28571429],0
p10,1,0.33039,0.947368,[10  5] ; [30 27],[8.33333333 6.66666667] ; [31.66666667 25.33333333],0
s5,1,0.335205,0.928683,[ 1 13] ; [10 47],[ 2.16901408 11.83098592] ; [ 8.83098592 48.16901408],0
u3,1,0.374916,0.787305,[3 4] ; [10 28],[2.02222222 4.97777778] ; [10.97777778 27.02222222],0
u2,1,0.376354,0.782577,[3 3] ; [12 26],[2.04545455 3.95454545] ; [12.95454545 25.04545455],0
p2,1,0.461415,0.542459,[11  4] ; [36 21],[9.79166667 5.20833333] ; [37.20833333 19.79166667],0
b5,1,0.487384,0.482297,[8 7] ; [36 21],[9.16666667 5.83333333] ; [34.83333333 22.16666667],0
n3,1,0.518416,0.417043,[5 1] ; [14  6],[4.38461538 1.61538462] ; [14.61538462  5.38461538],0
a5,1,0.528052,0.398139,[ 3 12] ; [16 41],[ 3.95833333 11.04166667] ; [15.04166667 41.95833333],0
a6,1,0.537679,0.379859,[ 5 10] ; [24 33],[6.04166667 8.95833333] ; [22.95833333 34.04166667],0
n6,1,0.538167,0.378947,[11  4] ; [37 20],[10.  5.] ; [38. 19.],0
a4,1,0.538167,0.378947,[ 1 14] ; [ 7 50],[ 1.66666667 13.33333333] ; [ 6.33333333 50.66666667],0
s1,1,0.586042,0.296568,[ 1 14] ; [ 2 55],[ 0.625 14.375] ; [ 2.375 54.625],0
p8,1,0.605516,0.266757,[7 8] ; [22 34],[6.12676056 8.87323944] ; [22.87323944 33.12676056],0
p5,1,0.611299,0.258288,[ 2 13] ; [ 5 51],[ 1.47887324 13.52112676] ; [ 5.52112676 50.47887324],0
s7,1,0.643991,0.21356,[4 9] ; [14 43],[3.34285714 9.65714286] ; [14.65714286 42.34285714],0
p9,1,0.683771,0.165911,[11  4] ; [38 18],[10.35211268  4.64788732] ; [38.64788732 17.35211268],0
p3,1,0.689874,0.159222,[ 5 10] ; [16 41],[ 4.375 10.625] ; [16.625 40.375],0
d4,1,0.750902,0.100774,[7 8] ; [24 33],[6.45833333 8.54166667] ; [24.54166667 32.45833333],0
r4,1,0.788229,0.072152,[6 9] ; [25 32],[6.45833333 8.54166667] ; [24.54166667 32.45833333],0
a8,1,0.817351,0.05334,[ 1 13] ; [ 5 50],[ 1.2173913 12.7826087] ; [ 4.7826087 50.2173913],0
v3,1,0.825839,0.048418,[ 3 12] ; [10 47],[ 2.70833333 12.29166667] ; [10.29166667 46.70833333],0
s4,1,0.825839,0.048418,[ 3 12] ; [10 47],[ 2.70833333 12.29166667] ; [10.29166667 46.70833333],0
r2,1,0.865998,0.028474,[9 5] ; [38 19],[9.26760563 4.73239437] ; [37.73239437 19.26760563],0
n1,1,0.876697,0.024074,[2 4] ; [ 6 14],[1.84615385 4.15384615] ; [ 6.15384615 13.84615385],0
a7,1,0.883011,0.021654,[6 9] ; [24 33],[6.25 8.75] ; [23.75 33.25],0
d3,1,0.914011,0.01166,[ 4 11] ; [16 41],[ 4.16666667 10.83333333] ; [15.83333333 41.16666667],0
d2,1,0.928829,0.007978,[ 3 12] ; [12 45],[ 3.125 11.875] ; [11.875 45.125],0
s3,1,0.940236,0.005621,[6 9] ; [23 33],[6.12676056 8.87323944] ; [22.87323944 33.12676056],0
p6,1,0.975369,0.000953,[ 3 12] ; [11 45],[ 2.95774648 12.04225352] ; [11.04225352 44.95774648],0
s2,1,1.0,0.0,[ 5 10] ; [19 38],[ 5. 10.] ; [19. 38.],0
