Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,32.051416,[197  86] ; [73 98],[168.30396476 114.69603524] ; [101.69603524  69.30396476],1
v3,1,0.0,28.855042,[146 132] ; [ 46 126],[118.61333333 159.38666667] ; [73.38666667 98.61333333],1
n5,1,3.8e-05,16.950514,[255  31] ; [132  45],[239.05399568  46.94600432] ; [147.94600432  29.05399568],1
p10,1,0.000912,10.998904,[276  11] ; [156  21],[267.20689655  19.79310345] ; [164.79310345  12.20689655],1
p8,1,0.004968,7.89092,[202  82] ; [104  74],[188.1038961  95.8961039] ; [117.8961039  60.1038961],0
d1,1,0.010877,6.485314,[200  88] ; [103  75],[187.26180258 100.73819742] ; [115.73819742  62.26180258],0
s8,1,0.013521,6.099678,[163 123] ; [80 97],[150.10367171 135.89632829] ; [92.89632829 84.10367171],0
n4,1,0.021546,5.282117,[249  38] ; [140  38],[240.09247312  46.90752688] ; [148.90752688  29.09247312],0
d5,1,0.023695,5.116807,[250  37] ; [141  37],[241.32688172  45.67311828] ; [149.67311828  28.32688172],0
r4,1,0.023867,5.104286,[271  17] ; [157  21],[264.51502146  23.48497854] ; [163.48497854  14.51502146],0
u3,1,0.037608,4.322643,[48 19] ; [23 21],[42.85585586 24.14414414] ; [28.14414414 15.85585586],0
u4,1,0.044354,4.04303,[ 10 278] ; [  1 177],[  6.79828326 281.20171674] ; [  4.20171674 173.79828326],0
n6,1,0.045353,4.005483,[260  26] ; [151  27],[253.33189655  32.66810345] ; [157.66810345  20.33189655],0
u1,1,0.058648,3.575205,[ 68 220] ; [ 29 149],[ 59.94849785 228.05150215] ; [ 37.05150215 140.94849785],0
r3,1,0.067054,3.353703,[280   8] ; [165  11],[276.20689655  11.79310345] ; [168.79310345   7.20689655],0
b5,1,0.072491,3.225706,[178 110] ; [95 83],[168.72103004 119.27896996] ; [104.27896996  73.72103004],0
p5,1,0.073265,3.208316,[ 59 227] ; [ 25 153],[ 51.77586207 234.22413793] ; [ 32.22413793 145.77586207],0
s1,1,0.083661,2.992297,[  6 277] ; [  9 169],[  9.20824295 273.79175705] ; [  5.79175705 172.20824295],0
r1,1,0.095616,2.777182,[242  44] ; [139  38],[235.34773218  50.65226782] ; [145.65226782  31.34773218],0
u2,1,0.104484,2.635725,[38 29] ; [33 13],[42.09734513 24.90265487] ; [28.90265487 17.09734513],0
r2,1,0.127692,2.320339,[272  13] ; [161  14],[268.27173913  16.72826087] ; [164.72826087  10.27173913],0
p7,1,0.137565,2.204987,[223  62] ; [127  49],[216.37744035  68.62255965] ; [133.62255965  42.37744035],0
p11,1,0.146981,2.103308,[249  39] ; [145  33],[243.50214592  44.49785408] ; [150.49785408  27.50214592],0
p6,1,0.150234,2.069869,[157 129] ; [85 92],[149.48596112 136.51403888] ; [92.51403888 84.48596112],0
n1,1,0.162776,1.948246,[19 18] ; [17 30],[15.85714286 21.14285714] ; [20.14285714 26.85714286],0
d4,1,0.164987,1.92791,[249  38] ; [146  32],[243.79569892  43.20430108] ; [151.20430108  26.79569892],0
p12,1,0.167342,1.906598,[ 36 251] ; [ 15 163],[ 31.47741935 255.52258065] ; [ 19.52258065 158.47741935],0
s4,1,0.201019,1.634958,[ 45 240] ; [ 36 140],[ 50.07592191 234.92407809] ; [ 30.92407809 145.07592191],0
v4,1,0.203425,1.617614,[278   8] ; [168   9],[275.49892009  10.50107991] ; [170.50107991   6.49892009],0
d2,1,0.236455,1.401607,[157 131] ; [87 91],[150.79828326 137.20171674] ; [93.20171674 84.79828326],0
s5,1,0.265254,1.241125,[118 158] ; [ 64 107],[112.37583893 163.62416107] ; [ 69.62416107 101.37583893],0
a1,1,0.280707,1.163664,[ 18 270] ; [  7 171],[ 15.45064378 272.54935622] ; [  9.54935622 168.45064378],0
p3,1,0.324184,0.971993,[205  83] ; [119  59],[200.24034335  87.75965665] ; [123.75965665  54.24034335],0
n2,1,0.333484,0.935322,[28  9] ; [31 16],[25.98809524 11.01190476] ; [33.01190476 13.98809524],0
a2,1,0.375471,0.785478,[ 82 206] ; [ 44 134],[ 77.87124464 210.12875536] ; [ 48.12875536 129.87124464],0
a7,1,0.375504,0.78537,[217  70] ; [128  50],[212.93548387  74.06451613] ; [132.06451613  45.93548387],0
a8,1,0.390375,0.737775,[ 39 218] ; [ 20 144],[ 36.01662708 220.98337292] ; [ 22.98337292 141.01662708],0
a3,1,0.404933,0.693629,[221  66] ; [131  47],[217.25591398  69.74408602] ; [134.74408602  43.25591398],0
b1,1,0.405761,0.691186,[113 175] ; [ 63 115],[108.77253219 179.22746781] ; [ 67.22746781 110.77253219],0
s3,1,0.454969,0.558242,[161 123] ; [106  70],[164.84347826 119.15652174] ; [102.15652174  73.84347826],0
s2,1,0.467459,0.527977,[166 119] ; [97 80],[162.24025974 122.75974026] ; [100.75974026  76.24025974],0
a5,1,0.488669,0.479456,[231  57] ; [138  40],[228.05150215  59.94849785] ; [140.94849785  37.05150215],0
d3,1,0.602842,0.270731,[215  73] ; [129  49],[212.60085837  75.39914163] ; [131.39914163  46.60085837],0
a4,1,0.763886,0.090229,[146 141] ; [88 90],[144.42580645 142.57419355] ; [89.57419355 88.42580645],0
b4,1,0.769666,0.085739,[169 119] ; [102  76],[167.48497854 120.51502146] ; [103.51502146  74.48497854],0
b3,1,0.771934,0.084011,[ 79 119] ; [37 60],[ 77.85762712 120.14237288] ; [38.14237288 58.85762712],0
b2,1,0.771934,0.084011,[ 79 119] ; [37 60],[ 77.85762712 120.14237288] ; [38.14237288 58.85762712],0
s7,1,0.787742,0.072492,[160 111] ; [97 71],[158.64920273 112.35079727] ; [98.35079727 69.64920273],0
n3,1,0.81829,0.052783,[26 10] ; [35 12],[26.45783133  9.54216867] ; [34.54216867 12.45783133],0
a6,1,0.858602,0.031739,[200  88] ; [125  53],[200.8583691  87.1416309] ; [124.1416309  53.8583691],0
p2,1,0.862834,0.029849,[263  24] ; [163  14],[263.49568966  23.50431034] ; [162.50431034  14.49568966],0
s6,1,0.894516,0.017581,[210  71] ; [131  43],[210.5956044  70.4043956] ; [130.4043956  43.5956044],0
p1,1,0.89679,0.016827,[ 30 256] ; [ 18 160],[ 29.5862069 256.4137931] ; [ 18.4137931 159.5862069],0
