Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,86.512315,[155  17] ; [18 43],[127.70815451  44.29184549] ; [45.29184549 15.70815451],1
s6,1,0.0,31.377636,[156  13] ; [37 23],[142.43231441  26.56768559] ; [50.56768559  9.43231441],1
s5,1,0.001375,10.238857,[85 75] ; [17 42],[74.52054795 85.47945205] ; [27.47945205 31.52054795],0
d4,1,0.004043,8.264267,[156  15] ; [47 14],[149.625  21.375] ; [53.375  7.625],0
p4,1,0.004395,8.112934,[147  25] ; [42 19],[139.5193133  32.4806867] ; [49.4806867 11.5193133],0
s7,1,0.005422,7.73297,[133  29] ; [38 21],[125.34841629  36.65158371] ; [45.65158371 13.34841629],0
u3,1,0.029727,4.725,[23  5] ; [7 7],[20.  8.] ; [10.  4.],0
b5,1,0.032775,4.557488,[106  66] ; [28 33],[98.91845494 73.08154506] ; [35.08154506 25.91845494],0
n1,1,0.042254,4.125,[19 13] ; [3 9],[16. 16.] ; [6. 6.],0
d1,1,0.04682,3.951851,[130  42] ; [38 23],[124.01716738  47.98283262] ; [43.98283262 17.01716738],0
v1,1,0.047884,3.914057,[115  49] ; [33 26],[108.84304933  55.15695067] ; [39.15695067 19.84304933],0
a1,1,0.094662,2.793243,[ 13 159] ; [ 1 60],[ 10.33476395 161.66523605] ; [ 3.66523605 57.33476395],0
s4,1,0.117357,2.45225,[ 35 136] ; [ 7 54],[ 30.95689655 140.04310345] ; [11.04310345 49.95689655],0
p9,1,0.121765,2.39447,[159  12] ; [59  1],[161.37662338   9.62337662] ; [56.62337662  3.37662338],0
d5,1,0.166607,1.913215,[152  19] ; [50 11],[148.88793103  22.11206897] ; [53.11206897  7.88793103],0
p6,1,0.175244,1.837505,[98 72] ; [28 31],[93.5371179 76.4628821] ; [32.4628821 26.5371179],0
p2,1,0.187795,1.734829,[156  15] ; [52  9],[153.31034483  17.68965517] ; [54.68965517  6.31034483],0
a3,1,0.208065,1.584842,[144  27] ; [47 14],[140.78017241  30.21982759] ; [50.21982759 10.78017241],0
n5,1,0.208065,1.584842,[144  27] ; [47 14],[140.78017241  30.21982759] ; [50.21982759 10.78017241],0
p12,1,0.210596,1.567322,[ 29 142] ; [ 6 53],[ 26.02173913 144.97826087] ; [ 8.97826087 50.02173913],0
u1,1,0.237588,1.39485,[ 47 125] ; [12 49],[ 43.55364807 128.44635193] ; [15.44635193 45.55364807],0
a2,1,0.243709,1.35901,[ 53 119] ; [14 47],[ 49.45922747 122.54077253] ; [17.54077253 43.45922747],0
p8,1,0.293643,1.102842,[115  56] ; [44 15],[118.21304348  52.78695652] ; [40.78695652 18.21304348],0
d2,1,0.303046,1.060741,[106  66] ; [33 28],[102.60944206  69.39055794] ; [36.39055794 24.60944206],0
p1,1,0.338456,0.916272,[ 25 145] ; [ 6 55],[ 22.81385281 147.18614719] ; [ 8.18614719 52.81385281],0
n2,1,0.390399,0.737698,[23  9] ; [7 5],[21.81818182 10.18181818] ; [8.18181818 3.81818182],0
d3,1,0.400467,0.706922,[120  52] ; [39 22],[117.37339056  54.62660944] ; [41.62660944 19.37339056],0
b2,1,0.40308,0.699118,[57 64] ; [25 21],[59.41317365 61.58682635] ; [22.58682635 23.41317365],0
b3,1,0.40308,0.699118,[57 64] ; [25 21],[59.41317365 61.58682635] ; [22.58682635 23.41317365],0
a5,1,0.407954,0.684755,[146  26] ; [49 12],[143.94849785  28.05150215] ; [51.05150215  9.94849785],0
n6,1,0.416147,0.661171,[154  16] ; [53  8],[152.33766234  17.66233766] ; [54.66233766  6.33766234],0
n3,1,0.43437,0.611111,[23  9] ; [10  2],[24.  8.] ; [9. 3.],0
a4,1,0.441064,0.593514,[86 86] ; [27 34],[83.41630901 88.58369099] ; [29.58369099 31.41630901],0
