Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,1e-06,23.612515,[42  4] ; [ 4 10],[35.26666667 10.73333333] ; [10.73333333  3.26666667],1
r2,1,0.000206,13.774486,[44  2] ; [8 6],[39.86666667  6.13333333] ; [12.13333333  1.86666667],1
v4,1,0.000206,13.774486,[44  2] ; [8 6],[39.86666667  6.13333333] ; [12.13333333  1.86666667],1
r3,1,0.000249,13.416149,[45  1] ; [9 5],[41.4  4.6] ; [12.6  1.4],1
s4,1,0.035206,4.435143,[ 7 37] ; [6 8],[ 9.86206897 34.13793103] ; [ 3.13793103 10.86206897],0
d5,1,0.039909,4.221733,[36 10] ; [7 7],[32.96666667 13.03333333] ; [10.03333333  3.96666667],0
a5,1,0.049929,3.843833,[30 16] ; [5 9],[26.83333333 19.16666667] ; [8.16666667 5.83333333],0
a7,1,0.070788,3.264664,[29 17] ; [5 9],[26.06666667 19.93333333] ; [7.93333333 6.06666667],0
s8,1,0.079397,3.077196,[22 24] ; [ 3 11],[19.16666667 26.83333333] ; [5.83333333 8.16666667],0
n4,1,0.09215,2.836412,[34 12] ; [7 7],[31.43333333 14.56666667] ; [9.56666667 4.43333333],0
a4,1,0.110338,2.549374,[17 29] ; [ 2 12],[14.56666667 31.43333333] ; [4.43333333 9.56666667],0
v3,1,0.123053,2.378029,[20 25] ; [ 3 11],[17.54237288 27.45762712] ; [5.45762712 8.54237288],0
n5,1,0.134827,2.236025,[30 16] ; [6 8],[27.6 18.4] ; [8.4 5.6],0
p11,1,0.179777,1.799468,[29 17] ; [6 8],[26.83333333 19.16666667] ; [8.16666667 5.83333333],0
b4,1,0.179777,1.799468,[29 17] ; [6 8],[26.83333333 19.16666667] ; [8.16666667 5.83333333],0
n6,1,0.230553,1.437445,[34 12] ; [8 6],[32.2 13.8] ; [9.8 4.2],0
n3,1,0.259942,1.269066,[7 4] ; [3 5],[5.78947368 5.21052632] ; [4.21052632 3.78947368],0
d1,1,0.280546,1.164441,[24 22] ; [5 9],[22.23333333 23.76666667] ; [6.76666667 7.23333333],0
s1,1,0.308848,1.035595,[ 5 41] ; [ 3 11],[ 6.13333333 39.86666667] ; [ 1.86666667 12.13333333],0
p10,1,0.346957,0.884555,[16 30] ; [ 3 11],[14.56666667 31.43333333] ; [4.43333333 9.56666667],0
d2,1,0.348174,0.880102,[23 23] ; [5 9],[21.46666667 24.53333333] ; [6.53333333 7.46666667],0
v2,1,0.35064,0.871138,[22 22] ; [5 9],[20.48275862 23.51724138] ; [6.51724138 7.48275862],0
b1,1,0.470101,0.521739,[28 18] ; [7 7],[26.83333333 19.16666667] ; [8.16666667 5.83333333],0
p2,1,0.481471,0.495529,[31 15] ; [8 6],[29.9 16.1] ; [9.1 4.9],0
b5,1,0.51116,0.431691,[25 21] ; [9 5],[26.06666667 19.93333333] ; [7.93333333 6.06666667],0
p3,1,0.56373,0.333287,[20 25] ; [5 9],[19.06779661 25.93220339] ; [5.93220339 8.06779661],0
p8,1,0.565357,0.330513,[19 27] ; [7 7],[19.93333333 26.06666667] ; [6.06666667 7.93333333],0
a3,1,0.58304,0.301346,[30 16] ; [8 6],[29.13333333 16.86666667] ; [8.86666667 5.13333333],0
p6,1,0.58345,0.30069,[13 32] ; [ 3 11],[12.20338983 32.79661017] ; [ 3.79661017 10.20338983],0
u2,1,0.59536,0.282051,[10  6] ; [3 3],[9.45454545 6.54545455] ; [3.54545455 2.45454545],0
d4,1,0.596648,0.280082,[36 10] ; [10  4],[35.26666667 10.73333333] ; [10.73333333  3.26666667],0
s3,1,0.596648,0.280082,[36 10] ; [10  4],[35.26666667 10.73333333] ; [10.73333333  3.26666667],0
p7,1,0.621218,0.244159,[25 19] ; [9 5],[25.79310345 18.20689655] ; [8.20689655 5.79310345],0
s7,1,0.694713,0.15403,[22 20] ; [6 7],[21.38181818 20.61818182] ; [6.61818182 6.38181818],0
n1,1,0.70663,0.141667,[3 6] ; [2 6],[2.64705882 6.35294118] ; [2.35294118 5.64705882],0
s6,1,0.724498,0.124224,[34 12] ; [11  3],[34.5 11.5] ; [10.5  3.5],0
a6,1,0.744191,0.106477,[24 22] ; [8 6],[24.53333333 21.46666667] ; [7.46666667 6.53333333],0
u3,1,0.793166,0.06875,[9 7] ; [3 3],[8.72727273 7.27272727] ; [3.27272727 2.72727273],0
n2,1,0.799846,0.064286,[8 2] ; [6 2],[7.77777778 2.22222222] ; [6.22222222 1.77777778],0
s5,1,0.825811,0.048434,[12 34] ; [ 3 10],[11.69491525 34.30508475] ; [3.30508475 9.69491525],0
p1,1,0.853964,0.033879,[ 4 42] ; [ 1 13],[ 3.83333333 42.16666667] ; [ 1.16666667 12.83333333],0
d3,1,0.932696,0.007132,[29 17] ; [9 5],[29.13333333 16.86666667] ; [8.86666667 5.13333333],0
v1,1,0.967244,0.001686,[20 26] ; [6 8],[19.93333333 26.06666667] ; [6.06666667 7.93333333],0
p4,1,1.0,0.0,[23 23] ; [7 7],[23. 23.] ; [7. 7.],0
