Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s4,1,0.000463,12.260285,[13 19] ; [10 75],[ 6.29059829 25.70940171] ; [16.70940171 68.29059829],1
p8,1,0.009223,6.779221,[20 12] ; [30 54],[13.79310345 18.20689655] ; [36.20689655 47.79310345],0
p7,1,0.01344,6.11031,[24  7] ; [43 40],[18.21929825 12.78070175] ; [48.78070175 34.21929825],0
p4,1,0.020374,5.379555,[22 10] ; [38 47],[16.41025641 15.58974359] ; [43.58974359 41.41025641],0
n5,1,0.049413,3.861251,[18 13] ; [32 53],[13.36206897 17.63793103] ; [36.63793103 48.36206897],0
b1,1,0.073131,3.211307,[21 11] ; [40 45],[16.68376068 15.31623932] ; [44.31623932 40.68376068],0
a5,1,0.079484,3.075421,[15 17] ; [55 30],[19.14529915 12.85470085] ; [50.85470085 34.14529915],0
p3,1,0.102568,2.665158,[17 15] ; [31 54],[13.12820513 18.87179487] ; [34.87179487 50.12820513],0
a4,1,0.142502,2.150735,[14 18] ; [25 60],[10.66666667 21.33333333] ; [28.33333333 56.66666667],0
s2,1,0.159789,1.97622,[16 16] ; [30 54],[12.68965517 19.31034483] ; [33.31034483 50.68965517],0
u3,1,0.179712,1.8,[8 7] ; [22  8],[10.  5.] ; [20. 10.],0
n1,1,0.180503,1.793478,[5 6] ; [ 5 17],[3.33333333 7.66666667] ; [ 6.66666667 15.33333333],0
b3,1,0.201358,1.632497,[ 6 11] ; [10 40],[ 4.05970149 12.94029851] ; [11.94029851 38.05970149],0
b2,1,0.201358,1.632497,[ 6 11] ; [10 40],[ 4.05970149 12.94029851] ; [11.94029851 38.05970149],0
r2,1,0.259211,1.272967,[26  6] ; [74  9],[27.82608696  4.17391304] ; [72.17391304 10.82608696],0
s5,1,0.274019,1.196516,[ 9 21] ; [17 67],[ 6.84210526 23.15789474] ; [19.15789474 64.84210526],0
s8,1,0.27729,1.180324,[14 18] ; [28 57],[11.48717949 20.51282051] ; [30.51282051 54.48717949],0
a3,1,0.304402,1.054809,[17 15] ; [54 31],[19.41880342 12.58119658] ; [51.58119658 33.41880342],0
s7,1,0.310676,1.027802,[13 17] ; [26 53],[10.73394495 19.26605505] ; [28.26605505 50.73394495],0
b5,1,0.3359,0.926017,[23  9] ; [53 32],[20.78632479 11.21367521] ; [55.21367521 29.78632479],0
v1,1,0.340706,0.907771,[17 15] ; [35 46],[14.72566372 17.27433628] ; [37.27433628 43.72566372],0
a8,1,0.34582,0.888736,[ 1 27] ; [ 7 70],[ 2.13333333 25.86666667] ; [ 5.86666667 71.13333333],0
d5,1,0.353487,0.860901,[26  6] ; [62 23],[24.06837607  7.93162393] ; [63.93162393 21.06837607],0
b4,1,0.429974,0.622895,[17 15] ; [52 33],[18.87179487 13.12820513] ; [50.12820513 34.87179487],0
a7,1,0.437199,0.603623,[21 11] ; [62 23],[22.7008547  9.2991453] ; [60.2991453 24.7008547],0
d4,1,0.445583,0.581862,[23  9] ; [66 18],[24.55172414  7.44827586] ; [64.44827586 19.55172414],0
u1,1,0.481085,0.496403,[ 4 28] ; [ 7 78],[ 3.00854701 28.99145299] ; [ 7.99145299 77.00854701],0
v2,1,0.4892,0.478286,[16 15] ; [35 44],[14.37272727 16.62727273] ; [36.62727273 42.37272727],0
r1,1,0.496579,0.462239,[22 10] ; [63 21],[23.44827586  8.55172414] ; [61.55172414 22.44827586],0
a2,1,0.535884,0.383222,[ 6 26] ; [12 73],[ 4.92307692 27.07692308] ; [13.07692308 71.92307692],0
r4,1,0.556436,0.345913,[24  8] ; [68 17],[25.16239316  6.83760684] ; [66.83760684 18.16239316],0
p10,1,0.597783,0.278353,[22 10] ; [54 31],[20.78632479 11.21367521] ; [55.21367521 29.78632479],0
p9,1,0.636421,0.223453,[24  8] ; [60 25],[22.97435897  9.02564103] ; [61.02564103 23.97435897],0
v3,1,0.680465,0.169602,[ 9 23] ; [19 59],[ 8.14545455 23.85454545] ; [19.85454545 58.14545455],0
v4,1,0.71426,0.134059,[29  3] ; [76  6],[29.47368421  2.52631579] ; [75.52631579  6.47368421],0
p5,1,0.735713,0.113931,[ 2 30] ; [ 4 81],[ 1.64102564 30.35897436] ; [ 4.35897436 80.64102564],0
