Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,81.060483,[235  35] ; [225 192],[180.7860262  89.2139738] ; [279.2139738 137.7860262],1
p4,1,0.0,75.292914,[228  46] ; [215 208],[174.1492109  99.8507891] ; [268.8507891 154.1492109],1
p3,1,0.0,44.256357,[190  84] ; [185 239],[147.20630372 126.79369628] ; [227.79369628 196.20630372],1
p8,1,0.0,42.980766,[197  77] ; [196 224],[155.16138329 118.83861671] ; [237.83861671 182.16138329],1
s5,1,0.0,25.549203,[127 134] ; [120 289],[ 96.21940299 164.78059701] ; [150.78059701 258.21940299],1
s7,1,0.0,25.542899,[167  95] ; [178 229],[135.11210762 126.88789238] ; [209.88789238 197.11210762],1
p5,1,0.0,25.478032,[ 60 215] ; [ 35 384],[ 37.64409222 237.35590778] ; [ 57.35590778 361.64409222],1
s8,1,2e-06,22.297332,[161 112] ; [172 251],[130.61637931 142.38362069] ; [202.38362069 220.61637931],1
s2,1,5.6e-05,16.240372,[173  99] ; [202 219],[147.18614719 124.81385281] ; [227.81385281 193.18614719],1
n4,1,7.9e-05,15.581086,[237  38] ; [313 112],[216.07142857  58.92857143] ; [333.92857143  91.07142857],1
v1,1,0.000151,14.362056,[179  92] ; [209 198],[155.08554572 115.91445428] ; [232.91445428 174.08554572],1
p12,1,0.000184,13.985328,[ 41 233] ; [ 27 397],[ 26.69340974 247.30659026] ; [ 41.30659026 382.69340974],1
s6,1,0.000235,13.525344,[208  57] ; [273 145],[186.62518302  78.37481698] ; [294.37481698 123.62518302],1
p1,1,0.000524,12.027637,[ 39 235] ; [ 27 397],[ 25.90830946 248.09169054] ; [ 40.09169054 383.90830946],1
a1,1,0.00179,9.753354,[ 21 254] ; [ 11 414],[ 12.57142857 262.42857143] ; [ 19.42857143 405.57142857],0
p2,1,0.00396,8.301883,[251  24] ; [354  69],[238.35959885  36.64040115] ; [366.64040115  56.35959885],0
u1,1,0.004255,8.171831,[ 65 210] ; [ 64 361],[ 50.67857143 224.32142857] ; [ 78.32142857 346.67857143],0
n5,1,0.004479,8.0786,[231  43] ; [317 104],[216.04604317  57.95395683] ; [331.95395683  89.04604317],0
n6,1,0.004498,8.070771,[250  22] ; [357  65],[237.90201729  34.09798271] ; [369.09798271  52.90201729],0
d1,1,0.006475,7.412987,[183  92] ; [239 186],[165.78571429 109.21428571] ; [256.21428571 168.78571429],0
d2,1,0.01621,5.779908,[147 127] ; [188 236],[131.50429799 142.49570201] ; [203.49570201 220.50429799],0
a4,1,0.018897,5.511058,[141 134] ; [179 245],[125.89413448 149.10586552] ; [194.10586552 229.89413448],0
