Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.000246,13.44,[ 6 29] ; [6 1],[10. 25.] ; [2. 5.],1
p11,1,0.002492,9.146667,[ 9 26] ; [6 1],[12.5 22.5] ; [2.5 4.5],0
r4,1,0.005604,7.673514,[ 2 33] ; [3 4],[ 4.16666667 30.83333333] ; [0.83333333 6.16666667],0
a4,1,0.026698,4.91022,[ 6 28] ; [4 3],[ 8.29268293 25.70731707] ; [1.70731707 5.29268293],0
d2,1,0.053607,3.724884,[11 23] ; [5 2],[13.26829268 20.73170732] ; [2.73170732 4.26829268],0
s4,1,0.07886,3.088235,[ 5 30] ; [3 4],[ 6.66666667 28.33333333] ; [1.33333333 5.66666667],0
n6,1,0.094264,2.8,[18 17] ; [6 1],[20. 15.] ; [4. 3.],0
b1,1,0.094264,2.8,[22 13] ; [2 5],[20. 15.] ; [4. 3.],0
a5,1,0.094264,2.8,[13 22] ; [5 2],[15. 20.] ; [3. 4.],0
b2,1,0.117852,2.445633,[10 11] ; [1 6],[ 8.25 12.75] ; [2.75 4.25],0
b3,1,0.117852,2.445633,[10 11] ; [1 6],[ 8.25 12.75] ; [2.75 4.25],0
s2,1,0.130134,2.290909,[ 6 29] ; [3 4],[ 7.5 27.5] ; [1.5 5.5],0
p1,1,0.135805,2.224865,[ 3 32] ; [2 5],[ 4.16666667 30.83333333] ; [0.83333333 6.16666667],0
p6,1,0.145946,2.114122,[ 3 31] ; [2 5],[ 4.14634146 29.85365854] ; [0.85365854 6.14634146],0
d4,1,0.167064,1.909091,[15 20] ; [5 2],[16.66666667 18.33333333] ; [3.33333333 3.66666667],0
p2,1,0.188035,1.732943,[15 19] ; [5 2],[16.58536585 17.41463415] ; [3.41463415 3.58536585],0
d1,1,0.194924,1.68,[ 7 28] ; [3 4],[ 8.33333333 26.66666667] ; [1.66666667 5.33333333],0
p5,1,0.204485,1.610052,[ 1 33] ; [1 6],[ 1.65853659 32.34146341] ; [0.34146341 6.65853659],0
p3,1,0.211522,1.560979,[ 7 27] ; [3 4],[ 8.29268293 25.70731707] ; [1.70731707 5.29268293],0
n4,1,0.241567,1.371429,[22 13] ; [6 1],[23.33333333 11.66666667] ; [4.66666667 2.33333333],0
v4,1,0.269004,1.221818,[17 18] ; [5 2],[18.33333333 16.66666667] ; [3.66666667 3.33333333],0
b4,1,0.269004,1.221818,[17 18] ; [5 2],[18.33333333 16.66666667] ; [3.66666667 3.33333333],0
a3,1,0.331796,0.941876,[18 17] ; [5 2],[19.16666667 15.83333333] ; [3.83333333 3.16666667],0
p9,1,0.338539,0.915955,[12 20] ; [4 3],[13.12820513 18.87179487] ; [2.87179487 4.12820513],0
p4,1,0.385549,0.752934,[ 9 25] ; [3 4],[ 9.95121951 24.04878049] ; [2.04878049 4.95121951],0
v2,1,0.396021,0.720376,[ 5 28] ; [2 5],[ 5.775 27.225] ; [1.225 5.775],0
p10,1,0.43825,0.600861,[14 20] ; [4 3],[14.92682927 19.07317073] ; [3.07317073 3.92682927],0
b5,1,0.482096,0.494118,[15 20] ; [2 5],[14.16666667 20.83333333] ; [2.83333333 4.16666667],0
d5,1,0.488174,0.480549,[15 20] ; [4 3],[15.83333333 19.16666667] ; [3.16666667 3.83333333],0
p7,1,0.519496,0.414894,[10 23] ; [3 4],[10.725 22.275] ; [2.275 4.725],0
d3,1,0.558185,0.342857,[11 24] ; [3 4],[11.66666667 23.33333333] ; [2.33333333 4.66666667],0
v3,1,0.590536,0.289507,[ 8 26] ; [1 6],[ 7.46341463 26.53658537] ; [1.53658537 5.46341463],0
p8,1,0.613893,0.254545,[ 7 28] ; [2 5],[ 7.5 27.5] ; [1.5 5.5],0
a6,1,0.665706,0.186667,[12 23] ; [3 4],[12.5 22.5] ; [2.5 4.5],0
r1,1,0.665706,0.186667,[12 23] ; [3 4],[12.5 22.5] ; [2.5 4.5],0
u2,1,0.683406,0.166317,[ 6 11] ; [1 1],[ 6.26315789 10.73684211] ; [0.73684211 1.26315789],0
r2,1,0.747203,0.103896,[21 12] ; [4 3],[20.625 12.375] ; [4.375 2.625],0
s3,1,0.810136,0.05772,[ 8 25] ; [2 5],[ 8.25 24.75] ; [1.75 5.25],0
s8,1,0.83126,0.045405,[ 4 31] ; [1 6],[ 4.16666667 30.83333333] ; [0.83333333 6.16666667],0
v1,1,0.875284,0.024633,[ 9 26] ; [2 5],[ 9.16666667 25.83333333] ; [1.83333333 5.16666667],0
s7,1,0.903848,0.014593,[ 5 26] ; [1 6],[ 4.89473684 26.10526316] ; [1.10526316 5.89473684],0
