Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,3e-06,21.594646,[ 1 25] ; [18 10],[ 9.14814815 16.85185185] ; [ 9.85185185 18.14814815],1
a5,1,4e-05,16.858142,[ 8 18] ; [24  4],[15.40740741 10.59259259] ; [16.59259259 11.40740741],1
d4,1,0.000119,14.812045,[ 9 17] ; [24  4],[15.88888889 10.11111111] ; [17.11111111 10.88888889],1
v2,1,0.00047,12.232017,[ 1 24] ; [13 15],[ 6.60377358 18.39622642] ; [ 7.39622642 20.60377358],1
d3,1,0.000821,11.192331,[ 5 21] ; [18 10],[11.07407407 14.92592593] ; [11.92592593 16.07407407],1
d2,1,0.001437,10.157162,[ 6 20] ; [18  9],[11.77358491 14.22641509] ; [12.22641509 14.77358491],0
a3,1,0.004158,8.213648,[10 15] ; [22  6],[15.09433962  9.90566038] ; [16.90566038 11.09433962],0
b4,1,0.006309,7.459969,[11 15] ; [22  6],[15.88888889 10.11111111] ; [17.11111111 10.88888889],0
a4,1,0.0133,6.128825,[ 5 21] ; [14 13],[ 9.32075472 16.67924528] ; [ 9.67924528 17.32075472],0
a7,1,0.024837,5.035217,[ 7 19] ; [16 12],[11.07407407 14.92592593] ; [11.92592593 16.07407407],0
s5,1,0.028787,4.780309,[ 1 25] ; [ 7 21],[ 3.85185185 22.14814815] ; [ 4.14814815 23.85185185],0
p11,1,0.05132,3.797802,[ 8 18] ; [16 12],[11.55555556 14.44444444] ; [12.44444444 15.55555556],0
a2,1,0.054611,3.693911,[ 1 25] ; [ 6 22],[ 3.37037037 22.62962963] ; [ 3.62962963 24.37037037],0
u2,1,0.061587,3.494118,[ 2 14] ; [3 3],[ 3.63636364 12.36363636] ; [1.36363636 4.63636364],0
r3,1,0.066405,3.369721,[ 8 17] ; [16 12],[11.32075472 13.67924528] ; [12.67924528 15.32075472],0
s6,1,0.088506,2.901334,[ 4 22] ; [10 18],[ 6.74074074 19.25925926] ; [ 7.25925926 20.74074074],0
r2,1,0.092153,2.836364,[ 8 18] ; [14 12],[11. 15.] ; [11. 15.],0
a6,1,0.097147,2.75177,[ 9 17] ; [16 12],[12.03703704 13.96296296] ; [12.96296296 15.03703704],0
s1,1,0.09958,2.712255,[ 6 20] ; [ 2 26],[ 3.85185185 22.14814815] ; [ 4.14814815 23.85185185],0
n4,1,0.103854,2.645344,[14 12] ; [21  7],[16.85185185  9.14814815] ; [18.14814815  9.85185185],0
b3,1,0.207119,1.591453,[ 8 10] ; [ 5 15],[ 6.15789474 11.84210526] ; [ 6.84210526 13.15789474],0
b2,1,0.207119,1.591453,[ 8 10] ; [ 5 15],[ 6.15789474 11.84210526] ; [ 6.84210526 13.15789474],0
p8,1,0.219643,1.506701,[ 6 19] ; [ 3 24],[ 4.32692308 20.67307692] ; [ 4.67307692 22.32692308],0
n6,1,0.250174,1.322334,[ 9 16] ; [14 13],[11.05769231 13.94230769] ; [11.94230769 15.05769231],0
s7,1,0.269491,1.219334,[ 4 21] ; [ 7 17],[ 5.6122449 19.3877551] ; [ 5.3877551 18.6122449],0
p3,1,0.279321,1.170389,[ 5 21] ; [ 9 19],[ 6.74074074 19.25925926] ; [ 7.25925926 20.74074074],0
p4,1,0.309547,1.032606,[ 6 20] ; [10 18],[ 7.7037037 18.2962963] ; [ 8.2962963 19.7037037],0
p9,1,0.312899,1.018401,[ 9 16] ; [13 13],[10.78431373 14.21568627] ; [11.21568627 14.78431373],0
s3,1,0.375144,0.786555,[ 7 19] ; [10 16],[ 8.5 17.5] ; [ 8.5 17.5],0
p1,1,0.378732,0.774815,[ 5 21] ; [ 3 25],[ 3.85185185 22.14814815] ; [ 4.14814815 23.85185185],0
n1,1,0.404657,0.694444,[7 8] ; [3 7],[6. 9.] ; [4. 6.],0
n2,1,0.404657,0.694444,[7 8] ; [3 7],[6. 9.] ; [4. 6.],0
b5,1,0.407834,0.685107,[11 15] ; [15 13],[12.51851852 13.48148148] ; [13.48148148 14.51851852],0
p7,1,0.439419,0.597799,[ 9 17] ; [ 7 21],[ 7.7037037 18.2962963] ; [ 8.2962963 19.7037037],0
