Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,35.392916,[81 14] ; [ 6 18],[69.45378151 25.54621849] ; [17.54621849  6.45378151],1
n6,1,0.002411,9.207079,[84 11] ; [15  9],[79.03361345 15.96638655] ; [19.96638655  4.03361345],0
s4,1,0.004298,8.153289,[12 83] ; [ 9 15],[16.76470588 78.23529412] ; [ 4.23529412 19.76470588],0
b1,1,0.011309,6.416065,[38 57] ; [ 3 21],[32.73109244 62.26890756] ; [ 8.26890756 15.73109244],0
p6,1,0.014184,6.015101,[31 61] ; [ 2 22],[26.17241379 65.82758621] ; [ 6.82758621 17.17241379],0
u2,1,0.017329,5.662727,[ 8 13] ; [7 1],[10.86206897 10.13793103] ; [4.13793103 3.86206897],0
s7,1,0.019439,5.461609,[46 40] ; [ 6 17],[41.02752294 44.97247706] ; [10.97247706 12.02752294],0
d2,1,0.022194,5.230496,[52 42] ; [ 7 17],[47. 47.] ; [12. 12.],0
a4,1,0.035022,4.444093,[46 48] ; [ 6 18],[41.42372881 52.57627119] ; [10.57627119 13.42372881],0
p11,1,0.048145,3.904905,[71 24] ; [13 11],[67.05882353 27.94117647] ; [16.94117647  7.05882353],0
s8,1,0.05364,3.723867,[44 50] ; [ 6 18],[39.83050847 54.16949153] ; [10.16949153 13.83050847],0
a2,1,0.108508,2.575812,[27 68] ; [ 3 21],[23.94957983 71.05042017] ; [ 6.05042017 17.94957983],0
n2,1,0.108809,2.571429,[19  2] ; [6 3],[17.5  3.5] ; [7.5 1.5],0
a6,1,0.109352,2.563563,[67 27] ; [13 11],[63.72881356 30.27118644] ; [16.27118644  7.72881356],0
a5,1,0.199939,1.642817,[71 23] ; [15  9],[68.50847458 25.49152542] ; [17.49152542  6.50847458],0
u1,1,0.21406,1.543752,[18 77] ; [ 2 22],[15.96638655 79.03361345] ; [ 4.03361345 19.96638655],0
a3,1,0.215273,1.535607,[74 20] ; [16  8],[71.69491525 22.30508475] ; [18.30508475  5.69491525],0
p2,1,0.243647,1.35937,[70 24] ; [15  9],[67.71186441 26.28813559] ; [17.28813559  6.71186441],0
d1,1,0.247158,1.339295,[56 39] ; [11 13],[53.48739496 41.51260504] ; [13.51260504 10.48739496],0
b2,1,0.258448,1.277051,[25 38] ; [ 3 10],[23.21052632 39.78947368] ; [4.78947368 8.21052632],0
b3,1,0.258448,1.277051,[25 38] ; [ 3 10],[23.21052632 39.78947368] ; [4.78947368 8.21052632],0
n3,1,0.259509,1.271377,[17  3] ; [6 3],[15.86206897  4.13793103] ; [7.13793103 1.86206897],0
s1,1,0.297564,1.085081,[ 1 92] ; [ 1 23],[ 1.58974359 91.41025641] ; [ 0.41025641 23.58974359],0
s2,1,0.316152,1.004799,[46 48] ; [ 9 15],[43.81355932 50.18644068] ; [11.18644068 12.81355932],0
p10,1,0.358696,0.842454,[74 19] ; [17  7],[72.33333333 20.66666667] ; [18.66666667  5.33333333],0
p8,1,0.372031,0.79687,[40 51] ; [13 11],[41.93913043 49.06086957] ; [11.06086957 12.93913043],0
