Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.00122,10.459556,[ 7 38] ; [13 12],[12.85714286 32.14285714] ; [ 7.14285714 17.85714286],0
s2,1,0.002823,8.918201,[12 32] ; [16  9],[17.85507246 26.14492754] ; [10.14492754 14.85507246],0
p10,1,0.010641,6.524251,[ 7 37] ; [11 14],[11.47826087 32.52173913] ; [ 6.52173913 18.47826087],0
p2,1,0.011487,6.388414,[29 16] ; [23  2],[33.42857143 11.57142857] ; [18.57142857  6.42857143],0
p6,1,0.024278,5.074668,[ 9 36] ; [11 13],[13.04347826 31.95652174] ; [ 6.95652174 17.04347826],0
p8,1,0.030497,4.681036,[18 26] ; [17  8],[22.31884058 21.68115942] ; [12.68115942 12.31884058],0
s3,1,0.050583,3.822021,[21 23] ; [18  7],[24.86956522 19.13043478] ; [14.13043478 10.86956522],0
n1,1,0.051927,3.778127,[ 3 11] ; [4 2],[4.9 9.1] ; [2.1 3.9],0
u2,1,0.06092,3.512149,[ 6 17] ; [7 5],[ 8.54285714 14.45714286] ; [4.45714286 7.54285714],0
a8,1,0.067744,3.336864,[ 1 41] ; [ 3 18],[ 2.66666667 39.33333333] ; [ 1.33333333 19.66666667],0
p7,1,0.079021,3.084921,[24 21] ; [18  6],[27.39130435 17.60869565] ; [14.60869565  9.39130435],0
p11,1,0.08913,2.89001,[23 22] ; [18  7],[26.35714286 18.64285714] ; [14.64285714 10.35714286],0
n6,1,0.105871,2.614803,[29 15] ; [21  4],[31.88405797 12.11594203] ; [18.11594203  6.88405797],0
n5,1,0.122976,2.379009,[22 23] ; [17  8],[25.07142857 19.92857143] ; [13.92857143 11.07142857],0
s4,1,0.142478,2.150994,[ 6 38] ; [ 7 18],[ 8.28985507 35.71014493] ; [ 4.71014493 20.28985507],0
v1,1,0.161142,1.963481,[14 31] ; [12 13],[16.71428571 28.28571429] ; [ 9.28571429 15.71428571],0
s6,1,0.232627,1.424727,[24 21] ; [17  8],[26.35714286 18.64285714] ; [14.64285714 10.35714286],0
p5,1,0.250941,1.318057,[ 2 42] ; [ 3 22],[ 3.1884058 40.8115942] ; [ 1.8115942 23.1884058],0
