Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,24.625008,[65 20] ; [ 6 20],[54.36936937 30.63063063] ; [16.63063063  9.36936937],1
b1,1,6e-06,20.442672,[29 56] ; [22  4],[39.05405405 45.94594595] ; [11.94594595 14.05405405],1
p10,1,0.001064,10.713501,[68 16] ; [12 13],[61.65137615 22.34862385] ; [18.34862385  6.65137615],0
r2,1,0.002023,9.528171,[72 11] ; [14 10],[66.71028037 16.28971963] ; [19.28971963  4.71028037],0
v3,1,0.00363,8.460325,[33 52] ; [ 2 23],[27.04545455 57.95454545] ; [ 7.95454545 17.04545455],0
p8,1,0.018906,5.510204,[54 30] ; [ 9 15],[49. 35.] ; [14. 10.],0
u2,1,0.019042,5.497666,[15 19] ; [10  2],[18.47826087 15.52173913] ; [6.52173913 5.47826087],0
p3,1,0.019515,5.454775,[53 32] ; [ 9 16],[47.90909091 37.09090909] ; [14.09090909 10.90909091],0
n4,1,0.022383,5.215802,[60 25] ; [12 14],[55.13513514 29.86486486] ; [16.86486486  9.13513514],0
p9,1,0.026194,4.943197,[70 15] ; [16 10],[65.85585586 19.14414414] ; [20.14414414  5.85585586],0
p2,1,0.031737,4.612628,[73 12] ; [16  8],[69.40366972 15.59633028] ; [19.59633028  4.40366972],0
v4,1,0.031844,4.606895,[78  7] ; [19  6],[74.95454545 10.04545455] ; [22.04545455  2.95454545],0
b2,1,0.055222,3.675372,[18 36] ; [ 2 17],[14.79452055 39.20547945] ; [ 5.20547945 13.79452055],0
b3,1,0.055222,3.675372,[18 36] ; [ 2 17],[14.79452055 39.20547945] ; [ 5.20547945 13.79452055],0
p11,1,0.061816,3.48799,[65 20] ; [15 11],[61.26126126 23.73873874] ; [18.73873874  7.26126126],0
d3,1,0.067026,3.354398,[51 33] ; [10 15],[47.00917431 36.99082569] ; [13.99082569 11.00917431],0
u3,1,0.098025,2.737379,[11 24] ; [7 5],[13.40425532 21.59574468] ; [4.59574468 7.40425532],0
a7,1,0.098171,2.735012,[51 33] ; [11 15],[47.34545455 36.65454545] ; [14.65454545 11.34545455],0
r3,1,0.103097,2.656968,[76  9] ; [20  6],[73.51351351 11.48648649] ; [22.48648649  3.51351351],0
n5,1,0.143259,2.1426,[59 26] ; [14 12],[55.9009009 29.0990991] ; [17.0990991  8.9009009],0
v1,1,0.167281,1.907145,[40 44] ; [ 8 17],[36.99082569 47.00917431] ; [11.00917431 13.99082569],0
n3,1,0.176827,1.82409,[19  8] ; [10  1],[20.60526316  6.39473684] ; [8.39473684 2.60526316],0
s8,1,0.226667,1.461654,[34 51] ; [ 7 19],[31.3963964 53.6036036] ; [ 9.6036036 16.3963964],0
b4,1,0.355633,0.853255,[48 37] ; [12 14],[45.94594595 39.05405405] ; [14.05405405 11.94594595],0
a4,1,0.360422,0.836421,[24 61] ; [ 5 21],[22.20720721 62.79279279] ; [ 6.79279279 19.20720721],0
p1,1,0.362924,0.827748,[ 8 77] ; [ 1 25],[ 6.89189189 78.10810811] ; [ 2.10810811 23.89189189],0
d5,1,0.405262,0.692657,[59 25] ; [16 10],[57.27272727 26.72727273] ; [17.72727273  8.27272727],0
a5,1,0.413749,0.668003,[47 38] ; [12 14],[45.18018018 39.81981982] ; [13.81981982 12.18018018],0
s4,1,0.453015,0.563097,[17 68] ; [ 7 19],[18.37837838 66.62162162] ; [ 5.62162162 20.37837838],0
d1,1,0.456491,0.554484,[33 52] ; [ 8 18],[31.3963964 53.6036036] ; [ 9.6036036 16.3963964],0
s3,1,0.460254,0.545277,[41 42] ; [15 11],[42.64220183 40.35779817] ; [13.35779817 12.64220183],0
a1,1,0.463996,0.536239,[ 6 79] ; [ 3 23],[ 6.89189189 78.10810811] ; [ 2.10810811 23.89189189],0
s5,1,0.472565,0.515972,[22 59] ; [ 5 20],[20.63207547 60.36792453] ; [ 6.36792453 18.63207547],0
n1,1,0.475703,0.508698,[10 17] ; [5 5],[10.94594595 16.05405405] ; [4.05405405 5.94594595],0
s7,1,0.493016,0.469938,[35 45] ; [ 9 16],[33.52380952 46.47619048] ; [10.47619048 14.52380952],0
p6,1,0.507562,0.439091,[37 45] ; [ 9 15],[35.58490566 46.41509434] ; [10.41509434 13.58490566],0
a8,1,0.509055,0.436009,[ 6 75] ; [ 3 23],[ 6.81308411 74.18691589] ; [ 2.18691589 23.81308411],0
d4,1,0.526156,0.40181,[58 27] ; [16 10],[56.66666667 28.33333333] ; [17.33333333  8.66666667],0
b5,1,0.549501,0.358211,[50 35] ; [17  9],[51.30630631 33.69369369] ; [15.69369369 10.30630631],0
a2,1,0.558417,0.342452,[10 75] ; [ 2 24],[ 9.18918919 75.81081081] ; [ 2.81081081 23.18918919],0
v2,1,0.561721,0.336733,[41 43] ; [11 15],[39.70909091 44.29090909] ; [12.29090909 13.70909091],0
a6,1,0.577253,0.310697,[51 34] ; [14 12],[49.77477477 35.22522523] ; [15.22522523 10.77477477],0
p12,1,0.581798,0.303337,[ 6 79] ; [ 1 24],[ 5.40909091 79.59090909] ; [ 1.59090909 23.40909091],0
a3,1,0.608029,0.263054,[50 34] ; [14 12],[48.87272727 35.12727273] ; [15.12727273 10.87272727],0
d2,1,0.698952,0.149565,[26 59] ; [ 9 17],[26.8018018 58.1981982] ; [ 8.1981982 17.8018018],0
s2,1,0.748525,0.102774,[39 46] ; [11 15],[38.28828829 46.71171171] ; [11.71171171 14.28828829],0
p4,1,0.779125,0.078658,[53 31] ; [15 10],[52.40366972 31.59633028] ; [15.59633028  9.40366972],0
s6,1,0.799876,0.064266,[49 32] ; [15 11],[48.44859813 32.55140187] ; [15.55140187 10.44859813],0
s1,1,0.853259,0.034211,[ 4 81] ; [ 1 25],[ 3.82882883 81.17117117] ; [ 1.17117117 24.82882883],0
p5,1,0.901219,0.015406,[11 74] ; [ 3 22],[10.81818182 74.18181818] ; [ 3.18181818 21.81818182],0
n2,1,0.931859,0.007311,[20  7] ; [8 3],[19.89473684  7.10526316] ; [8.10526316 2.89473684],0
