Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,31.138622,[18 81] ; [21  8],[30.1640625 68.8359375] ; [ 8.8359375 20.1640625],1
s2,1,7.9e-05,15.581666,[20 78] ; [16 11],[28.224 69.776] ; [ 7.776 19.224],1
s8,1,0.000424,12.423829,[15 84] ; [13 15],[21.82677165 77.17322835] ; [ 6.17322835 21.82677165],1
p6,1,0.001055,10.729088,[ 8 90] ; [ 9 19],[13.22222222 84.77777778] ; [ 3.77777778 24.22222222],0
r3,1,0.003596,8.477431,[69 29] ; [28  1],[74.8503937 23.1496063] ; [22.1496063  6.8503937],0
s6,1,0.014798,5.940363,[38 61] ; [18 10],[43.65354331 55.34645669] ; [12.34645669 15.65354331],0
s1,1,0.015264,5.885703,[ 4 94] ; [ 5 24],[ 6.94488189 91.05511811] ; [ 2.05511811 26.94488189],0
r1,1,0.02718,4.879317,[60 39] ; [24  5],[64.96875 34.03125] ; [19.03125  9.96875],0
p2,1,0.028541,4.795117,[42 57] ; [19 10],[47.1796875 51.8203125] ; [13.8203125 15.1796875],0
a6,1,0.032352,4.579746,[63 36] ; [12 17],[58.0078125 40.9921875] ; [16.9921875 12.0078125],0
s3,1,0.037012,4.349874,[28 69] ; [14 14],[32.592 64.408] ; [ 9.408 18.592],0
v4,1,0.038227,4.294903,[70 29] ; [26  3],[74.25 24.75] ; [21.75  7.25],0
r4,1,0.041733,4.145986,[58 41] ; [23  6],[62.6484375 36.3515625] ; [18.3515625 10.6484375],0
v1,1,0.085534,2.956473,[30 67] ; [14 15],[33.87301587 63.12698413] ; [10.12698413 18.87301587],0
b1,1,0.094878,2.789602,[44 55] ; [18 11],[47.953125 51.046875] ; [14.046875 14.953125],0
s7,1,0.098888,2.723384,[25 68] ; [11 14],[28.37288136 64.62711864] ; [ 7.62711864 17.37288136],0
p8,1,0.109437,2.562329,[12 87] ; [ 7 22],[14.6953125 84.3046875] ; [ 4.3046875 24.6953125],0
u3,1,0.129942,2.293196,[15 20] ; [7 3],[17.11111111 17.88888889] ; [4.88888889 5.11111111],0
p1,1,0.177895,1.815126,[ 6 92] ; [ 4 25],[ 7.71653543 90.28346457] ; [ 2.28346457 26.71653543],0
s4,1,0.179712,1.8,[14 84] ; [ 7 21],[16.33333333 81.66666667] ; [ 4.66666667 23.33333333],0
d5,1,0.196256,1.670022,[70 29] ; [24  5],[72.703125 26.296875] ; [21.296875  7.703125],0
a1,1,0.213108,1.550183,[11 88] ; [ 1 28],[ 9.28125 89.71875] ; [ 2.71875 26.28125],0
p9,1,0.216626,1.52658,[28 68] ; [12 17],[30.72 65.28] ; [ 9.28 19.72],0
a5,1,0.231805,1.429749,[56 43] ; [20  9],[58.78125 40.21875] ; [17.21875 11.78125],0
s5,1,0.23427,1.414746,[13 83] ; [ 6 20],[14.95081967 81.04918033] ; [ 4.04918033 21.95081967],0
n2,1,0.238885,1.387159,[25 22] ; [8 3],[26.74137931 20.25862069] ; [6.25862069 4.74137931],0
n3,1,0.243958,1.357576,[24 21] ; [8 3],[25.71428571 19.28571429] ; [6.28571429 4.71428571],0
u1,1,0.249323,1.327094,[15 84] ; [ 2 27],[13.1484375 85.8515625] ; [ 3.8515625 25.1484375],0
a2,1,0.273184,1.200688,[23 76] ; [ 4 25],[20.8828125 78.1171875] ; [ 6.1171875 22.8828125],0
v2,1,0.273585,1.198684,[34 63] ; [13 15],[36.472 60.528] ; [10.528 17.472],0
n1,1,0.324661,0.970076,[18 29] ; [6 5],[19.44827586 27.55172414] ; [4.55172414 6.44827586],0
r2,1,0.343178,0.898523,[79 17] ; [26  3],[80.64 15.36] ; [24.36  4.64],0
d3,1,0.450315,0.56986,[59 40] ; [15 14],[57.234375 41.765625] ; [16.765625 12.234375],0
n5,1,0.489159,0.478375,[55 44] ; [14 15],[53.3671875 45.6328125] ; [15.6328125 13.3671875],0
a8,1,0.56604,0.329353,[11 80] ; [ 2 23],[10.19827586 80.80172414] ; [ 2.80172414 22.19827586],0
n4,1,0.597077,0.279427,[63 36] ; [20  9],[64.1953125 34.8046875] ; [18.8046875 10.1953125],0
p11,1,0.597669,0.278526,[43 56] ; [11 18],[41.765625 57.234375] ; [12.234375 16.765625],0
u2,1,0.604259,0.26862,[15 20] ; [3 6],[14.31818182 20.68181818] ; [3.68181818 5.31818182],0
a4,1,0.613924,0.2545,[45 52] ; [15 14],[46.19047619 50.80952381] ; [13.80952381 15.19047619],0
