Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.005295,7.775934,[19  5] ; [10 15],[14.20408163  9.79591837] ; [14.79591837 10.20408163],0
s2,1,0.03051,4.680348,[ 5 18] ; [13 12],[ 8.625 14.375] ; [ 9.375 15.625],0
a6,1,0.03182,4.608178,[16  8] ; [ 9 16],[12.24489796 11.75510204] ; [12.75510204 12.24489796],0
d5,1,0.037959,4.306876,[20  4] ; [14 11],[16.65306122  7.34693878] ; [17.34693878  7.65306122],0
n5,1,0.045249,4.009342,[10 13] ; [18  7],[13.41666667  9.58333333] ; [14.58333333 10.41666667],0
a2,1,0.107511,2.590427,[ 6 18] ; [ 2 23],[ 3.91836735 20.08163265] ; [ 4.08163265 20.91836735],0
d1,1,0.117017,2.456806,[13 11] ; [ 8 17],[10.28571429 13.71428571] ; [10.71428571 14.28571429],0
u2,1,0.134802,2.23631,[4 1] ; [3 5],[2.69230769 2.30769231] ; [4.30769231 3.69230769],0
s4,1,0.171329,1.87128,[ 1 23] ; [ 4 21],[ 2.44897959 21.55102041] ; [ 2.55102041 22.44897959],0
b1,1,0.187406,1.737891,[14 10] ; [19  6],[16.16326531  7.83673469] ; [16.83673469  8.16326531],0
v3,1,0.187406,1.737891,[10 14] ; [ 6 19],[ 7.83673469 16.16326531] ; [ 8.16326531 16.83673469],0
n1,1,0.188274,1.731069,[3 8] ; [7 6],[4.58333333 6.41666667] ; [5.41666667 7.58333333],0
d4,1,0.212132,1.556817,[20  4] ; [17  8],[18.12244898  5.87755102] ; [18.87755102  6.12244898],0
u1,1,0.277339,1.180083,[ 3 21] ; [ 1 24],[ 1.95918367 22.04081633] ; [ 2.04081633 22.95918367],0
u3,1,0.280087,1.166667,[2 4] ; [5 3],[3. 3.] ; [4. 4.],0
a5,1,0.296385,1.090391,[16  8] ; [13 12],[14.20408163  9.79591837] ; [14.79591837 10.20408163],0
v4,1,0.305885,1.048359,[16  6] ; [14 10],[14.34782609  7.65217391] ; [15.65217391  8.34782609],0
s3,1,0.314267,1.012658,[ 7 14] ; [12 13],[ 8.67391304 12.32608696] ; [10.32608696 14.67391304],0
b5,1,0.320552,0.986692,[11 13] ; [15 10],[12.73469388 11.26530612] ; [13.26530612 11.73469388],0
a4,1,0.322199,0.98,[12 12] ; [ 9 16],[10.28571429 13.71428571] ; [10.71428571 14.28571429],0
b3,1,0.331171,0.944312,[5 6] ; [ 5 13],[3.79310345 7.20689655] ; [ 6.20689655 11.79310345],0
