Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,1e-06,24.123538,[482  36] ; [46 16],[471.55862069  46.44137931] ; [56.44137931  5.55862069],1
a5,1,1e-05,19.468573,[404 115] ; [33 30],[389.69587629 129.30412371] ; [47.30412371 15.69587629],1
d2,1,3.1e-05,17.353661,[275 242] ; [16 47],[259.39137931 257.60862069] ; [31.60862069 31.39137931],1
d1,1,4.3e-05,16.719602,[328 191] ; [23 40],[313.00515464 205.99484536] ; [37.99484536 25.00515464],1
d5,1,0.00057,11.871759,[442  76] ; [43 20],[432.40963855  85.59036145] ; [52.59036145 10.40963855],1
p3,1,0.000914,10.994604,[295 223] ; [22 41],[282.62650602 235.37349398] ; [34.37349398 28.62650602],1
a4,1,0.000974,10.876359,[253 264] ; [17 46],[240.67241379 276.32758621] ; [29.32758621 33.67241379],1
p4,1,0.001192,10.502213,[367 151] ; [32 31],[355.73493976 162.26506024] ; [43.26506024 19.73493976],0
a3,1,0.00167,9.881317,[391 126] ; [36 27],[380.61896552 136.38103448] ; [46.38103448 16.61896552],0
r4,1,0.001711,9.836433,[481  38] ; [51 12],[474.41237113  44.58762887] ; [57.58762887  5.41237113],0
s4,1,0.002529,9.119385,[ 77 433] ; [19 44],[ 85.44502618 424.55497382] ; [10.55497382 52.44502618],0
s5,1,0.003835,8.360118,[192 306] ; [12 49],[181.73881932 316.26118068] ; [22.26118068 38.73881932],0
v3,1,0.004088,8.244155,[226 277] ; [16 46],[215.44424779 287.55575221] ; [26.55575221 35.44424779],0
r3,1,0.004468,8.083131,[496  18] ; [55  7],[491.69097222  22.30902778] ; [59.30902778  2.69097222],0
p6,1,0.005037,7.866062,[228 285] ; [16 46],[217.69043478 295.30956522] ; [26.30956522 35.69043478],0
r1,1,0.008696,6.884271,[430  86] ; [44 19],[422.42487047  93.57512953] ; [51.57512953 11.42487047],0
s7,1,0.012617,6.222038,[276 215] ; [24 37],[266.84782609 224.15217391] ; [33.15217391 27.84782609],0
p5,1,0.021885,5.254899,[ 80 437] ; [ 3 60],[ 73.98448276 443.01551724] ; [ 9.01551724 53.98448276],0
r2,1,0.025462,4.992173,[490  23] ; [56  7],[486.28125  26.71875] ; [59.71875  3.28125],0
p10,1,0.032272,4.583979,[456  59] ; [49 13],[450.73656846  64.26343154] ; [54.26343154  7.73656846],0
n1,1,0.034505,4.469481,[41 48] ; [ 5 18],[36.55357143 52.44642857] ; [ 9.44642857 13.55357143],0
s6,1,0.039364,4.245075,[366 137] ; [38 25],[359.03180212 143.96819788] ; [44.96819788 18.03180212],0
a8,1,0.04671,3.955794,[ 79 385] ; [ 4 54],[ 73.77777778 390.22222222] ; [ 9.22222222 48.77777778],0
a2,1,0.057105,3.61954,[140 379] ; [10 53],[133.7628866 385.2371134] ; [16.2371134 46.7628866],0
u1,1,0.067916,3.332674,[108 411] ; [ 7 56],[102.55154639 416.44845361] ; [12.44845361 50.55154639],0
s8,1,0.068747,3.312675,[250 264] ; [23 40],[243.19237435 270.80762565] ; [29.80762565 33.19237435],0
s2,1,0.072578,3.223727,[284 227] ; [27 35],[277.34904014 233.65095986] ; [33.65095986 28.34904014],0
p1,1,0.082488,3.015178,[ 51 467] ; [ 2 61],[ 47.25301205 470.74698795] ; [ 5.74698795 57.25301205],0
p12,1,0.093995,2.80458,[ 49 466] ; [ 2 61],[ 45.44117647 469.55882353] ; [ 5.55882353 57.44117647],0
v2,1,0.142467,2.151104,[295 205] ; [30 31],[289.66131907 210.33868093] ; [35.33868093 25.66131907],0
v1,1,0.146145,2.112032,[309 196] ; [32 30],[303.71252205 201.28747795] ; [37.28747795 24.71252205],0
d4,1,0.150269,2.069521,[430  87] ; [47 15],[425.92227979  91.07772021] ; [51.07772021 10.92227979],0
s3,1,0.161031,1.964516,[306 204] ; [32 31],[300.83769634 209.16230366] ; [37.16230366 25.83769634],0
p8,1,0.201717,1.6299,[313 195] ; [33 29],[308.36491228 199.63508772] ; [37.63508772 24.36491228],0
n3,1,0.228104,1.452644,[67 24] ; [14  9],[64.65789474 26.34210526] ; [16.34210526  6.65789474],0
v4,1,0.249266,1.327412,[498  18] ; [58  4],[496.35986159  19.64013841] ; [59.64013841  2.35986159],0
p7,1,0.310949,1.02664,[361 149] ; [38 21],[357.62741652 152.37258348] ; [41.37258348 17.62741652],0
p11,1,0.326766,0.96167,[437  82] ; [50 13],[434.28350515  84.71649485] ; [52.71649485 10.28350515],0
p9,1,0.442015,0.591045,[461  50] ; [54  8],[459.27574171  51.72425829] ; [55.72425829  6.27574171],0
n2,1,0.556012,0.346657,[70 21] ; [19  4],[71.04385965 19.95614035] ; [17.95614035  5.04385965],0
d3,1,0.558895,0.34162,[362 157] ; [41 21],[359.99483649 159.00516351] ; [43.00516351 18.99483649],0
a6,1,0.617706,0.249105,[354 164] ; [45 18],[355.73493976 162.26506024] ; [43.26506024 19.73493976],0
u4,1,0.711711,0.136574,[ 12 506] ; [ 1 62],[ 11.59036145 506.40963855] ; [ 1.40963855 61.59036145],0
