Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a2,1,0.007101,7.247348,[3 6] ; [ 2 42],[0.8490566 8.1509434] ; [ 4.1509434 39.8490566],0
v1,1,0.009026,6.817627,[7 2] ; [13 29],[3.52941176 5.47058824] ; [16.47058824 25.52941176],0
p7,1,0.063644,3.439793,[1 8] ; [19 24],[3.46153846 5.53846154] ; [16.53846154 26.46153846],0
d1,1,0.092754,2.825913,[6 3] ; [16 28],[3.73584906 5.26415094] ; [18.26415094 25.73584906],0
a3,1,0.113256,2.508183,[7 2] ; [21 22],[4.84615385 4.15384615] ; [23.15384615 19.84615385],0
s1,1,0.149725,2.075053,[2 7] ; [ 3 41],[0.8490566 8.1509434] ; [ 4.1509434 39.8490566],0
a6,1,0.157231,2.000653,[6 3] ; [18 26],[4.0754717 4.9245283] ; [19.9245283 24.0754717],0
p11,1,0.15953,1.978674,[2 7] ; [21 23],[3.90566038 5.09433962] ; [19.09433962 24.90566038],0
s6,1,0.176052,1.830644,[5 4] ; [14 30],[3.22641509 5.77358491] ; [15.77358491 28.22641509],0
r3,1,0.176052,1.830644,[4 5] ; [30 14],[5.77358491 3.22641509] ; [28.22641509 15.77358491],0
p2,1,0.226116,1.465125,[4 5] ; [29 15],[5.60377358 3.39622642] ; [27.39622642 16.60377358],0
v2,1,0.268562,1.224078,[5 4] ; [15 27],[3.52941176 5.47058824] ; [16.47058824 25.52941176],0
a7,1,0.291983,1.110453,[7 2] ; [26 18],[5.60377358 3.39622642] ; [27.39622642 16.60377358],0
a4,1,0.306572,1.045386,[4 5] ; [12 32],[2.71698113 6.28301887] ; [13.28301887 30.71698113],0
d5,1,0.349482,0.875336,[7 2] ; [27 17],[5.77358491 3.22641509] ; [28.22641509 15.77358491],0
p4,1,0.414373,0.666218,[2 7] ; [16 28],[3.05660377 5.94339623] ; [14.94339623 29.05660377],0
a5,1,0.419216,0.652511,[5 4] ; [18 26],[3.90566038 5.09433962] ; [19.09433962 24.90566038],0
d4,1,0.433664,0.612991,[8 1] ; [34 10],[7.13207547 1.86792453] ; [34.86792453  9.13207547],0
p1,1,0.437373,0.603165,[1 8] ; [ 2 42],[0.50943396 8.49056604] ; [ 2.49056604 41.50943396],0
r2,1,0.440108,0.596002,[6 3] ; [21 19],[4.95918367 4.04081633] ; [22.04081633 17.95918367],0
d2,1,0.466143,0.531105,[4 5] ; [14 30],[3.05660377 5.94339623] ; [14.94339623 29.05660377],0
s5,1,0.479271,0.500523,[1 8] ; [ 9 33],[1.76470588 7.23529412] ; [ 8.23529412 33.76470588],0
v4,1,0.495493,0.464576,[5 4] ; [29 14],[5.88461538 3.11538462] ; [28.11538462 14.88461538],0
b1,1,0.496829,0.461704,[4 5] ; [25 19],[4.9245283 4.0754717] ; [24.0754717 19.9245283],0
b2,1,0.574695,0.31489,[1 1] ; [ 8 18],[0.64285714 1.35714286] ; [ 8.35714286 17.64285714],0
b3,1,0.574695,0.31489,[1 1] ; [ 8 18],[0.64285714 1.35714286] ; [ 8.35714286 17.64285714],0
b4,1,0.584832,0.298487,[6 3] ; [25 19],[5.26415094 3.73584906] ; [25.73584906 18.26415094],0
b5,1,0.584832,0.298487,[6 3] ; [25 19],[5.26415094 3.73584906] ; [25.73584906 18.26415094],0
p8,1,0.629558,0.232661,[2 7] ; [13 30],[2.59615385 6.40384615] ; [12.40384615 30.59615385],0
s4,1,0.645801,0.211235,[2 7] ; [ 7 37],[1.52830189 7.47169811] ; [ 7.47169811 36.52830189],0
s3,1,0.652109,0.203252,[3 6] ; [17 24],[3.6 5.4] ; [16.4 24.6],0
n3,1,0.656005,0.198413,[2 2] ; [13  8],[2.4 1.6] ; [12.6  8.4],0
n4,1,0.656771,0.19747,[2 7] ; [13 31],[2.54716981 6.45283019] ; [12.45283019 31.54716981],0
s2,1,0.656771,0.19747,[2 7] ; [13 31],[2.54716981 6.45283019] ; [12.45283019 31.54716981],0
s7,1,0.674975,0.175837,[2 5] ; [ 9 33],[1.57142857 5.42857143] ; [ 9.42857143 32.57142857],0
p3,1,0.743855,0.106767,[3 6] ; [12 31],[2.59615385 6.40384615] ; [12.40384615 30.59615385],0
u3,1,0.763441,0.09058,[1 1] ; [ 9 14],[0.8 1.2] ; [ 9.2 13.8],0
p9,1,0.810445,0.057529,[4 5] ; [21 22],[4.32692308 4.67307692] ; [20.67307692 22.32692308],0
n1,1,0.920948,0.009848,[1 3] ; [ 5 17],[0.92307692 3.07692308] ; [ 5.07692308 16.92307692],0
r1,1,0.929297,0.007873,[3 6] ; [14 30],[2.88679245 6.11320755] ; [14.11320755 29.88679245],0
p6,1,0.946532,0.004497,[1 8] ; [ 5 37],[1.05882353 7.94117647] ; [ 4.94117647 37.05882353],0
n6,1,0.955765,0.003077,[4 5] ; [20 24],[4.0754717 4.9245283] ; [19.9245283 24.0754717],0
s8,1,0.982619,0.000475,[1 8] ; [ 5 39],[1.01886792 7.98113208] ; [ 4.98113208 39.01886792],0
p10,1,0.988676,0.000201,[4 5] ; [19 24],[3.98076923 5.01923077] ; [19.01923077 23.98076923],0
