Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.012616,6.222222,[3 4] ; [ 1 20],[1. 6.] ; [ 3. 18.],0
b4,1,0.02278,5.185185,[2 5] ; [16  5],[4.5 2.5] ; [13.5  7.5],0
p7,1,0.044361,4.042781,[5 2] ; [ 6 15],[2.75 4.25] ; [ 8.25 12.75],0
s2,1,0.053337,3.733333,[4 3] ; [ 4 17],[2. 5.] ; [ 6. 15.],0
s3,1,0.06399,3.430827,[4 3] ; [ 4 16],[2.07407407 4.92592593] ; [ 5.92592593 14.07407407],0
a7,1,0.07776,3.111111,[1 6] ; [11 10],[3. 4.] ; [ 9. 12.],0
n5,1,0.07776,3.111111,[1 6] ; [11 10],[3. 4.] ; [ 9. 12.],0
r4,1,0.07776,3.111111,[2 5] ; [ 1 20],[0.75 6.25] ; [ 2.25 18.75],0
a3,1,0.097899,2.739448,[1 6] ; [10 10],[2.85185185 4.14814815] ; [ 8.14814815 11.85185185],0
r3,1,0.125661,2.345299,[5 2] ; [ 8 13],[3.25 3.75] ; [ 9.75 11.25],0
p2,1,0.125661,2.345299,[5 2] ; [ 8 13],[3.25 3.75] ; [ 9.75 11.25],0
n6,1,0.125661,2.345299,[5 2] ; [ 8 13],[3.25 3.75] ; [ 9.75 11.25],0
v4,1,0.125661,2.345299,[5 2] ; [ 8 13],[3.25 3.75] ; [ 9.75 11.25],0
p8,1,0.12706,2.328061,[3 4] ; [ 3 17],[1.55555556 5.44444444] ; [ 4.44444444 15.55555556],0
u3,1,0.168843,1.893182,[3 3] ; [2 9],[1.76470588 4.23529412] ; [3.23529412 7.76470588],0
p11,1,0.171857,1.866667,[1 6] ; [ 9 12],[2.5 4.5] ; [ 7.5 13.5],0
d3,1,0.171857,1.866667,[4 3] ; [ 6 15],[2.5 4.5] ; [ 7.5 13.5],0
s7,1,0.184023,1.764829,[2 4] ; [ 2 17],[0.96 5.04] ; [ 3.04 15.96],0
d5,1,0.19043,1.714286,[5 2] ; [ 9 12],[3.5 3.5] ; [10.5 10.5],0
v2,1,0.242755,1.364522,[1 6] ; [ 8 13],[2.25 4.75] ; [ 6.75 14.25],0
s6,1,0.263978,1.247772,[4 3] ; [ 7 14],[2.75 4.25] ; [ 8.25 12.75],0
d2,1,0.333998,0.933333,[1 6] ; [ 7 14],[2. 5.] ; [ 6. 15.],0
d4,1,0.377822,0.777778,[5 2] ; [11 10],[4. 3.] ; [12.  9.],0
s8,1,0.396818,0.717949,[1 6] ; [ 1 20],[0.5 6.5] ; [ 1.5 19.5],0
u2,1,0.402388,0.701178,[2 4] ; [6 5],[2.82352941 3.17647059] ; [5.17647059 5.82352941],0
p6,1,0.426285,0.632922,[2 5] ; [ 3 17],[1.2962963 5.7037037] ; [ 3.7037037 16.2962963],0
a5,1,0.449692,0.571429,[1 6] ; [ 6 15],[1.75 5.25] ; [ 5.25 15.75],0
n1,1,0.52179,0.410354,[1 1] ; [3 8],[0.61538462 1.38461538] ; [3.38461538 7.61538462],0
n3,1,0.52179,0.410354,[1 1] ; [8 3],[1.38461538 0.61538462] ; [7.61538462 3.38461538],0
v1,1,0.594853,0.282828,[2 5] ; [ 4 17],[1.5 5.5] ; [ 4.5 16.5],0
s4,1,0.594853,0.282828,[2 5] ; [ 4 17],[1.5 5.5] ; [ 4.5 16.5],0
b1,1,0.648807,0.207407,[4 3] ; [14  7],[4.5 2.5] ; [13.5  7.5],0
r1,1,0.648807,0.207407,[3 4] ; [ 7 14],[2.5 4.5] ; [ 7.5 13.5],0
n4,1,0.662521,0.190476,[4 3] ; [10 11],[3.5 3.5] ; [10.5 10.5],0
s5,1,0.724263,0.124444,[1 6] ; [ 2 19],[0.75 6.25] ; [ 2.25 18.75],0
a8,1,0.756158,0.096429,[1 6] ; [ 2 18],[0.77777778 6.22222222] ; [ 2.22222222 17.77777778],0
d1,1,0.801059,0.063492,[2 5] ; [ 5 16],[1.75 5.25] ; [ 5.25 15.75],0
b5,1,0.826824,0.047863,[4 3] ; [11 10],[3.75 3.25] ; [11.25  9.75],0
a6,1,1.0,0.0,[3 4] ; [ 9 12],[3. 4.] ; [ 9. 12.],0
p10,1,1.0,0.0,[1 6] ; [ 3 18],[1. 6.] ; [ 3. 18.],0
