Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1.9e-05,18.322138,[ 3 30] ; [16 10],[10.62711864 22.37288136] ; [ 8.37288136 17.62711864],1
p3,1,0.002582,9.081298,[ 3 29] ; [11 14],[ 7.85964912 24.14035088] ; [ 6.14035088 18.85964912],0
d4,1,0.002913,8.860888,[14 19] ; [21  5],[19.57627119 13.42372881] ; [15.42372881 10.57627119],0
s8,1,0.006886,7.302383,[ 3 30] ; [10 16],[ 7.27118644 25.72881356] ; [ 5.72881356 20.27118644],0
s7,1,0.01359,6.090622,[ 5 26] ; [12 14],[ 9.24561404 21.75438596] ; [ 7.75438596 18.24561404],0
r3,1,0.01457,5.967782,[15 18] ; [20  6],[19.57627119 13.42372881] ; [15.42372881 10.57627119],0
s6,1,0.019567,5.450141,[ 8 25] ; [14 12],[12.30508475 20.69491525] ; [ 9.69491525 16.30508475],0
p4,1,0.02502,5.022533,[ 7 25] ; [13 13],[11.03448276 20.96551724] ; [ 8.96551724 17.03448276],0
p7,1,0.029049,4.764733,[11 22] ; [15  9],[15.05263158 17.94736842] ; [10.94736842 13.05263158],0
n2,1,0.074905,3.172113,[7 7] ; [10  2],[9.15384615 4.84615385] ; [7.84615385 4.15384615],0
r4,1,0.081938,3.026041,[ 6 27] ; [10 16],[ 8.94915254 24.05084746] ; [ 7.05084746 18.94915254],0
p10,1,0.085951,2.948624,[12 19] ; [16 10],[15.22807018 15.77192982] ; [12.77192982 13.22807018],0
a8,1,0.098055,2.736901,[ 1 31] ; [ 4 22],[ 2.75862069 29.24137931] ; [ 2.24137931 23.75862069],0
v4,1,0.143763,2.137212,[19 14] ; [19  6],[21.62068966 11.37931034] ; [16.37931034  8.62068966],0
p11,1,0.162292,1.952739,[13 20] ; [15 11],[15.66101695 17.33898305] ; [12.33898305 13.66101695],0
a5,1,0.162292,1.952739,[13 20] ; [15 11],[15.66101695 17.33898305] ; [12.33898305 13.66101695],0
v3,1,0.187994,1.73327,[ 7 26] ; [ 2 22],[ 5.21052632 27.78947368] ; [ 3.78947368 20.21052632],0
a3,1,0.194254,1.685053,[16 17] ; [17  9],[18.45762712 14.54237288] ; [14.54237288 11.45762712],0
s5,1,0.206879,1.593133,[ 4 29] ; [ 6 18],[ 5.78947368 27.21052632] ; [ 4.21052632 19.78947368],0
u2,1,0.216201,1.529412,[ 7 10] ; [6 3],[8.5 8.5] ; [4.5 4.5],0
u3,1,0.216201,1.529412,[ 7 10] ; [6 3],[8.5 8.5] ; [4.5 4.5],0
d1,1,0.225809,1.467066,[ 9 24] ; [11 15],[11.18644068 21.81355932] ; [ 8.81355932 17.18644068],0
b3,1,0.252136,1.311427,[ 7 10] ; [ 5 16],[ 5.36842105 11.63157895] ; [ 6.63157895 14.36842105],0
b2,1,0.252136,1.311427,[ 7 10] ; [ 5 16],[ 5.36842105 11.63157895] ; [ 6.63157895 14.36842105],0
s4,1,0.259181,1.273127,[ 6 27] ; [ 8 18],[ 7.83050847 25.16949153] ; [ 6.16949153 19.83050847],0
b4,1,0.268625,1.223755,[13 20] ; [14 12],[15.10169492 17.89830508] ; [11.89830508 14.10169492],0
p2,1,0.320756,0.985863,[15 16] ; [16 10],[16.85964912 14.14035088] ; [14.14035088 11.85964912],0
n3,1,0.340018,0.910364,[8 6] ; [9 3],[9.15384615 4.84615385] ; [7.84615385 4.15384615],0
a2,1,0.379047,0.77379,[ 5 28] ; [ 2 24],[ 3.91525424 29.08474576] ; [ 3.08474576 22.91525424],0
s1,1,0.39738,0.716239,[ 1 32] ; [ 2 23],[ 1.70689655 31.29310345] ; [ 1.29310345 23.70689655],0
n1,1,0.407626,0.685714,[6 8] ; [6 4],[7. 7.] ; [5. 5.],0
v2,1,0.525628,0.402837,[ 9 23] ; [ 9 16],[10.10526316 21.89473684] ; [ 7.89473684 17.10526316],0
b5,1,0.561995,0.336262,[19 14] ; [13 13],[17.89830508 15.10169492] ; [14.10169492 11.89830508],0
a6,1,0.589428,0.291238,[18 15] ; [16 10],[19.01694915 13.98305085] ; [14.98305085 11.01694915],0
d5,1,0.589428,0.291238,[18 15] ; [16 10],[19.01694915 13.98305085] ; [14.98305085 11.01694915],0
p9,1,0.639003,0.220049,[19 13] ; [17  9],[19.86206897 12.13793103] ; [16.13793103  9.86206897],0
p6,1,0.641509,0.216774,[ 7 24] ; [ 7 18],[ 7.75 23.25] ; [ 6.25 18.75],0
r2,1,0.67961,0.170565,[21 11] ; [17  7],[21.71428571 10.28571429] ; [16.28571429  7.71428571],0
b1,1,0.706294,0.142006,[20 13] ; [17  9],[20.69491525 12.30508475] ; [16.30508475  9.69491525],0
p1,1,0.716228,0.132136,[ 4 29] ; [ 4 22],[ 4.47457627 28.52542373] ; [ 3.52542373 22.47457627],0
a1,1,0.716228,0.132136,[ 4 29] ; [ 4 22],[ 4.47457627 28.52542373] ; [ 3.52542373 22.47457627],0
a4,1,0.724878,0.123867,[10 23] ; [ 9 17],[10.62711864 22.37288136] ; [ 8.37288136 17.62711864],0
p5,1,0.725657,0.123137,[ 2 31] ; [ 1 24],[ 1.70689655 31.29310345] ; [ 1.29310345 23.70689655],0
d3,1,0.727964,0.12099,[15 17] ; [11 15],[14.34482759 17.65517241] ; [11.65517241 14.34482759],0
v1,1,0.744847,0.105912,[11 22] ; [ 9 15],[11.57894737 21.42105263] ; [ 8.42105263 15.57894737],0
p8,1,0.784003,0.075134,[ 7 25] ; [ 6 18],[ 7.42857143 24.57142857] ; [ 5.57142857 18.42857143],0
n4,1,0.809001,0.058426,[15 18] ; [11 15],[14.54237288 18.45762712] ; [11.45762712 14.54237288],0
