Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,86.762279,[ 4 67] ; [181  87],[38.74631268 32.25368732] ; [146.25368732 121.74631268],1
d4,1,0.0,67.599712,[29 42] ; [232  35],[54.82544379 16.17455621] ; [206.17455621  60.82544379],1
a5,1,0.0,32.659923,[30 41] ; [207  61],[49.63716814 21.36283186] ; [187.36283186  80.63716814],1
a3,1,2e-06,22.41966,[26 43] ; [184  84],[42.99703264 26.00296736] ; [167.00296736 100.99703264],1
p2,1,4e-06,21.284755,[41 30] ; [220  44],[55.31641791 15.68358209] ; [205.68358209  58.31641791],1
d3,1,4e-06,21.048806,[28 43] ; [185  83],[44.61061947 26.38938053] ; [168.38938053  99.61061947],1
d2,1,6e-06,20.484451,[17 54] ; [143 121],[33.91044776 37.08955224] ; [126.08955224 137.91044776],1
a4,1,9e-05,15.32964,[16 53] ; [132 135],[30.39285714 38.60714286] ; [117.60714286 149.39285714],1
a7,1,0.000373,12.661893,[39 32] ; [203  63],[50.9851632 20.0148368] ; [191.0148368  74.9851632],1
a2,1,0.000439,12.357554,[ 4 67] ; [ 66 202],[14.66076696 56.33923304] ; [ 55.33923304 212.66076696],1
r3,1,0.0007,11.490121,[55 15] ; [246  20],[62.70833333  7.29166667] ; [238.29166667  27.70833333],1
p7,1,0.00098,10.865701,[28 43] ; [160 101],[40.20481928 30.79518072] ; [147.79518072 113.20481928],1
r4,1,0.001327,10.304689,[52 19] ; [237  31],[60.5280236 10.4719764] ; [228.4719764  39.5280236],0
r2,1,0.003782,8.385495,[59 12] ; [245  16],[65.01204819  5.98795181] ; [238.98795181  22.01204819],0
u1,1,0.004956,7.895391,[ 2 69] ; [ 41 227],[ 9.00589971 61.99410029] ; [ 33.99410029 234.00589971],0
p4,1,0.00654,7.395145,[27 43] ; [150 114],[37.09580838 32.90419162] ; [139.90419162 124.09580838],0
p9,1,0.013263,6.133705,[46 23] ; [212  51],[53.62048193 15.37951807] ; [204.37951807  58.62048193],0
p10,1,0.018965,5.504739,[44 24] ; [207  57],[51.40963855 16.59036145] ; [199.59036145  64.40963855],0
u3,1,0.023784,5.110324,[15 30] ; [45 38],[21.09375 23.90625] ; [38.90625 44.09375],0
s1,1,0.027779,4.841747,[ 3 65] ; [  2 261],[ 1.02719033 66.97280967] ; [  3.97280967 259.02719033],0
p11,1,0.029322,4.748592,[49 22] ; [217  51],[55.71091445 15.28908555] ; [210.28908555  57.71091445],0
v2,1,0.043059,4.093067,[26 40] ; [134 117],[33.31230284 32.68769716] ; [126.68769716 124.31230284],0
v1,1,0.061052,3.508586,[28 41] ; [139 122],[34.91818182 34.08181818] ; [132.08181818 128.91818182],0
r1,1,0.063408,3.44593,[47 24] ; [204  61],[53.03869048 17.96130952] ; [197.96130952  67.03869048],0
s8,1,0.070736,3.265861,[ 9 62] ; [ 60 208],[14.45132743 56.54867257] ; [ 54.54867257 213.45132743],0
n5,1,0.077668,3.113038,[54 17] ; [225  40],[58.95535714 12.04464286] ; [220.04464286  44.95535714],0
s5,1,0.086019,2.947337,[ 9 57] ; [ 60 197],[14.09907121 51.90092879] ; [ 54.90092879 202.09907121],0
p6,1,0.097683,2.742967,[14 56] ; [ 78 182],[19.51515152 50.48484848] ; [ 72.48484848 187.51515152],0
s6,1,0.099625,2.711534,[28 41] ; [135 126],[34.08181818 34.91818182] ; [128.91818182 132.08181818],0
p3,1,0.128087,2.315539,[25 46] ; [120 145],[30.63988095 40.36011905] ; [114.36011905 150.63988095],0
a1,1,0.13571,2.225937,[ 6 65] ; [ 11 257],[ 3.56047198 67.43952802] ; [ 13.43952802 254.56047198],0
v4,1,0.136731,2.214369,[60 11] ; [242  25],[63.43786982  7.56213018] ; [238.56213018  28.43786982],0
n3,1,0.137857,2.201722,[11  7] ; [41 11],[13.37142857  4.62857143] ; [38.62857143 13.37142857],0
b5,1,0.142764,2.147907,[38 33] ; [169  99],[43.3539823 27.6460177] ; [163.6460177 104.3539823],0
u2,1,0.194152,1.685825,[18 26] ; [44 39],[21.48031496 22.51968504] ; [40.51968504 42.48031496],0
n6,1,0.209564,1.574434,[55 16] ; [223  43],[58.56973294 12.43026706] ; [219.43026706  46.56973294],0
p8,1,0.217696,1.519494,[28 42] ; [126 135],[32.56797583 37.43202417] ; [121.43202417 139.56797583],0
p1,1,0.29879,1.079586,[ 9 62] ; [ 23 244],[ 6.72189349 64.27810651] ; [ 25.27810651 241.72189349],0
p12,1,0.320349,0.98752,[ 6 65] ; [ 14 250],[ 4.23880597 66.76119403] ; [ 15.76119403 248.23880597],0
a6,1,0.351601,0.867671,[46 25] ; [189  79],[49.21828909 21.78171091] ; [185.78171091  82.21828909],0
b1,1,0.400067,0.708125,[32 39] ; [106 162],[28.90265487 42.09734513] ; [109.09734513 158.90265487],0
a8,1,0.408286,0.683788,[ 7 57] ; [ 37 210],[ 9.05466238 54.94533762] ; [ 34.94533762 212.05466238],0
