Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.000235,13.531527,[26  5] ; [ 9 16],[19.375 11.625] ; [15.625  9.375],1
a3,1,0.005712,7.638889,[23  7] ; [10 15],[18. 12.] ; [15. 10.],0
a7,1,0.015551,5.852903,[20 11] ; [ 8 17],[15.5 15.5] ; [12.5 12.5],0
d1,1,0.035437,4.423971,[16 15] ; [ 6 19],[12.17857143 18.82142857] ; [ 9.82142857 15.17857143],0
a4,1,0.048129,3.905462,[15 15] ; [ 6 19],[11.45454545 18.54545455] ; [ 9.54545455 15.45454545],0
p3,1,0.04891,3.878433,[ 9 22] ; [ 2 23],[ 6.08928571 24.91071429] ; [ 4.91071429 20.08928571],0
p4,1,0.061469,3.49729,[12 19] ; [ 4 21],[ 8.85714286 22.14285714] ; [ 7.14285714 17.85714286],0
u2,1,0.063155,3.452522,[3 5] ; [ 1 14],[1.39130435 6.60869565] ; [ 2.60869565 12.39130435],0
d2,1,0.07626,3.142857,[18 12] ; [ 9 16],[14.72727273 15.27272727] ; [12.27272727 12.72727273],0
p7,1,0.080588,3.053009,[13 18] ; [ 5 20],[ 9.96428571 21.03571429] ; [ 8.03571429 16.96428571],0
d4,1,0.087976,2.911028,[24  7] ; [14 11],[21.03571429  9.96428571] ; [16.96428571  8.03571429],0
s7,1,0.156191,2.01072,[ 8 21] ; [ 3 22],[ 5.90740741 23.09259259] ; [ 5.09259259 19.90740741],0
s5,1,0.156644,2.006324,[ 7 24] ; [ 2 22],[ 5.07272727 25.92727273] ; [ 3.92727273 20.07272727],0
a6,1,0.159952,1.974683,[17 14] ; [ 9 16],[14.39285714 16.60714286] ; [11.60714286 13.39285714],0
p9,1,0.161305,1.961951,[17 13] ; [ 9 15],[14.44444444 15.55555556] ; [11.55555556 12.44444444],0
p5,1,0.230571,1.437333,[ 4 26] ; [ 1 24],[ 2.72727273 27.27272727] ; [ 2.27272727 22.72727273],0
d3,1,0.24266,1.365071,[16 15] ; [ 9 16],[13.83928571 17.16071429] ; [11.16071429 13.83928571],0
v3,1,0.294909,1.097074,[ 3 27] ; [ 5 20],[ 4.36363636 25.63636364] ; [ 3.63636364 21.36363636],0
r1,1,0.316093,1.005044,[14 17] ; [ 8 17],[12.17857143 18.82142857] ; [ 9.82142857 15.17857143],0
b4,1,0.366909,0.814108,[21 10] ; [14 11],[19.375 11.625] ; [15.625  9.375],0
p11,1,0.386358,0.750372,[16 15] ; [10 15],[14.39285714 16.60714286] ; [11.60714286 13.39285714],0
a8,1,0.392906,0.729931,[ 6 23] ; [ 3 22],[ 4.83333333 24.16666667] ; [ 4.16666667 20.83333333],0
s6,1,0.39659,0.718641,[ 9 21] ; [ 5 20],[ 7.63636364 22.36363636] ; [ 6.36363636 18.63636364],0
r4,1,0.409523,0.680185,[ 8 23] ; [ 9 16],[ 9.41071429 21.58928571] ; [ 7.58928571 17.41071429],0
a1,1,0.55536,0.347802,[ 4 27] ; [ 2 23],[ 3.32142857 27.67857143] ; [ 2.67857143 22.32142857],0
n3,1,0.627867,0.234965,[7 7] ; [6 4],[7.58333333 6.41666667] ; [5.41666667 4.58333333],0
r2,1,0.637365,0.222205,[15 13] ; [15 10],[15.8490566 12.1509434] ; [14.1509434 10.8490566],0
b1,1,0.649953,0.205959,[18 13] ; [13 12],[17.16071429 13.83928571] ; [13.83928571 11.16071429],0
n5,1,0.651185,0.204409,[18 13] ; [16  9],[18.82142857 12.17857143] ; [15.17857143  9.82142857],0
u3,1,0.651291,0.204276,[1 7] ; [ 3 12],[1.39130435 6.60869565] ; [ 2.60869565 12.39130435],0
p1,1,0.660689,0.192688,[ 5 26] ; [ 3 22],[ 4.42857143 26.57142857] ; [ 3.57142857 21.42857143],0
r3,1,0.729276,0.119778,[17 13] ; [13 12],[16.36363636 13.63636364] ; [13.63636364 11.36363636],0
p10,1,0.739136,0.110887,[13 18] ; [ 9 15],[12.4 18.6] ; [ 9.6 14.4],0
s8,1,0.741988,0.108387,[ 4 27] ; [ 4 21],[ 4.42857143 26.57142857] ; [ 3.57142857 21.42857143],0
n4,1,0.76875,0.086442,[21 10] ; [16  9],[20.48214286 10.51785714] ; [16.51785714  8.48214286],0
b5,1,0.788077,0.072258,[16 15] ; [12 13],[15.5 15.5] ; [12.5 12.5],0
