Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,128.943677,[ 5 98] ; [253 120],[55.82773109 47.17226891] ; [202.17226891 170.82773109],1
d4,1,0.0,59.810493,[55 48] ; [327  46],[82.65966387 20.34033613] ; [299.34033613  73.65966387],1
a5,1,0.0,39.14168,[49 54] ; [294  79],[74.22058824 28.77941176] ; [268.77941176 104.22058824],1
d3,1,0.0,32.358978,[45 58] ; [274  99],[69.02731092 33.97268908] ; [249.97268908 123.02731092],1
d2,1,0.0,26.882445,[22 81] ; [186 186],[45.10315789 57.89684211] ; [162.89684211 209.10315789],1
a4,1,7e-06,20.152804,[23 79] ; [176 196],[42.82278481 59.17721519] ; [156.17721519 215.82278481],1
r1,1,9e-06,19.639768,[63 40] ; [302  67],[79.65042373 23.34957627] ; [285.34957627  83.65042373],1
a3,1,1e-05,19.420484,[52 49] ; [277  96],[70.10337553 30.89662447] ; [258.89662447 114.10337553],1
a7,1,5.7e-05,16.190574,[58 45] ; [285  88],[74.22058824 28.77941176] ; [268.77941176 104.22058824],1
r2,1,6.1e-05,16.067086,[85 17] ; [350  18],[94.40425532  7.59574468] ; [340.59574468  27.40425532],1
r4,1,9.8e-05,15.179226,[79 24] ; [339  34],[90.44957983 12.55042017] ; [327.55042017  45.44957983],1
v2,1,0.000183,14.001966,[37 60] ; [210 143],[53.24222222 43.75777778] ; [193.75777778 159.24222222],1
a2,1,0.000466,12.248112,[ 9 94] ; [ 92 281],[21.85504202 81.14495798] ; [ 79.14495798 293.85504202],1
u1,1,0.000654,11.615347,[ 4 99] ; [ 64 309],[14.71428571 88.28571429] ; [ 53.28571429 319.71428571],1
p3,1,0.000744,11.374986,[28 75] ; [170 202],[42.93473684 60.06526316] ; [155.06526316 216.93473684],1
n4,1,0.001166,10.543978,[61 42] ; [280  91],[74.09915612 28.90084388] ; [266.90084388 104.09915612],0
a6,1,0.001176,10.527679,[57 46] ; [269 104],[70.54201681 32.45798319] ; [255.45798319 117.54201681],0
r3,1,0.007973,7.039505,[91 11] ; [357  15],[96.40506329  5.59493671] ; [351.59493671  20.40506329],0
p7,1,0.010807,6.49672,[42 59] ; [204 161],[53.31759657 47.68240343] ; [192.68240343 172.31759657],0
v3,1,0.012328,6.263079,[26 74] ; [140 213],[36.64459161 63.35540839] ; [129.35540839 223.64459161],0
p2,1,0.01341,6.114263,[77 26] ; [315  55],[85.3615222 17.6384778] ; [306.6384778  63.3615222],0
p10,1,0.020135,5.400124,[86 17] ; [339  32],[92.35232068 10.64767932] ; [332.64767932  38.35232068],0
s6,1,0.027172,4.879838,[56 46] ; [245 122],[65.46268657 36.53731343] ; [235.53731343 131.46268657],0
s1,1,0.051448,3.793615,[ 5 96] ; [  6 361],[ 2.37393162 98.62606838] ; [  8.62606838 358.37393162],0
p4,1,0.051491,3.792245,[41 61] ; [190 182],[49.70886076 52.29113924] ; [181.29113924 190.70886076],0
b1,1,0.064851,3.408752,[42 61] ; [116 257],[34.18907563 68.81092437] ; [123.81092437 249.18907563],0
s5,1,0.073594,3.200989,[22 78] ; [112 247],[29.19389978 70.80610022] ; [104.80610022 254.19389978],0
s8,1,0.073822,3.195921,[33 70] ; [155 216],[40.85232068 62.14767932] ; [147.14767932 223.85232068],0
