Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,5e-06,20.934884,[19 58] ; [182 158],[37.11510791 39.88489209] ; [163.88489209 176.11510791],1
d3,1,1e-05,19.515078,[39 42] ; [252  91],[55.59198113 25.40801887] ; [235.40801887 107.59198113],1
p2,1,2.1e-05,18.073192,[60 21] ; [311  30],[71.21090047  9.78909953] ; [299.78909953  41.21090047],1
p8,1,0.000452,12.305927,[39 40] ; [239 102],[52.29047619 26.70952381] ; [225.70952381 115.29047619],1
d1,1,0.000486,12.168738,[38 43] ; [232 111],[51.58018868 29.41981132] ; [218.41981132 124.58018868],1
p10,1,0.000592,11.800968,[60 20] ; [306  36],[69.38388626 10.61611374] ; [296.61611374  45.38388626],1
p5,1,0.000751,11.358152,[ 4 77] ; [ 71 269],[14.42992874 66.57007126] ; [ 60.57007126 279.42992874],1
p9,1,0.000813,11.211535,[62 17] ; [313  29],[70.36817102  8.63182898] ; [304.63182898  37.36817102],1
n5,1,0.000974,10.876314,[53 27] ; [283  59],[63.69668246 16.30331754] ; [272.30331754  69.69668246],1
a7,1,0.001213,10.469731,[48 33] ; [263  79],[59.55319149 21.44680851] ; [251.44680851  90.55319149],0
s6,1,0.002253,9.330931,[47 32] ; [256  79],[57.81884058 21.18115942] ; [245.18115942  89.81884058],0
n6,1,0.002879,8.882557,[62 18] ; [307  35],[69.95260664 10.04739336] ; [299.04739336  42.95260664],0
n4,1,0.011884,6.328039,[59 21] ; [293  50],[66.57210402 13.42789598] ; [285.42789598  57.57210402],0
s2,1,0.01435,5.994583,[34 47] ; [194 146],[43.86698337 37.13301663] ; [184.13301663 155.86698337],0
p12,1,0.02107,5.32098,[ 3 76] ; [ 44 298],[ 8.81947743 70.18052257] ; [ 38.18052257 303.81947743],0
d5,1,0.030287,4.692934,[62 19] ; [295  47],[68.36170213 12.63829787] ; [288.63829787  53.36170213],0
d4,1,0.034218,4.4838,[61 20] ; [291  51],[67.40425532 13.59574468] ; [284.59574468  57.40425532],0
r3,1,0.051238,3.800485,[77  4] ; [337   5],[79.27659574  1.72340426] ; [334.72340426   7.27659574],0
s7,1,0.058046,3.592346,[38 41] ; [191 128],[45.45477387 33.54522613] ; [183.54522613 135.45477387],0
u2,1,0.087179,2.925711,[ 9 12] ; [52 30],[12.4368932  8.5631068] ; [48.5631068 33.4368932],0
