Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,1e-05,19.433989,[37 20] ; [65  3],[46.512 10.488] ; [55.488 12.512],1
n6,1,0.000555,11.920824,[32 25] ; [58 11],[40.71428571 16.28571429] ; [49.28571429 19.71428571],1
b1,1,0.002168,9.401363,[31 26] ; [19 50],[22.61904762 34.38095238] ; [27.38095238 41.61904762],0
a4,1,0.003432,8.562436,[ 4 52] ; [19 50],[10.304 45.696] ; [12.696 56.304],0
p9,1,0.007851,7.067118,[28 24] ; [53 16],[34.80991736 17.19008264] ; [46.19008264 22.80991736],0
s7,1,0.012905,6.18202,[19 34] ; [11 57],[13.14049587 39.85950413] ; [16.85950413 51.14049587],0
r4,1,0.013844,6.057979,[33 24] ; [54 15],[39.35714286 17.64285714] ; [47.64285714 21.35714286],0
p10,1,0.017913,5.604631,[24 29] ; [46 23],[30.40983607 22.59016393] ; [39.59016393 29.40983607],0
a6,1,0.019974,5.414188,[22 35] ; [41 28],[28.5 28.5] ; [34.5 34.5],0
p1,1,0.02943,4.742262,[ 9 48] ; [ 3 66],[ 5.42857143 51.57142857] ; [ 6.57142857 62.42857143],0
n3,1,0.04057,4.1939,[14 13] ; [14  3],[17.18181818  9.81818182] ; [10.81818182  6.18181818],0
a3,1,0.076026,3.147866,[18 38] ; [33 36],[22.848 33.152] ; [28.152 40.848],0
s1,1,0.079534,3.074399,[ 6 50] ; [ 2 66],[ 3.61290323 52.38709677] ; [ 4.38709677 63.61290323],0
n2,1,0.084488,2.976379,[13 14] ; [12  4],[15.69767442 11.30232558] ; [9.30232558 6.69767442],0
v4,1,0.097656,2.743413,[42 15] ; [59 10],[45.69047619 11.30952381] ; [55.30952381 13.69047619],0
a8,1,0.1038,2.646168,[ 2 50] ; [ 8 57],[ 4.44444444 47.55555556] ; [ 5.55555556 59.44444444],0
n4,1,0.122147,2.389568,[26 31] ; [41 28],[30.30952381 26.69047619] ; [36.69047619 32.30952381],0
s8,1,0.144473,2.129656,[19 38] ; [15 54],[15.38095238 41.61904762] ; [18.61904762 50.38095238],0
r2,1,0.151984,2.052228,[43 14] ; [59 10],[46.14285714 10.85714286] ; [55.85714286 13.14285714],0
v2,1,0.156217,2.01047,[15 39] ; [25 37],[18.62068966 35.37931034] ; [21.37931034 40.62068966],0
u2,1,0.162871,1.947368,[16 22] ; [21 15],[19. 19.] ; [18. 18.],0
p2,1,0.166509,1.914095,[32 25] ; [47 22],[35.73809524 21.26190476] ; [43.26190476 25.73809524],0
a1,1,0.224229,1.477098,[ 3 54] ; [ 1 68],[ 1.80952381 55.19047619] ; [ 2.19047619 66.80952381],0
s2,1,0.233107,1.4218,[21 36] ; [18 49],[17.92741935 39.07258065] ; [21.07258065 45.92741935],0
u3,1,0.281426,1.160192,[19 20] ; [22 14],[21.32 17.68] ; [19.68 16.32],0
p6,1,0.282505,1.154998,[ 4 52] ; [ 9 60],[ 5.824 50.176] ; [ 7.176 61.824],0
