Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1.7e-05,18.470827,[ 2 41] ; [8 7],[ 7.4137931 35.5862069] ; [ 2.5862069 12.4137931],1
s8,1,0.002354,9.251005,[ 3 40] ; [6 9],[ 6.67241379 36.32758621] ; [ 2.32758621 12.67241379],0
s7,1,0.004683,7.997825,[ 6 34] ; [7 6],[ 9.81132075 30.18867925] ; [3.18867925 9.81132075],0
n1,1,0.070201,3.278312,[10 16] ; [6 2],[12.23529412 13.76470588] ; [3.76470588 4.23529412],0
p7,1,0.105891,2.614493,[12 29] ; [7 6],[14.42592593 26.57407407] ; [4.57407407 8.42592593],0
s1,1,0.153853,2.033631,[ 3 40] ; [ 3 12],[ 4.44827586 38.55172414] ; [ 1.55172414 13.44827586],0
p3,1,0.160882,1.965918,[ 9 33] ; [6 9],[11.05263158 30.94736842] ; [ 3.94736842 11.05263158],0
d2,1,0.171997,1.865455,[14 28] ; [8 7],[16.21052632 25.78947368] ; [5.78947368 9.21052632],0
n3,1,0.186832,1.742425,[ 9 16] ; [5 3],[10.60606061 14.39393939] ; [3.39393939 4.60606061],0
a4,1,0.201901,1.628571,[12 30] ; [7 8],[14. 28.] ; [ 5. 10.],0
a5,1,0.233269,1.420818,[21 22] ; [10  5],[22.98275862 20.01724138] ; [8.01724138 6.98275862],0
b3,1,0.237188,1.39723,[13 14] ; [3 8],[11.36842105 15.63157895] ; [4.63157895 6.36842105],0
b2,1,0.237188,1.39723,[13 14] ; [3 8],[11.36842105 15.63157895] ; [4.63157895 6.36842105],0
p9,1,0.289051,1.124038,[15 25] ; [8 7],[16.72727273 23.27272727] ; [6.27272727 8.72727273],0
p11,1,0.290816,1.115839,[11 32] ; [6 9],[12.60344828 30.39655172] ; [ 4.39655172 10.60344828],0
p4,1,0.315603,1.00708,[11 31] ; [6 9],[12.52631579 29.47368421] ; [ 4.47368421 10.52631579],0
a1,1,0.352579,0.864155,[ 7 36] ; [ 1 14],[ 5.93103448 37.06896552] ; [ 2.06896552 12.93103448],0
d3,1,0.368327,0.809302,[20 23] ; [9 6],[21.5 21.5] ; [7.5 7.5],0
v2,1,0.371861,0.797438,[10 31] ; [ 2 13],[ 8.78571429 32.21428571] ; [ 3.21428571 11.78571429],0
n4,1,0.374856,0.787503,[23 20] ; [10  5],[24.46551724 18.53448276] ; [8.53448276 6.46551724],0
p5,1,0.416976,0.658824,[ 3 39] ; [ 2 12],[ 3.75 38.25] ; [ 1.25 12.75],0
n2,1,0.418741,0.653846,[12 14] ; [5 3],[13. 13.] ; [4. 4.],0
a8,1,0.428537,0.626786,[ 1 39] ; [ 1 13],[ 1.48148148 38.51851852] ; [ 0.51851852 13.48148148],0
p6,1,0.438453,0.600328,[ 5 37] ; [ 3 12],[ 5.89473684 36.10526316] ; [ 2.10526316 12.89473684],0
d5,1,0.441706,0.591846,[25 18] ; [7 8],[23.72413793 19.27586207] ; [8.27586207 6.72413793],0
p1,1,0.450094,0.570414,[ 3 40] ; [ 2 13],[ 3.70689655 39.29310345] ; [ 1.29310345 13.70689655],0
p2,1,0.454492,0.559425,[15 27] ; [7 8],[16.21052632 25.78947368] ; [5.78947368 9.21052632],0
a2,1,0.45571,0.556411,[ 6 37] ; [ 1 14],[ 5.18965517 37.81034483] ; [ 1.81034483 13.18965517],0
n6,1,0.505518,0.443333,[21 21] ; [6 9],[19.89473684 22.10526316] ; [7.10526316 7.89473684],0
s6,1,0.506886,0.44049,[ 8 35] ; [ 4 11],[ 8.89655172 34.10344828] ; [ 3.10344828 11.89655172],0
d4,1,0.554649,0.349054,[22 21] ; [9 6],[22.98275862 20.01724138] ; [8.01724138 6.98275862],0
u2,1,0.566501,0.328571,[ 6 12] ; [1 4],[ 5.47826087 12.52173913] ; [1.52173913 3.47826087],0
a3,1,0.625697,0.237941,[25 17] ; [10  5],[25.78947368 16.21052632] ; [9.21052632 5.78947368],0
r1,1,0.629175,0.233181,[17 26] ; [7 8],[17.79310345 25.20689655] ; [6.20689655 8.79310345],0
v3,1,0.632567,0.228595,[11 31] ; [ 3 12],[10.31578947 31.68421053] ; [ 3.68421053 11.31578947],0
r4,1,0.658925,0.194832,[ 4 39] ; [ 2 13],[ 4.44827586 38.55172414] ; [ 1.55172414 13.44827586],0
b4,1,0.662374,0.190653,[23 20] ; [9 6],[23.72413793 19.27586207] ; [8.27586207 6.72413793],0
p10,1,0.676796,0.173755,[17 25] ; [7 8],[17.68421053 24.31578947] ; [6.31578947 8.68421053],0
s4,1,0.74254,0.107907,[ 7 36] ; [ 3 12],[ 7.4137931 35.5862069] ; [ 2.5862069 12.4137931],0
v4,1,0.746207,0.104746,[25 18] ; [8 7],[24.46551724 18.53448276] ; [8.53448276 6.46551724],0
a7,1,0.746207,0.104746,[18 25] ; [7 8],[18.53448276 24.46551724] ; [6.46551724 8.53448276],0
b5,1,0.764276,0.089922,[21 22] ; [8 7],[21.5 21.5] ; [7.5 7.5],0
u3,1,0.781867,0.076667,[ 6 12] ; [2 3],[ 6.26086957 11.73913043] ; [1.73913043 3.26086957],0
n5,1,0.793905,0.068248,[30 13] ; [11  4],[30.39655172 12.60344828] ; [10.60344828  4.39655172],0
v1,1,0.793905,0.068248,[13 30] ; [ 4 11],[12.60344828 30.39655172] ; [ 4.39655172 10.60344828],0
a6,1,0.884828,0.020982,[21 22] ; [7 8],[20.75862069 22.24137931] ; [7.24137931 7.75862069],0
p8,1,0.906067,0.013924,[13 30] ; [ 4 10],[12.8245614 30.1754386] ; [4.1754386 9.8245614],0
r2,1,0.954621,0.003238,[27 14] ; [10  5],[27.08928571 13.91071429] ; [9.91071429 5.08928571],0
d1,1,0.956075,0.003034,[14 29] ; [ 5 10],[14.0862069 28.9137931] ; [ 4.9137931 10.0862069],0
b1,1,0.974706,0.001005,[26 17] ; [9 6],[25.94827586 17.05172414] ; [9.05172414 5.94827586],0
