Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2e-06,22.999621,[ 9 20] ; [29  3],[18.06557377 10.93442623] ; [19.93442623 12.06557377],1
v1,1,0.00366,8.445078,[ 3 26] ; [14 18],[ 8.08196721 20.91803279] ; [ 8.91803279 23.08196721],0
r2,1,0.003746,8.403219,[17 12] ; [29  3],[21.86885246  7.13114754] ; [24.13114754  7.86885246],0
v4,1,0.008082,7.015324,[18 11] ; [29  3],[22.3442623  6.6557377] ; [24.6557377  7.3442623],0
n2,1,0.018191,5.577627,[5 8] ; [13  3],[8.06896552 4.93103448] ; [9.93103448 6.06896552],0
s6,1,0.020164,5.397611,[ 5 24] ; [14 17],[ 9.18333333 19.81666667] ; [ 9.81666667 21.18333333],0
v3,1,0.021408,5.293252,[ 3 26] ; [11 20],[ 6.76666667 22.23333333] ; [ 7.23333333 23.76666667],0
u3,1,0.026294,4.936579,[ 3 16] ; [9 9],[ 6.16216216 12.83783784] ; [ 5.83783784 12.16216216],0
r3,1,0.030213,4.697153,[15 14] ; [25  7],[19.01639344  9.98360656] ; [20.98360656 11.01639344],0
s3,1,0.040005,4.217678,[ 7 22] ; [15 15],[10.81355932 18.18644068] ; [11.18644068 18.81355932],0
p11,1,0.047693,3.920766,[ 9 20] ; [18 14],[12.83606557 16.16393443] ; [14.16393443 17.83606557],0
s8,1,0.089087,2.890794,[ 2 27] ; [ 7 24],[ 4.35 24.65] ; [ 4.65 26.35],0
p3,1,0.093144,2.819178,[ 6 23] ; [13 19],[ 9.03278689 19.96721311] ; [ 9.96721311 22.03278689],0
s1,1,0.101804,2.677049,[ 1 28] ; [ 5 26],[ 2.9 26.1] ; [ 3.1 27.9],0
a5,1,0.12058,2.409775,[ 8 21] ; [15 17],[10.93442623 18.06557377] ; [12.06557377 19.93442623],0
b4,1,0.16659,1.913364,[13 16] ; [20 12],[15.68852459 13.31147541] ; [17.31147541 14.68852459],0
d2,1,0.169717,1.885443,[11 18] ; [ 7 25],[ 8.55737705 20.44262295] ; [ 9.44262295 22.55737705],0
v2,1,0.179471,1.802002,[ 5 24] ; [10 21],[ 7.25 21.75] ; [ 7.75 23.25],0
a7,1,0.205964,1.599571,[ 9 20] ; [15 17],[11.40983607 17.59016393] ; [12.59016393 19.40983607],0
s2,1,0.245016,1.351502,[ 4 25] ; [ 8 23],[ 5.8 23.2] ; [ 6.2 24.8],0
s5,1,0.265607,1.239293,[ 2 27] ; [ 5 26],[ 3.38333333 25.61666667] ; [ 3.61666667 27.38333333],0
n6,1,0.270266,1.215399,[15 14] ; [21 11],[17.1147541 11.8852459] ; [18.8852459 13.1147541],0
a8,1,0.301824,1.066118,[ 3 25] ; [ 6 23],[ 4.42105263 23.57894737] ; [ 4.57894737 24.42105263],0
p9,1,0.306592,1.045302,[10 19] ; [ 7 24],[ 8.21666667 20.78333333] ; [ 8.78333333 22.21666667],0
a1,1,0.32318,0.976032,[ 4 25] ; [ 2 30],[ 2.85245902 26.14754098] ; [ 3.14754098 28.85245902],0
a3,1,0.340879,0.907121,[10 19] ; [14 16],[11.79661017 17.20338983] ; [12.20338983 17.79661017],0
b1,1,0.372844,0.794165,[13 16] ; [18 14],[14.73770492 14.26229508] ; [16.26229508 15.73770492],0
a6,1,0.384987,0.754717,[15 14] ; [13 19],[13.31147541 15.68852459] ; [14.68852459 17.31147541],0
d5,1,0.410107,0.67849,[ 8 21] ; [12 20],[ 9.50819672 19.49180328] ; [10.49180328 21.50819672],0
n4,1,0.415214,0.663821,[18 11] ; [23  9],[19.49180328  9.50819672] ; [21.50819672 10.49180328],0
n5,1,0.43598,0.606841,[20  9] ; [19 13],[18.54098361 10.45901639] ; [20.45901639 11.54098361],0
p1,1,0.463009,0.53861,[ 2 27] ; [ 4 28],[ 2.85245902 26.14754098] ; [ 3.14754098 28.85245902],0
n1,1,0.473701,0.51333,[4 9] ; [7 9],[4.93103448 8.06896552] ; [6.06896552 9.93103448],0
p2,1,0.480548,0.497619,[18 11] ; [17 15],[16.63934426 12.36065574] ; [18.36065574 13.63934426],0
p6,1,0.502852,0.448913,[ 5 23] ; [ 8 24],[ 6.06666667 21.93333333] ; [ 6.93333333 25.06666667],0
n3,1,0.579997,0.30624,[9 4] ; [11  3],[9.62962963 3.37037037] ; [10.37037037  3.62962963],0
p4,1,0.595581,0.281712,[ 9 20] ; [12 20],[ 9.98360656 19.01639344] ; [11.01639344 20.98360656],0
u2,1,0.640654,0.217887,[ 5 14] ; [ 6 12],[ 5.64864865 13.35135135] ; [ 5.35135135 12.64864865],0
a4,1,0.654541,0.200222,[ 8 21] ; [ 7 24],[ 7.25 21.75] ; [ 7.75 23.25],0
d3,1,0.723691,0.124984,[ 7 22] ; [ 9 23],[ 7.60655738 21.39344262] ; [ 8.39344262 23.60655738],0
a2,1,0.724536,0.124188,[ 2 27] ; [ 3 29],[ 2.37704918 26.62295082] ; [ 2.62295082 29.37704918],0
b5,1,0.756764,0.095934,[17 12] ; [20 12],[17.59016393 11.40983607] ; [19.40983607 12.59016393],0
b3,1,0.777231,0.080049,[ 5 13] ; [ 5 16],[ 4.61538462 13.38461538] ; [ 5.38461538 15.61538462],0
b2,1,0.777231,0.080049,[ 5 13] ; [ 5 16],[ 4.61538462 13.38461538] ; [ 5.38461538 15.61538462],0
s4,1,0.86478,0.029,[ 5 24] ; [ 5 27],[ 4.75409836 24.24590164] ; [ 5.24590164 26.75409836],0
p7,1,0.872681,0.025681,[13 16] ; [15 17],[13.31147541 15.68852459] ; [14.68852459 17.31147541],0
s7,1,0.91629,0.011048,[ 4 24] ; [ 4 26],[ 3.86206897 24.13793103] ; [ 4.13793103 25.86206897],0
p8,1,0.943367,0.005046,[ 7 21] ; [ 8 23],[ 7.11864407 20.88135593] ; [ 7.88135593 23.11864407],0
d1,1,0.943552,0.005014,[ 1 28] ; [ 1 31],[ 0.95081967 28.04918033] ; [ 1.04918033 30.95081967],0
p12,1,0.943552,0.005014,[ 1 28] ; [ 1 31],[ 0.95081967 28.04918033] ; [ 1.04918033 30.95081967],0
