Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,3e-06,21.670783,[  9 108] ; [19 33],[19.38461538 97.61538462] ; [ 8.61538462 43.38461538],1
s2,1,3e-05,17.442025,[38 78] ; [35 17],[50.4047619 65.5952381] ; [22.5952381 29.4047619],1
s6,1,0.000163,14.210609,[65 52] ; [43  7],[75.66467066 41.33532934] ; [32.33532934 17.66467066],1
p6,1,0.002712,8.991523,[37 78] ; [29 22],[45.72289157 69.27710843] ; [20.27710843 30.72289157],0
s7,1,0.010344,6.574681,[47 66] ; [30 17],[54.38125 58.61875] ; [22.61875 24.38125],0
r1,1,0.032938,4.549017,[80 36] ; [44  8],[85.61904762 30.38095238] ; [38.38095238 13.61904762],0
d4,1,0.03807,4.301896,[61 56] ; [36 16],[67.15384615 49.84615385] ; [29.84615385 22.15384615],0
n3,1,0.046131,3.976812,[19  2] ; [4 3],[17.25  3.75] ; [5.75 1.25],0
p12,1,0.063041,3.455516,[  6 110] ; [ 7 45],[  8.97619048 107.02380952] ; [ 4.02380952 47.97619048],0
s3,1,0.06438,3.42079,[53 62] ; [32 20],[58.53293413 56.46706587] ; [26.46706587 25.53293413],0
a7,1,0.076431,3.1392,[81 35] ; [29 23],[75.95238095 40.04761905] ; [34.04761905 17.95238095],0
n4,1,0.0912,2.853058,[85 32] ; [44  8],[89.30769231 27.69230769] ; [39.69230769 12.30769231],0
p8,1,0.126216,2.338439,[65 51] ; [35 16],[69.46107784 46.53892216] ; [30.53892216 20.46107784],0
d2,1,0.134761,2.236781,[19 98] ; [ 4 48],[ 15.92307692 101.07692308] ; [ 7.07692308 44.92307692],0
s1,1,0.143327,2.141876,[  2 115] ; [ 3 48],[  3.48214286 113.51785714] ; [ 1.51785714 49.48214286],0
u1,1,0.150547,2.066701,[  2 115] ; [ 3 49],[  3.46153846 113.53846154] ; [ 1.53846154 50.46153846],0
a6,1,0.170587,1.877778,[76 41] ; [28 24],[72. 45.] ; [32. 20.],0
p11,1,0.184834,1.758325,[91 26] ; [45  7],[94.15384615 22.84615385] ; [41.84615385 10.15384615],0
v2,1,0.204812,1.607725,[56 54] ; [32 20],[59.75308642 50.24691358] ; [28.24691358 23.75308642],0
a1,1,0.227264,1.457902,[  4 113] ; [ 4 48],[  5.53846154 111.46153846] ; [ 2.46153846 49.53846154],0
p9,1,0.246115,1.345222,[92 25] ; [44  7],[94.71428571 22.28571429] ; [41.28571429  9.71428571],0
s4,1,0.255721,1.291776,[ 15 102] ; [10 41],[17.41071429 99.58928571] ; [ 7.58928571 43.41071429],0
n1,1,0.263978,1.247772,[ 7 14] ; [4 3],[ 8.25 12.75] ; [2.75 4.25],0
r4,1,0.266427,1.235048,[101  16] ; [48  4],[103.15384615  13.84615385] ; [45.84615385  6.15384615],0
v4,1,0.272125,1.206004,[107  10] ; [50  2],[108.69230769   8.30769231] ; [48.30769231  3.69230769],0
a4,1,0.28929,1.122924,[27 90] ; [16 36],[29.76923077 87.23076923] ; [13.23076923 38.76923077],0
d3,1,0.319682,0.990246,[38 79] ; [21 31],[40.84615385 76.15384615] ; [18.15384615 33.84615385],0
p10,1,0.323345,0.97537,[88 28] ; [43  9],[90.45238095 25.54761905] ; [40.54761905 11.45238095],0
r3,1,0.349535,0.875144,[108   9] ; [50  2],[109.38461538   7.61538462] ; [48.61538462  3.38461538],0
v3,1,0.381663,0.765338,[44 69] ; [24 28],[46.56969697 66.43030303] ; [21.43030303 30.56969697],0
b1,1,0.382645,0.762188,[58 59] ; [22 30],[55.38461538 61.61538462] ; [24.61538462 27.38461538],0
a5,1,0.391257,0.735032,[73 44] ; [36 16],[75.46153846 41.53846154] ; [33.53846154 18.46153846],0
n5,1,0.423532,0.640494,[84 31] ; [41 11],[86.07784431 28.92215569] ; [38.92215569 13.07784431],0
b5,1,0.439949,0.596414,[66 51] ; [26 26],[63.69230769 53.30769231] ; [28.30769231 23.69230769],0
s8,1,0.448723,0.573876,[41 76] ; [21 30],[43.17857143 73.82142857] ; [18.82142857 32.17857143],0
a3,1,0.449395,0.572178,[67 50] ; [33 19],[69.23076923 47.76923077] ; [30.76923077 21.23076923],0
u3,1,0.451804,0.566122,[26 23] ; [12  7],[27.38235294 21.61764706] ; [10.61764706  8.38235294],0
n6,1,0.468979,0.524379,[96 21] ; [45  7],[97.61538462 19.38461538] ; [43.38461538  8.61538462],0
p4,1,0.486352,0.484588,[84 33] ; [40 12],[85.84615385 31.15384615] ; [38.15384615 13.84615385],0
p2,1,0.537439,0.380307,[96 20] ; [45  7],[97.35714286 18.64285714] ; [43.64285714  8.35714286],0
u2,1,0.559808,0.340038,[24 24] ; [11  8],[25.07462687 22.92537313] ; [9.92537313 9.07462687],0
b2,1,0.5735,0.316862,[26 49] ; [11 16],[27.20588235 47.79411765] ; [ 9.79411765 17.20588235],0
b3,1,0.5735,0.316862,[26 49] ; [11 16],[27.20588235 47.79411765] ; [ 9.79411765 17.20588235],0
r2,1,0.588194,0.293173,[104  12] ; [48  4],[104.95238095  11.04761905] ; [47.04761905  4.95238095],0
b4,1,0.622893,0.241823,[65 52] ; [31 21],[66.46153846 50.53846154] ; [29.53846154 22.46153846],0
p1,1,0.757833,0.095066,[ 13 103] ; [ 5 47],[ 12.42857143 103.57142857] ; [ 5.57142857 46.42857143],0
a2,1,0.794973,0.067527,[  8 109] ; [ 3 49],[  7.61538462 109.38461538] ; [ 3.38461538 48.61538462],0
v1,1,0.845617,0.037914,[59 56] ; [27 24],[59.57831325 55.42168675] ; [26.42168675 24.57831325],0
p7,1,0.858572,0.031753,[87 28] ; [40 12],[87.45508982 27.54491018] ; [39.54491018 12.45508982],0
a8,1,0.86268,0.029917,[12 98] ; [ 5 45],[11.6875 98.3125] ; [ 5.3125 44.6875],0
d5,1,0.916285,0.011049,[71 46] ; [32 20],[71.30769231 45.69230769] ; [31.69230769 20.30769231],0
