Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1.7e-05,18.545621,[77  8] ; [29 20],[67.23880597 17.76119403] ; [38.76119403 10.23880597],1
a5,1,0.002244,9.338112,[68 17] ; [27 22],[60.26119403 24.73880597] ; [34.73880597 14.26119403],0
p8,1,0.00339,8.584706,[63 20] ; [25 24],[55.33333333 27.66666667] ; [32.66666667 16.33333333],0
n4,1,0.005341,7.760043,[73 12] ; [32 17],[66.60447761 18.39552239] ; [38.39552239 10.60447761],0
a2,1,0.014641,5.959123,[24 61] ; [ 5 44],[18.39552239 66.60447761] ; [10.60447761 38.39552239],0
p5,1,0.015945,5.808929,[16 69] ; [ 2 47],[11.41791045 73.58208955] ; [ 6.58208955 42.41791045],0
v3,1,0.019252,5.478493,[40 45] ; [13 36],[33.61940299 51.38059701] ; [19.38059701 29.61940299],0
r1,1,0.021745,5.266093,[69 16] ; [31 18],[63.43283582 21.56716418] ; [36.56716418 12.43283582],0
p9,1,0.023302,5.145833,[78  6] ; [39 10],[73.89473684 10.10526316] ; [43.10526316  5.89473684],0
a3,1,0.026976,4.892322,[62 22] ; [27 22],[56.21052632 27.78947368] ; [32.78947368 16.21052632],0
p10,1,0.034067,4.491341,[73 10] ; [36 13],[68.53787879 14.46212121] ; [40.46212121  8.53787879],0
n5,1,0.060726,3.517458,[65 18] ; [31 18],[60.36363636 22.63636364] ; [35.63636364 13.36363636],0
a6,1,0.070414,3.273347,[60 25] ; [27 22],[55.18656716 29.81343284] ; [31.81343284 17.18656716],0
d4,1,0.082909,3.006926,[70 15] ; [34 15],[65.97014925 19.02985075] ; [38.02985075 10.97014925],0
u2,1,0.088298,2.905138,[11 12] ; [16  6],[13.8  9.2] ; [13.2  8.8],0
s7,1,0.090968,2.857153,[38 41] ; [15 31],[33.496 45.504] ; [19.504 26.496],0
r4,1,0.091184,2.85335,[79  6] ; [41  8],[76.11940299  8.88059701] ; [43.88059701  5.11940299],0
n6,1,0.133574,2.250467,[77  8] ; [40  9],[74.21641791 10.78358209] ; [42.78358209  6.21641791],0
p12,1,0.140948,2.167583,[ 7 77] ; [ 1 48],[ 5.05263158 78.94736842] ; [ 2.94736842 46.05263158],0
p7,1,0.148809,2.084419,[71 12] ; [37 12],[67.90909091 15.09090909] ; [40.09090909  8.90909091],0
a7,1,0.167247,1.907451,[66 19] ; [32 16],[62.63157895 22.36842105] ; [35.36842105 12.63157895],0
d1,1,0.183345,1.770303,[50 35] ; [23 26],[46.30597015 38.69402985] ; [26.69402985 22.30597015],0
v2,1,0.196728,1.666496,[54 31] ; [25 23],[50.4887218 34.5112782] ; [28.5112782 19.4887218],0
a1,1,0.208644,1.580813,[ 6 79] ; [ 1 48],[ 4.44029851 80.55970149] ; [ 2.55970149 46.44029851],0
b4,1,0.214932,1.53789,[48 37] ; [33 16],[51.38059701 33.61940299] ; [29.61940299 19.38059701],0
s5,1,0.219639,1.506728,[29 53] ; [12 36],[25.86153846 56.13846154] ; [15.13846154 32.86153846],0
b1,1,0.223303,1.483016,[35 50] ; [15 34],[31.71641791 53.28358209] ; [18.28358209 30.71641791],0
r3,1,0.245621,1.34804,[82  3] ; [45  4],[80.55970149  4.44029851] ; [46.44029851  2.55970149],0
d2,1,0.256496,1.287574,[38 47] ; [17 32],[34.8880597 50.1119403] ; [20.1119403 28.8880597],0
v1,1,0.27188,1.207237,[55 30] ; [27 22],[52.01492537 32.98507463] ; [29.98507463 19.01492537],0
v4,1,0.273605,1.198583,[84  1] ; [47  2],[83.09701493  1.90298507] ; [47.90298507  1.09701493],0
s6,1,0.327719,0.957891,[48 35] ; [23 24],[45.33076923 37.66923077] ; [25.66923077 21.33076923],0
a4,1,0.406216,0.689849,[41 44] ; [20 29],[38.69402985 46.30597015] ; [22.30597015 26.69402985],0
b5,1,0.41115,0.675473,[53 32] ; [34 15],[55.18656716 29.81343284] ; [31.81343284 17.18656716],0
n1,1,0.413272,0.669369,[ 3 10] ; [ 8 14],[4.08571429 8.91428571] ; [ 6.91428571 15.08571429],0
p2,1,0.455777,0.556245,[75 10] ; [41  8],[73.58208955 11.41791045] ; [42.41791045  6.58208955],0
a8,1,0.487024,0.483093,[ 9 61] ; [ 4 42],[ 7.84482759 62.15517241] ; [ 5.15517241 40.84482759],0
d3,1,0.51231,0.429347,[59 26] ; [30 17],[57.31060606 27.68939394] ; [31.68939394 15.31060606],0
u3,1,0.539715,0.376068,[14  8] ; [12 10],[13.  9.] ; [13.  9.],0
u1,1,0.599084,0.27638,[17 68] ; [ 8 41],[15.85820896 69.14179104] ; [ 9.14179104 39.85820896],0
r2,1,0.637583,0.221917,[78  5] ; [45  4],[77.34090909  5.65909091] ; [45.65909091  3.34090909],0
s8,1,0.696854,0.151765,[33 52] ; [17 31],[31.95488722 53.04511278] ; [18.04511278 29.95488722],0
s4,1,0.734855,0.1147,[12 71] ; [ 8 40],[12.67175573 70.32824427] ; [ 7.32824427 40.67175573],0
p11,1,0.737003,0.112778,[68 17] ; [38 11],[67.23880597 17.76119403] ; [38.76119403 10.23880597],0
d5,1,0.738512,0.111439,[71 14] ; [39  9],[70.30075188 14.69924812] ; [39.69924812  8.30075188],0
n3,1,0.777659,0.079733,[10  3] ; [17  4],[10.32352941  2.67647059] ; [16.67647059  4.32352941],0
b2,1,0.778648,0.079006,[26 31] ; [11 15],[25.40963855 31.59036145] ; [11.59036145 14.40963855],0
b3,1,0.778648,0.079006,[26 31] ; [11 15],[25.40963855 31.59036145] ; [11.59036145 14.40963855],0
n2,1,0.886436,0.020396,[8 5] ; [13  9],[7.8 5.2] ; [13.2  8.8],0
s2,1,0.936022,0.006443,[20 65] ; [11 37],[19.81203008 65.18796992] ; [11.18796992 36.81203008],0
p1,1,0.944179,0.004903,[ 9 76] ; [ 5 44],[ 8.88059701 76.11940299] ; [ 5.11940299 43.88059701],0
