Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,96.757936,[ 51 203] ; [148  83],[104.2185567 149.7814433] ; [ 94.7814433 136.2185567],1
p8,1,0.0,26.520851,[ 74 178] ; [121 110],[101.73913043 150.26086957] ; [ 93.26086957 137.73913043],1
p2,1,0.0,26.485376,[173  80] ; [203  28],[196.54545455  56.45454545] ; [179.45454545  51.54545455],1
n5,1,2.2e-05,17.999129,[155  97] ; [183  48],[176.34782609  75.65217391] ; [161.65217391  69.34782609],1
p7,1,6.8e-05,15.86097,[103 145] ; [138  93],[124.77661795 123.22338205] ; [116.22338205 114.77661795],1
p5,1,0.000473,12.218183,[  8 244] ; [ 26 203],[ 17.81288981 234.18711019] ; [ 16.18711019 212.81288981],1
s6,1,0.000788,11.269034,[137 115] ; [158  70],[154.875  97.125] ; [140.125  87.875],1
v1,1,0.001187,10.510035,[ 98 151] ; [120 101],[115.49361702 133.50638298] ; [102.50638298 118.49361702],0
p10,1,0.00218,9.391733,[178  74] ; [189  40],[192.27442827  59.72557173] ; [174.72557173  54.27442827],0
v4,1,0.002783,8.944529,[223  28] ; [222   9],[231.73236515  19.26763485] ; [213.26763485  17.73236515],0
s7,1,0.003106,8.743878,[ 86 158] ; [106 111],[101.62255965 142.37744035] ; [ 90.37744035 126.62255965],0
p11,1,0.003666,8.442371,[175  80] ; [186  46],[189.02464066  65.97535934] ; [171.97535934  60.02464066],0
r4,1,0.00403,8.270086,[209  46] ; [211  21],[219.91786448  35.08213552] ; [200.08213552  31.91786448],0
r3,1,0.004948,7.898504,[228  25] ; [224   8],[235.78556701  17.21443299] ; [216.21443299  15.78556701],0
v3,1,0.005048,7.862302,[ 78 167] ; [ 97 121],[ 92.60259179 152.39740821] ; [ 82.39740821 135.60259179],0
n4,1,0.008563,6.91186,[172  82] ; [181  50],[184.87010309  69.12989691] ; [168.12989691  62.87010309],0
