Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.03095,4.655754,[15 48] ; [13 15],[19.38461538 43.61538462] ; [ 8.61538462 19.38461538],0
s1,1,0.039134,4.255049,[ 3 61] ; [ 5 23],[ 5.56521739 58.43478261] ; [ 2.43478261 25.56521739],0
d4,1,0.042091,4.131535,[38 26] ; [22  5],[42.1978022 21.8021978] ; [17.8021978  9.1978022],0
s3,1,0.07141,3.2503,[20 43] ; [14 13],[23.8 39.2] ; [10.2 16.8],0
d1,1,0.086456,2.939148,[20 44] ; [14 14],[23.65217391 40.34782609] ; [10.34782609 17.65217391],0
d5,1,0.100875,2.69166,[34 30] ; [20  8],[37.56521739 26.43478261] ; [16.43478261 11.56521739],0
p8,1,0.109373,2.563255,[13 50] ; [ 2 26],[10.38461538 52.61538462] ; [ 4.61538462 23.38461538],0
n1,1,0.141391,2.162759,[ 6 23] ; [ 8 12],[ 8.28571429 20.71428571] ; [ 5.71428571 14.28571429],0
p10,1,0.202601,1.623523,[26 35] ; [16 12],[28.78651685 32.21348315] ; [13.21348315 14.78651685],0
b4,1,0.215798,1.532098,[37 27] ; [20  8],[39.65217391 24.34782609] ; [17.34782609 10.65217391],0
s2,1,0.220932,1.498307,[13 51] ; [ 9 19],[15.30434783 48.69565217] ; [ 6.69565217 21.30434783],0
u3,1,0.227844,1.454269,[ 6 23] ; [4 6],[ 7.43589744 21.56410256] ; [2.56410256 7.43589744],0
s8,1,0.248583,1.331249,[ 6 58] ; [ 5 23],[ 7.65217391 56.34782609] ; [ 3.34782609 24.65217391],0
v1,1,0.251786,1.313368,[16 43] ; [11 17],[18.31034483 40.68965517] ; [ 8.68965517 19.31034483],0
s7,1,0.258753,1.275416,[14 47] ; [ 9 17],[16.12643678 44.87356322] ; [ 6.87356322 19.12643678],0
n5,1,0.276518,1.184125,[41 23] ; [14 13],[38.68131868 25.31868132] ; [16.31868132 10.68131868],0
p3,1,0.278958,1.172161,[10 53] ; [ 2 25],[ 8.4 54.6] ; [ 3.6 23.4],0
s6,1,0.289056,1.124013,[18 46] ; [11 17],[20.17391304 43.82608696] ; [ 8.82608696 19.17391304],0
u2,1,0.29158,1.112314,[10 18] ; [5 4],[11.35135135 16.64864865] ; [3.64864865 5.35135135],0
s5,1,0.301563,1.067271,[ 8 54] ; [ 6 22],[ 9.64444444 52.35555556] ; [ 4.35555556 23.64444444],0
a5,1,0.313137,1.017398,[27 37] ; [15 13],[29.2173913 34.7826087] ; [12.7826087 15.2173913],0
a3,1,0.326233,0.963794,[35 28] ; [18  9],[37.1 25.9] ; [15.9 11.1],0
s4,1,0.337027,0.921707,[12 52] ; [ 3 25],[10.43478261 53.56521739] ; [ 4.56521739 23.43478261],0
r2,1,0.33987,0.910923,[35 25] ; [18  8],[36.97674419 23.02325581] ; [16.02325581  9.97674419],0
