Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,115.886969,[116 174] ; [262  56],[180.29605263 109.70394737] ; [197.70394737 120.29605263],1
p8,1,0.0,41.898154,[120 169] ; [214 102],[159.54710744 129.45289256] ; [174.45289256 141.54710744],1
p7,1,0.0,38.731215,[150 132] ; [243  71],[185.94966443  96.05033557] ; [207.05033557 106.94966443],1
p6,1,0.0,30.572052,[ 71 218] ; [145 169],[103.52238806 185.47761194] ; [112.47761194 201.52238806],1
p5,1,1e-05,19.566887,[ 20 271] ; [ 60 255],[ 38.41584158 252.58415842] ; [ 41.58415842 273.41584158],1
s7,1,2.7e-05,17.598198,[116 169] ; [172 124],[141.27366609 143.72633391] ; [146.72633391 149.27366609],1
v3,1,6.9e-05,15.836474,[ 97 185] ; [155 151],[120.85714286 161.14285714] ; [131.14285714 174.85714286],1
r4,1,0.000108,14.989356,[250  43] ; [301  17],[264.22749591  28.77250409] ; [286.77250409  31.22749591],1
p1,1,0.000133,14.602583,[ 13 280] ; [ 42 273],[ 26.50493421 266.49506579] ; [ 28.49506579 286.50493421],1
s5,1,0.000139,14.519276,[ 70 216] ; [120 187],[ 91.63575042 194.36424958] ; [ 98.36424958 208.63575042],1
a5,1,0.000243,13.46225,[200  93] ; [258  60],[219.63011457  73.36988543] ; [238.36988543  79.63011457],1
s8,1,0.000351,12.776502,[113 179] ; [168 148],[134.95394737 157.04605263] ; [146.04605263 169.95394737],1
u1,1,0.000391,12.572862,[ 33 260] ; [ 70 248],[ 49.39279869 243.60720131] ; [ 53.60720131 264.39279869],1
n4,1,0.000394,12.56126,[217  76] ; [272  46],[234.49590835  58.50409165] ; [254.50409165  63.49590835],1
p12,1,0.000841,11.148678,[ 15 277] ; [ 41 275],[ 26.89473684 265.10526316] ; [ 29.10526316 286.89473684],1
v1,1,0.000871,11.084048,[142 143] ; [194 112],[162.03045685 122.96954315] ; [173.96954315 132.03045685],1
v2,1,0.001392,10.216062,[147 129] ; [204 104],[165.88356164 110.11643836] ; [185.11643836 122.88356164],0
n6,1,0.001716,9.831265,[236  54] ; [286  31],[249.39044481  40.60955519] ; [272.60955519  44.39044481],0
r2,1,0.00176,9.784045,[261  25] ; [307   9],[269.84717608  16.15282392] ; [298.15282392  17.84717608],0
