Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,130.71017,[314 141] ; [ 66 199],[240.13888889 214.86111111] ; [139.86111111 125.13888889],1
p6,1,0.0,67.333915,[230 223] ; [ 50 207],[178.64788732 274.35211268] ; [101.35211268 155.64788732],1
p8,1,0.0,48.841272,[303 150] ; [102 154],[258.76586742 194.23413258] ; [146.23413258 109.76586742],1
p7,1,0.0,39.207829,[347 106] ; [136 117],[309.91359773 143.08640227] ; [173.08640227  79.91359773],1
p5,1,0.0,30.270419,[ 76 379] ; [  8 256],[ 53.15716273 401.84283727] ; [ 30.84283727 233.15716273],1
n5,1,0.0,28.339035,[375  79] ; [171  92],[345.72384937 108.27615063] ; [200.27615063  62.72384937],1
s7,1,0.0,27.573761,[252 181] ; [ 96 160],[218.69956459 214.30043541] ; [129.30043541 126.69956459],1
n4,1,1e-06,24.355909,[382  73] ; [180  84],[355.64673157  99.35326843] ; [206.35326843  57.64673157],1
s6,1,8e-06,20.000776,[330 114] ; [151 109],[303.35795455 140.64204545] ; [177.64204545  82.35795455],1
d1,1,1e-05,19.495097,[300 156] ; [130 135],[271.9556172 184.0443828] ; [158.0443828 106.9556172],1
s8,1,2e-05,18.157194,[230 222] ; [ 91 173],[202.6424581 249.3575419] ; [118.3575419 145.6424581],1
d3,1,5.9e-05,16.127225,[347 109] ; [163 100],[323.44923505 132.55076495] ; [186.55076495  76.44923505],1
p10,1,6.8e-05,15.876668,[399  54] ; [201  61],[380.13986014  72.86013986] ; [219.86013986  42.13986014],1
a5,1,0.000178,14.051065,[359  97] ; [175  90],[337.73092926 118.26907074] ; [196.26907074  68.73092926],1
d2,1,0.000608,11.751185,[243 212] ; [106 158],[220.85535466 234.14464534] ; [128.14464534 135.85535466],1
v1,1,0.000613,11.736664,[272 174] ; [122 134],[250.31908832 195.68091168] ; [143.68091168 112.31908832],1
p1,1,0.001433,10.162956,[ 53 402] ; [ 12 251],[ 41.1908078 413.8091922] ; [ 23.8091922 239.1908078],0
s2,1,0.001537,10.034255,[256 195] ; [117 146],[235.60644258 215.39355742] ; [137.39355742 125.60644258],0
s5,1,0.002114,9.447748,[172 266] ; [ 71 185],[153.36311239 284.63688761] ; [ 89.63688761 166.36311239],0
u1,1,0.002408,9.208854,[ 98 358] ; [ 33 232],[ 82.85159501 373.14840499] ; [ 48.14840499 216.85159501],0
n6,1,0.002579,9.083506,[401  52] ; [212  52],[387.29288703  65.70711297] ; [225.70711297  38.29288703],0
a2,1,0.002692,9.005152,[128 328] ; [ 48 217],[111.31206657 344.68793343] ; [ 64.68793343 200.31206657],0
r4,1,0.00439,8.114841,[437  19] ; [240  25],[428.17198336  27.82801664] ; [248.82801664  16.17198336],0
a4,1,0.00599,7.553361,[221 233] ; [101 164],[203.32127955 250.67872045] ; [118.67872045 146.32127955],0
a7,1,0.00873,6.877347,[355 100] ; [182  81],[340.2994429 114.7005571] ; [196.7005571  66.2994429],0
