Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,4.3e-05,16.712382,[325  17] ; [8 4],[321.71186441  20.28813559] ; [11.28813559  0.71186441],1
p7,1,0.000504,12.099283,[239  94] ; [3 9],[233.5826087  99.4173913] ; [8.4173913 3.5826087],1
p11,1,0.003977,8.294367,[283  59] ; [6 6],[279.20338983  62.79661017] ; [9.79661017 2.20338983],0
v1,1,0.007767,7.086424,[208 122] ; [3 9],[203.59649123 126.40350877] ; [7.40350877 4.59649123],0
s6,1,0.011946,6.318855,[288  50] ; [7 5],[284.88571429  53.11428571] ; [10.11428571  1.88571429],0
d4,1,0.06432,3.422328,[293  48] ; [8 4],[290.76770538  50.23229462] ; [10.23229462  1.76770538],0
d5,1,0.070682,3.267122,[292  49] ; [8 4],[289.80169972  51.19830028] ; [10.19830028  1.80169972],0
v2,1,0.076558,3.136504,[207 123] ; [4 7],[204.19354839 125.80645161] ; [6.80645161 4.19354839],0
p10,1,0.134071,2.244719,[300  37] ; [9 3],[298.37535817  38.62464183] ; [10.62464183  1.37535817],0
n1,1,0.170541,1.878179,[28 38] ; [6 3],[29.92 36.08] ; [4.08 4.92],0
n3,1,0.184108,1.764145,[48 18] ; [4 4],[46.37837838 19.62162162] ; [5.62162162 2.37837838],0
n2,1,0.200562,1.638274,[45 21] ; [8 1],[46.64 19.36] ; [6.36 2.64],0
d1,1,0.204127,1.6126,[231 111] ; [6 6],[228.96610169 113.03389831] ; [8.03389831 3.96610169],0
b4,1,0.208348,1.582871,[194 148] ; [9 3],[196.11864407 145.88135593] ; [6.88135593 5.11864407],0
a4,1,0.248135,1.333772,[172 170] ; [4 8],[170.03389831 171.96610169] ; [5.96610169 6.03389831],0
u3,1,0.252774,1.307905,[44 23] ; [1 2],[43.07142857 23.92857143] ; [1.92857143 1.07142857],0
p9,1,0.305973,1.047978,[311  28] ; [10  2],[310.02564103  28.97435897] ; [10.97435897  1.02564103],0
r1,1,0.309664,1.032109,[291  49] ; [9 3],[289.77272727  50.22727273] ; [10.22727273  1.77272727],0
a2,1,0.374938,0.787232,[ 97 245] ; [ 2 10],[ 95.6440678 246.3559322] ; [3.3559322 8.6440678],0
r2,1,0.381297,0.766515,[326  13] ; [10  1],[325.44  13.56] ; [10.56  0.44],0
a7,1,0.383878,0.758246,[239 102] ; [7 5],[237.63739377 103.36260623] ; [8.36260623 3.63739377],0
v3,1,0.384221,0.757152,[164 166] ; [4 7],[162.58064516 167.41935484] ; [5.41935484 5.58064516],0
d3,1,0.419832,0.650786,[237 105] ; [7 5],[235.72881356 106.27118644] ; [8.27118644 3.72881356],0
p1,1,0.425899,0.633981,[ 33 308] ; [ 2 10],[ 33.8101983 307.1898017] ; [ 1.1898017 10.8101983],0
s1,1,0.435678,0.607639,[ 13 325] ; [ 1 11],[ 13.52 324.48] ; [ 0.48 11.52],0
p8,1,0.509508,0.435076,[200 136] ; [6 6],[198.89655172 137.10344828] ; [7.10344828 4.89655172],0
p3,1,0.517084,0.419705,[203 139] ; [6 6],[201.91525424 140.08474576] ; [7.08474576 4.91525424],0
d2,1,0.544827,0.366667,[198 144] ; [8 4],[199.01694915 142.98305085] ; [6.98305085 5.01694915],0
u1,1,0.55851,0.342291,[ 82 260] ; [ 2 10],[ 81.15254237 260.84745763] ; [2.84745763 9.15254237],0
s5,1,0.568314,0.325512,[146 178] ; [4 7],[145.07462687 178.92537313] ; [4.92537313 6.07462687],0
b5,1,0.598235,0.277666,[202 140] ; [8 4],[202.88135593 139.11864407] ; [7.11864407 4.88135593],0
p12,1,0.609678,0.260645,[ 40 299] ; [ 2 10],[ 40.56410256 298.43589744] ; [ 1.43589744 10.56410256],0
a3,1,0.627909,0.234907,[275  66] ; [9 3],[274.34560907  66.65439093] ; [9.65439093 2.34560907],0
n4,1,0.640836,0.21765,[297  44] ; [11  1],[297.52974504  43.47025496] ; [10.47025496  1.52974504],0
p6,1,0.647999,0.208432,[163 174] ; [5 7],[162.2234957 174.7765043] ; [5.7765043 6.2234957],0
s2,1,0.653338,0.201717,[246  93] ; [8 4],[245.31623932  93.68376068] ; [8.68376068 3.31623932],0
a5,1,0.663486,0.189317,[274  68] ; [9 3],[273.40677966  68.59322034] ; [9.59322034 2.40677966],0
s7,1,0.729455,0.119613,[258  68] ; [9 3],[257.52071006  68.47928994] ; [9.47928994 2.52071006],0
b2,1,0.804542,0.061243,[102 130] ; [4 6],[101.61983471 130.38016529] ; [4.38016529 5.61983471],0
b3,1,0.804542,0.061243,[102 130] ; [4 6],[101.61983471 130.38016529] ; [4.38016529 5.61983471],0
u2,1,0.809616,0.058043,[40 27] ; [2 1],[40.2 26.8] ; [1.8 1.2],0
b1,1,0.83006,0.046063,[132 210] ; [5 7],[132.3559322 209.6440678] ; [4.6440678 7.3559322],0
s4,1,0.850771,0.035395,[ 64 276] ; [ 2 10],[ 63.75 276.25] ; [2.25 9.75],0
p4,1,0.886003,0.020553,[234 107] ; [8 4],[233.7733711 107.2266289] ; [8.2266289 3.7733711],0
p2,1,0.893351,0.017973,[289  52] ; [10  2],[288.83569405  52.16430595] ; [10.16430595  1.83569405],0
a6,1,0.911014,0.01249,[222 119] ; [8 4],[222.18130312 118.81869688] ; [7.81869688 4.18130312],0
s3,1,0.95873,0.002678,[252  87] ; [9 3],[252.07692308  86.92307692] ; [8.92307692 3.07692308],0
p5,1,0.970988,0.001323,[ 55 283] ; [ 2 10],[ 55.04571429 282.95428571] ; [ 1.95428571 10.04571429],0
