Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,2.5e-05,17.802198,[30 40] ; [51 14],[42. 28.] ; [39. 26.],1
a3,1,0.000613,11.735477,[61  9] ; [42 26],[52.24637681 17.75362319] ; [50.75362319 17.24637681],1
p4,1,0.001172,10.533833,[27 43] ; [45 23],[36.52173913 33.47826087] ; [35.47826087 32.52173913],0
p3,1,0.002634,9.045334,[21 48] ; [38 30],[29.71532847 39.28467153] ; [29.28467153 38.71532847],0
a4,1,0.005733,7.6324,[39 31] ; [22 46],[30.94202899 39.05797101] ; [30.05797101 37.94202899],0
p6,1,0.005946,7.566695,[ 9 60] ; [22 45],[15.72794118 53.27205882] ; [15.27205882 51.72794118],0
p2,1,0.013636,6.084647,[43 27] ; [54 13],[49.5620438 20.4379562] ; [47.4379562 19.5620438],0
a2,1,0.019958,5.415548,[22 48] ; [10 58],[16.23188406 53.76811594] ; [15.76811594 52.23188406],0
b1,1,0.02113,5.316046,[34 36] ; [20 48],[27.39130435 42.60869565] ; [26.60869565 41.39130435],0
d2,1,0.025634,4.980507,[39 31] ; [25 43],[32.46376812 37.53623188] ; [31.53623188 36.46376812],0
v3,1,0.033035,4.543954,[13 53] ; [24 42],[18.5 47.5] ; [18.5 47.5],0
u2,1,0.041951,4.137199,[2 7] ; [16 10],[4.62857143 4.37142857] ; [13.37142857 12.62857143],0
r4,1,0.047724,3.919664,[54 16] ; [61  7],[58.33333333 11.66666667] ; [56.66666667 11.33333333],0
p12,1,0.047791,3.917312,[ 1 69] ; [ 6 62],[ 3.55072464 66.44927536] ; [ 3.44927536 64.55072464],0
p11,1,0.060209,3.531613,[42 28] ; [51 17],[47.17391304 22.82608696] ; [45.82608696 22.17391304],0
d3,1,0.071717,3.243275,[46 24] ; [54 14],[50.72463768 19.27536232] ; [49.27536232 18.72463768],0
p10,1,0.103817,2.645908,[47 23] ; [54 14],[51.23188406 18.76811594] ; [49.76811594 18.23188406],0
r1,1,0.133119,2.255747,[47 22] ; [54 14],[50.86861314 18.13138686] ; [50.13138686 17.86861314],0
s6,1,0.17071,1.876696,[41 28] ; [48 20],[44.82481752 24.17518248] ; [44.17518248 23.82481752],0
v2,1,0.285049,1.142857,[33 31] ; [39 25],[36. 28.] ; [36. 28.],0
p5,1,0.290401,1.11776,[ 3 66] ; [ 6 62],[ 4.53284672 64.46715328] ; [ 4.46715328 63.53284672],0
p9,1,0.316593,1.002971,[52 17] ; [56 12],[54.39416058 14.60583942] ; [53.60583942 14.39416058],0
s1,1,0.324376,0.971218,[ 3 67] ; [ 1 67],[ 2.02898551 67.97101449] ; [ 1.97101449 66.02898551],0
a8,1,0.329032,0.952703,[ 5 63] ; [ 2 57],[ 3.7480315 64.2519685] ; [ 3.2519685 55.7480315],0
s8,1,0.336253,0.924665,[21 48] ; [26 42],[23.67153285 45.32846715] ; [23.32846715 44.67153285],0
u1,1,0.344551,0.893424,[11 59] ; [ 7 61],[ 9.13043478 60.86956522] ; [ 8.86956522 59.13043478],0
s4,1,0.3668,0.814476,[19 51] ; [14 54],[16.73913043 53.26086957] ; [16.26086957 51.73913043],0
n2,1,0.392728,0.730479,[25 11] ; [16  4],[26.35714286  9.64285714] ; [14.64285714  5.35714286],0
a7,1,0.401745,0.703097,[48 22] ; [51 17],[50.2173913 19.7826087] ; [48.7826087 19.2173913],0
a1,1,0.424503,0.637815,[ 4 66] ; [ 2 66],[ 3.04347826 66.95652174] ; [ 2.95652174 65.04347826],0
n5,1,0.435933,0.606965,[22 47] ; [26 42],[24.17518248 44.82481752] ; [23.82481752 44.17518248],0
n6,1,0.465099,0.533596,[45 25] ; [47 20],[47.00729927 22.99270073] ; [44.99270073 22.00729927],0
b4,1,0.47567,0.508774,[38 32] ; [41 27],[40.07246377 29.92753623] ; [38.92753623 29.07246377],0
a6,1,0.500251,0.454404,[52 18] ; [47 21],[50.2173913 19.7826087] ; [48.7826087 19.2173913],0
s5,1,0.50179,0.451149,[21 47] ; [24 42],[22.8358209 45.1641791] ; [22.1641791 43.8358209],0
r3,1,0.542409,0.371092,[64  6] ; [64  4],[64.92753623  5.07246377] ; [63.07246377  4.92753623],0
v4,1,0.563283,0.334052,[62  7] ; [63  5],[62.95620438  6.04379562] ; [62.04379562  5.95620438],0
s3,1,0.603188,0.270214,[35 34] ; [31 36],[33.48529412 35.51470588] ; [32.51470588 34.48529412],0
b2,1,0.608737,0.262018,[13 25] ; [14 21],[14.05479452 23.94520548] ; [12.94520548 22.05479452],0
b3,1,0.608737,0.262018,[13 25] ; [14 21],[14.05479452 23.94520548] ; [12.94520548 22.05479452],0
d5,1,0.610546,0.259381,[57 13] ; [53 15],[55.79710145 14.20289855] ; [54.20289855 13.79710145],0
d4,1,0.695813,0.152865,[58 12] ; [58 10],[58.84057971 11.15942029] ; [57.15942029 10.84057971],0
b5,1,0.707007,0.141285,[40 30] ; [41 27],[41.08695652 28.91304348] ; [39.91304348 28.08695652],0
n1,1,0.73137,0.117857,[ 9 26] ; [ 6 14],[ 9.54545455 25.45454545] ; [ 5.45454545 14.54545455],0
v1,1,0.731489,0.117749,[34 36] ; [34 32],[35. 35.] ; [33. 33.],0
p1,1,0.799694,0.064386,[ 5 65] ; [ 4 62],[ 4.63235294 65.36764706] ; [ 4.36764706 61.63235294],0
s7,1,0.862412,0.030035,[22 42] ; [24 43],[22.47328244 41.52671756] ; [23.52671756 43.47328244],0
n3,1,0.873733,0.025255,[22 13] ; [13  7],[22.27272727 12.72727273] ; [12.72727273  7.27272727],0
d1,1,0.884727,0.021019,[41 29] ; [39 29],[40.57971014 29.42028986] ; [39.42028986 28.57971014],0
s2,1,0.938082,0.006034,[31 38] ; [31 37],[31.22627737 37.77372263] ; [30.77372263 37.22627737],0
r2,1,0.975215,0.000965,[61  8] ; [60  8],[60.94160584  8.05839416] ; [60.05839416  7.94160584],0
u3,1,0.981629,0.00053,[5 4] ; [14 11],[5.02941176 3.97058824] ; [13.97058824 11.02941176],0
u4,1,0.983526,0.000426,[ 1 69] ; [ 1 67],[ 1.01449275 68.98550725] ; [ 0.98550725 67.01449275],0
