Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,4e-06,21.424955,[10 13] ; [92 14],[18.18604651  4.81395349] ; [83.81395349 22.18604651],1
p9,1,1.5e-05,18.736614,[12 11] ; [95 11],[19.07751938  3.92248062] ; [87.92248062 18.07751938],1
s1,1,0.000128,14.670547,[ 5 18] ; [  2 105],[ 1.23846154 21.76153846] ; [  5.76153846 101.23846154],1
p7,1,0.00042,12.443044,[10 13] ; [85 22],[16.80769231  6.19230769] ; [78.19230769 28.80769231],1
p11,1,0.000724,11.426642,[12 11] ; [90 17],[18.04615385  4.95384615] ; [83.95384615 23.04615385],1
p8,1,0.001554,10.012904,[ 8 15] ; [74 32],[14.62015504  8.37984496] ; [67.37984496 38.62015504],0
d4,1,0.008204,6.988402,[14  9] ; [90 16],[18.54263566  4.45736434] ; [85.45736434 20.54263566],0
v4,1,0.008999,6.82302,[17  6] ; [99  8],[20.52307692  2.47692308] ; [95.47692308 11.52307692],0
n5,1,0.016039,5.798556,[13 10] ; [85 21],[17.47286822  5.52713178] ; [80.52713178 25.47286822],0
d5,1,0.034849,4.452582,[14  9] ; [86 20],[17.82945736  5.17054264] ; [82.17054264 23.82945736],0
a3,1,0.037172,4.342513,[13 10] ; [83 24],[16.98461538  6.01538462] ; [79.01538462 27.98461538],0
s7,1,0.042664,4.108655,[ 9 12] ; [69 35],[13.104  7.896] ; [64.896 39.104],0
n6,1,0.059809,3.542669,[16  7] ; [91 15],[19.07751938  3.92248062] ; [87.92248062 18.07751938],0
n4,1,0.059809,3.542669,[16  7] ; [91 15],[19.07751938  3.92248062] ; [87.92248062 18.07751938],0
p4,1,0.062203,3.477646,[13 10] ; [81 26],[16.63076923  6.36923077] ; [77.36923077 29.63076923],0
u2,1,0.08364,2.992708,[3 7] ; [15  9],[5.29411765 4.70588235] ; [12.70588235 11.29411765],0
r1,1,0.094997,2.787595,[14  9] ; [83 24],[17.16153846  5.83846154] ; [79.83846154 27.16153846],0
d1,1,0.139601,2.182353,[ 9 14] ; [60 47],[12.20769231 10.79230769] ; [56.79230769 50.20769231],0
v2,1,0.173259,1.854519,[ 9 14] ; [57 47],[11.95275591 11.04724409] ; [54.04724409 49.95275591],0
p5,1,0.183328,1.770436,[ 2 21] ; [22 85],[ 4.24615385 18.75384615] ; [19.75384615 87.24615385],0
v1,1,0.204429,1.610444,[ 9 13] ; [58 46],[11.6984127 10.3015873] ; [55.3015873 48.6984127],0
n2,1,0.214193,1.542857,[6 1] ; [12  8],[4.66666667 2.33333333] ; [13.33333333  6.66666667],0
n1,1,0.228421,1.450667,[5 2] ; [ 9 11],[3.62962963 3.37037037] ; [10.37037037  9.62962963],0
a5,1,0.252632,1.30869,[16  7] ; [86 21],[18.04615385  4.95384615] ; [83.95384615 23.04615385],0
s8,1,0.253921,1.301603,[11 12] ; [65 42],[13.44615385  9.55384615] ; [62.55384615 44.44615385],0
d3,1,0.260296,1.267185,[ 8 15] ; [51 56],[10.43846154 12.56153846] ; [48.56153846 58.43846154],0
s3,1,0.283362,1.150895,[12 11] ; [68 38],[14.26356589  8.73643411] ; [65.73643411 40.26356589],0
r3,1,0.288435,1.126913,[20  3] ; [100   7],[21.23076923  1.76923077] ; [98.76923077  8.23076923],0
u3,1,0.329131,0.952315,[6 4] ; [10 14],[4.70588235 5.29411765] ; [11.29411765 12.70588235],0
a8,1,0.368837,0.80758,[ 4 19] ; [11 92],[ 2.73809524 20.26190476] ; [12.26190476 90.73809524],0
p6,1,0.381231,0.766728,[ 8 15] ; [47 58],[ 9.8828125 13.1171875] ; [45.1171875 59.8828125],0
b1,1,0.409125,0.681341,[14  9] ; [55 52],[12.20769231 10.79230769] ; [56.79230769 50.20769231],0
b5,1,0.421517,0.646083,[12 11] ; [46 61],[10.26153846 12.73846154] ; [47.73846154 59.26153846],0
s2,1,0.47099,0.519653,[11 12] ; [60 47],[12.56153846 10.43846154] ; [58.43846154 48.56153846],0
s4,1,0.475147,0.509981,[ 7 16] ; [25 82],[ 5.66153846 17.33846154] ; [26.33846154 80.66153846],0
p1,1,0.498749,0.457598,[ 4 19] ; [13 94],[ 3.00769231 19.99230769] ; [13.99230769 93.00769231],0
u1,1,0.591764,0.287598,[ 1 22] ; [ 8 99],[ 1.59230769 21.40769231] ; [ 7.40769231 99.59230769],0
a1,1,0.591764,0.287598,[ 1 22] ; [ 8 99],[ 1.59230769 21.40769231] ; [ 7.40769231 99.59230769],0
v3,1,0.595688,0.281549,[ 9 13] ; [49 55],[10.12698413 11.87301587] ; [47.87301587 56.12698413],0
s5,1,0.606724,0.264973,[ 9 12] ; [50 52],[10.07317073 10.92682927] ; [48.92682927 53.07317073],0
a6,1,0.673538,0.177491,[ 9 14] ; [47 60],[ 9.90769231 13.09230769] ; [46.09230769 60.90769231],0
r4,1,0.677857,0.172549,[19  4] ; [92 15],[19.63846154  3.36153846] ; [91.36153846 15.63846154],0
r2,1,0.709423,0.138854,[20  3] ; [95 11],[20.50387597  2.49612403] ; [94.49612403 11.50387597],0
n3,1,0.756158,0.096429,[5 2] ; [13  7],[4.66666667 2.33333333] ; [13.33333333  6.66666667],0
b2,1,0.794118,0.068104,[8 9] ; [34 44],[7.51578947 9.48421053] ; [34.48421053 43.51578947],0
b3,1,0.794118,0.068104,[8 9] ; [34 44],[7.51578947 9.48421053] ; [34.48421053 43.51578947],0
d2,1,0.850088,0.035723,[12 10] ; [56 51],[11.59689922 10.40310078] ; [56.40310078 50.59689922],0
u4,1,0.890319,0.019017,[ 1 22] ; [  4 103],[ 0.88461538 22.11538462] ; [  4.11538462 102.88461538],0
a4,1,0.903751,0.014623,[10 13] ; [48 59],[10.26153846 12.73846154] ; [47.73846154 59.26153846],0
b4,1,0.923798,0.009149,[12 11] ; [57 50],[12.20769231 10.79230769] ; [56.79230769 50.20769231],0
s6,1,0.990036,0.000156,[17  6] ; [76 27],[16.97619048  6.02380952] ; [76.02380952 26.97619048],0
