Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,34.467116,[74 13] ; [113 119],[51. 36.] ; [136.  96.],1
s2,1,0.0,31.110171,[61 28] ; [ 79 153],[38.81619938 50.18380062] ; [101.18380062 130.81619938],1
s8,1,1e-05,19.592763,[49 39] ; [ 68 166],[31.97515528 56.02484472] ; [ 85.02484472 148.97515528],1
p12,1,4.7e-05,16.581873,[11 77] ; [  4 228],[ 4.125 83.875] ; [ 10.875 221.125],1
s7,1,0.000138,14.529426,[49 39] ; [ 72 151],[34.23794212 53.76205788] ; [ 86.76205788 136.23794212],1
s3,1,0.000224,13.620669,[59 28] ; [104 129],[44.315625 42.684375] ; [118.684375 114.315625],1
p5,1,0.000668,11.576218,[ 8 81] ; [  3 230],[ 3.04037267 85.95962733] ; [  7.95962733 225.04037267],1
s4,1,0.001134,10.594343,[23 64] ; [ 27 206],[13.59375 73.40625] ; [ 36.40625 196.59375],0
p1,1,0.007986,7.036501,[ 9 79] ; [  7 226],[ 4.38629283 83.61370717] ; [ 11.61370717 221.38629283],0
p10,1,0.009913,6.650485,[74 15] ; [159  72],[64.803125 24.196875] ; [168.196875  62.803125],0
b2,1,0.010215,6.596932,[26 28] ; [36 91],[18.49723757 35.50276243] ; [43.50276243 83.49723757],0
b3,1,0.010215,6.596932,[26 28] ; [36 91],[18.49723757 35.50276243] ; [43.50276243 83.49723757],0
p9,1,0.012206,6.28077,[75 10] ; [173  57],[66.92063492 18.07936508] ; [181.07936508  48.92063492],0
v1,1,0.014412,5.986975,[49 39] ; [ 93 137],[39.29559748 48.70440252] ; [102.70440252 127.29559748],0
d3,1,0.025035,5.021434,[45 44] ; [149  83],[53.78816199 35.21183801] ; [140.21183801  91.78816199],0
n1,1,0.025136,5.014469,[15 10] ; [21 41],[10.34482759 14.65517241] ; [25.65517241 36.34482759],0
p6,1,0.029935,4.713002,[22 65] ; [ 34 195],[15.41772152 71.58227848] ; [ 40.58227848 188.41772152],0
p3,1,0.058271,3.585927,[28 61] ; [ 50 184],[21.49226006 67.50773994] ; [ 56.50773994 177.49226006],0
n6,1,0.059414,3.553662,[77 11] ; [183  51],[71.05590062 16.94409938] ; [188.94409938  45.05590062],0
d2,1,0.072627,3.222626,[43 46] ; [ 87 146],[35.93167702 53.06832298] ; [ 94.06832298 138.93167702],0
a5,1,0.074406,3.183039,[66 23] ; [149  85],[59.24148607 29.75851393] ; [155.75851393  78.24148607],0
d4,1,0.102476,2.666581,[75 14] ; [176  56],[69.59190031 19.40809969] ; [181.40809969  50.59190031],0
p8,1,0.115823,2.472911,[37 49] ; [ 77 153],[31.02531646 54.97468354] ; [ 82.97468354 147.02531646],0
a3,1,0.140649,2.170846,[65 23] ; [152  81],[59.48909657 28.51090343] ; [157.51090343  75.48909657],0
u2,1,0.147723,2.095605,[ 9 15] ; [44 37],[12.11428571 11.88571429] ; [40.88571429 40.11428571],0
r3,1,0.152121,2.050857,[85  4] ; [229   4],[86.78881988  2.21118012] ; [227.21118012   5.78881988],0
b5,1,0.155935,2.013206,[51 38] ; [154  80],[56.48606811 32.51393189] ; [148.51393189  85.48606811],0
n2,1,0.168367,1.897424,[22  3] ; [47 16],[19.60227273  5.39772727] ; [49.39772727 13.60227273],0
p7,1,0.208707,1.580372,[48 36] ; [112 116],[43.07692308 40.92307692] ; [116.92307692 111.07692308],0
a6,1,0.215478,1.534237,[54 34] ; [160  73],[58.66666667 29.33333333] ; [155.33333333  77.66666667],0
a7,1,0.240311,1.378768,[57 32] ; [165  68],[61.36024845 27.63975155] ; [160.63975155  72.36024845],0
u1,1,0.247926,1.334952,[15 74] ; [ 28 206],[11.84829721 77.15170279] ; [ 31.15170279 202.84829721],0
a1,1,0.250039,1.323084,[ 4 85] ; [  5 229],[ 2.47987616 86.52012384] ; [  6.52012384 227.47987616],0
a2,1,0.356415,0.850484,[20 69] ; [ 42 192],[17.08359133 71.91640867] ; [ 44.91640867 189.08359133],0
s1,1,0.386024,0.751431,[ 4 85] ; [  6 224],[ 2.78996865 86.21003135] ; [  7.21003135 222.78996865],0
v2,1,0.395864,0.720855,[46 38] ; [109 112],[42.68852459 41.31147541] ; [112.31147541 108.68852459],0
r2,1,0.424429,0.63802,[88  1] ; [227   6],[87.06521739  1.93478261] ; [227.93478261   5.06521739],0
u3,1,0.443166,0.588071,[15  9] ; [44 38],[13.35849057 10.64150943] ; [45.64150943 36.35849057],0
n5,1,0.477793,0.503897,[60 28] ; [149  84],[57.29595016 30.70404984] ; [151.70404984  81.29595016],0
a8,1,0.503457,0.447641,[13 65] ; [ 30 191],[11.2173913 66.7826087] ; [ 31.7826087 189.2173913],0
n3,1,0.510944,0.432134,[20  6] ; [42 18],[18.74418605  7.25581395] ; [43.25581395 16.74418605],0
p11,1,0.572411,0.318665,[65 24] ; [178  56],[66.95665635 22.04334365] ; [176.04334365  57.95665635],0
v3,1,0.659587,0.194026,[28 59] ; [ 78 146],[29.65273312 57.34726688] ; [ 76.34726688 147.65273312],0
r1,1,0.679338,0.170872,[75 14] ; [191  41],[73.75077882 15.24922118] ; [192.24922118  39.75077882],0
d5,1,0.693672,0.155139,[69 20] ; [175  57],[67.65109034 21.34890966] ; [176.34890966  55.65109034],0
b1,1,0.700722,0.147721,[34 55] ; [ 84 150],[32.51393189 56.48606811] ; [ 85.48606811 148.51393189],0
u4,1,0.703181,0.145184,[ 1 88] ; [  4 230],[ 1.37770898 87.62229102] ; [  3.62229102 230.37770898],0
a4,1,0.710759,0.137521,[36 53] ; [ 89 144],[34.54968944 54.45031056] ; [ 90.45031056 142.54968944],0
p2,1,0.784926,0.074477,[66 23] ; [170  64],[65.02786378 23.97213622] ; [170.97213622  63.02786378],0
b4,1,0.796416,0.066558,[52 37] ; [133 101],[50.9752322 38.0247678] ; [134.0247678  99.9752322],0
d1,1,0.907893,0.013386,[44 45] ; [114 120],[43.53560372 45.46439628] ; [114.46439628 119.53560372],0
n4,1,0.968121,0.001597,[60 28] ; [159  75],[59.85093168 28.14906832] ; [159.14906832  74.85093168],0
v4,1,0.972747,0.001167,[86  3] ; [224   8],[85.95015576  3.04984424] ; [224.04984424   7.95015576],0
