Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,117.229383,[304 155] ; [ 43 163],[239.50827068 219.49172932] ; [107.49172932  98.50827068],1
s3,1,0.0,108.823798,[322 132] ; [ 56 148],[260.80851064 193.19148936] ; [117.19148936  86.80851064],1
s7,1,0.0,76.997217,[290 155] ; [ 53 140],[239.23981191 205.76018809] ; [103.76018809  89.23981191],1
s8,1,0.0,68.487617,[268 192] ; [ 49 158],[218.62068966 241.37931034] ; [ 98.37931034 108.62068966],1
s5,1,0.0,50.414941,[193 254] ; [ 29 171],[153.3755796 293.6244204] ; [ 68.6244204 131.3755796],1
p9,1,2e-05,18.230749,[408  49] ; [157  48],[390.03776435  66.96223565] ; [174.96223565  30.03776435],1
p4,1,3e-05,17.447368,[312 147] ; [104 100],[288. 171.] ; [128.  76.],1
s4,1,5.1e-05,16.418296,[ 83 372] ; [ 13 194],[ 65.98187311 389.01812689] ; [ 30.01812689 176.98187311],1
p5,1,7e-05,15.819804,[ 73 385] ; [ 10 195],[ 57.33634992 400.66365008] ; [ 25.66365008 179.33634992],1
p12,1,0.000257,13.358955,[ 54 405] ; [  6 198],[ 41.53846154 417.46153846] ; [ 18.46153846 185.53846154],1
n5,1,0.000736,11.396703,[411  51] ; [163  43],[396.98802395  65.01197605] ; [177.01197605  28.98802395],1
p10,1,0.001239,10.431084,[392  64] ; [156  50],[377.47432024  78.52567976] ; [170.52567976  35.47432024],0
u1,1,0.002169,9.400461,[108 355] ; [ 27 180],[ 93.29104478 369.70895522] ; [ 41.70895522 165.29104478],0
p6,1,0.003146,8.720729,[199 256] ; [ 64 139],[181.86170213 273.13829787] ; [ 81.13829787 121.86170213],0
r4,1,0.004432,8.097853,[438  25] ; [183  24],[429.13880597  33.86119403] ; [191.86119403  15.13880597],0
u3,1,0.01071,6.51283,[73 42] ; [26 34],[65.05714286 49.94285714] ; [33.94285714 26.05714286],0
v1,1,0.010842,6.49099,[268 181] ; [100 104],[253.03522205 195.96477795] ; [114.96477795  89.03522205],0
r1,1,0.012691,6.21167,[395  67] ; [160  46],[383.84730539  78.15269461] ; [171.15269461  34.84730539],0
s1,1,0.014601,5.964026,[ 22 433] ; [  2 202],[ 16.57056146 438.42943854] ; [  7.42943854 196.57056146],0
n6,1,0.019742,5.434552,[419  43] ; [175  32],[410.20627803  51.79372197] ; [183.79372197  23.20627803],0
u2,1,0.025245,5.006989,[73 42] ; [27 32],[66.09195402 48.90804598] ; [33.90804598 25.09195402],0
u4,1,0.030814,4.663279,[ 15 448] ; [  1 206],[ 11.05671642 451.94328358] ; [  4.94328358 202.05671642],0
d5,1,0.04689,3.949342,[389  71] ; [162  45],[380.  80.] ; [171.  36.],0
