Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.003406,8.575858,[ 5 16] ; [27 16],[10.5 10.5] ; [21.5 21.5],0
p9,1,0.010947,6.473955,[15 34] ; [64 59],[22.50581395 26.49418605] ; [56.49418605 66.50581395],0
s5,1,0.018235,5.573425,[ 7 41] ; [40 83],[13.19298246 34.80701754] ; [33.80701754 89.19298246],0
s6,1,0.027554,4.855757,[20 30] ; [73 52],[26.57142857 23.42857143] ; [66.42857143 58.57142857],0
s8,1,0.029272,4.751542,[ 8 42] ; [41 86],[13.84180791 36.15819209] ; [35.15819209 91.84180791],0
p8,1,0.0502,3.834775,[18 31] ; [28 98],[12.88 36.12] ; [33.12 92.88],0
s7,1,0.053275,3.735276,[14 35] ; [51 63],[19.5398773 29.4601227] ; [45.4601227 68.5398773],0
a6,1,0.066578,3.36544,[33 17] ; [65 63],[27.52808989 22.47191011] ; [70.47191011 57.52808989],0
n4,1,0.101615,2.680012,[24 24] ; [82 47],[28.74576271 19.25423729] ; [77.25423729 51.74576271],0
n5,1,0.159918,1.974997,[24 24] ; [79 49],[28.09090909 19.90909091] ; [74.90909091 53.09090909],0
s2,1,0.169518,1.887203,[17 33] ; [58 70],[21.06741573 28.93258427] ; [53.93258427 74.06741573],0
d5,1,0.185302,1.75458,[32 18] ; [94 33],[35.59322034 14.40677966] ; [90.40677966 36.59322034],0
d3,1,0.240245,1.379156,[33 17] ; [71 55],[29.54545455 20.45454545] ; [74.45454545 51.54545455],0
u2,1,0.267236,1.230882,[ 7 13] ; [21 21],[ 9.03225806 10.96774194] ; [18.96774194 23.03225806],0
b3,1,0.302844,1.061627,[11 17] ; [20 50],[ 8.85714286 19.14285714] ; [22.14285714 47.85714286],0
b2,1,0.302844,1.061627,[11 17] ; [20 50],[ 8.85714286 19.14285714] ; [22.14285714 47.85714286],0
p7,1,0.307434,1.041667,[18 31] ; [57 69],[21. 28.] ; [54. 72.],0
s4,1,0.330055,0.948682,[ 7 43] ; [ 26 102],[ 9.26966292 40.73033708] ; [ 23.73033708 104.26966292],0
n6,1,0.332851,0.937773,[26 22] ; [79 48],[28.8 19.2] ; [76.2 50.8],0
p2,1,0.341807,0.903643,[26 24] ; [76 51],[28.81355932 21.18644068] ; [73.18644068 53.81355932],0
p6,1,0.342794,0.899955,[ 9 39] ; [32 93],[11.37572254 36.62427746] ; [29.62427746 95.37572254],0
n3,1,0.349763,0.874316,[11 10] ; [34 19],[12.77027027  8.22972973] ; [32.22972973 20.77027027],0
p3,1,0.358088,0.844589,[16 33] ; [51 76],[18.65340909 30.34659091] ; [48.34659091 78.65340909],0
b4,1,0.426813,0.631481,[25 25] ; [73 56],[27.37430168 22.62569832] ; [70.62569832 58.37430168],0
a7,1,0.430113,0.622519,[33 16] ; [78 50],[30.72881356 18.27118644] ; [80.27118644 47.72881356],0
d2,1,0.474613,0.511217,[23 27] ; [66 61],[25.14124294 24.85875706] ; [63.85875706 63.14124294],0
s1,1,0.493298,0.469325,[ 5 44] ; [  9 118],[ 3.89772727 45.10227273] ; [ 10.10227273 116.89772727],0
u1,1,0.526296,0.401538,[ 8 42] ; [ 16 113],[ 6.70391061 43.29608939] ; [ 17.29608939 111.70391061],0
a4,1,0.549007,0.3591,[19 30] ; [56 72],[20.76271186 28.23728814] ; [54.23728814 73.76271186],0
d4,1,0.556985,0.344951,[34 16] ; [92 35],[35.59322034 14.40677966] ; [90.40677966 36.59322034],0
v2,1,0.571616,0.319986,[20 28] ; [47 80],[18.37714286 29.62285714] ; [48.62285714 78.37714286],0
a2,1,0.572473,0.318562,[12 38] ; [ 26 103],[10.61452514 39.38547486] ; [ 27.38547486 101.61452514],0
