Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a8,1,3e-06,21.969489,[  4 102] ; [5 7],[ 8.08474576 97.91525424] ; [ 0.91525424 11.08474576],1
s7,1,0.001584,9.977927,[15 87] ; [7 7],[19.34482759 82.65517241] ; [ 2.65517241 11.34482759],0
p5,1,0.013419,6.11295,[  2 107] ; [ 2 12],[  3.54471545 105.45528455] ; [ 0.45528455 13.54471545],0
u1,1,0.014766,5.944217,[  5 106] ; [ 3 11],[  7.104 103.896] ; [ 0.896 13.104],0
v1,1,0.020349,5.381686,[29 79] ; [8 6],[32.75409836 75.24590164] ; [4.24590164 9.75409836],0
a7,1,0.037544,4.32556,[72 38] ; [13  1],[75.40322581 34.59677419] ; [9.59677419 4.40322581],0
v3,1,0.038314,4.291033,[21 82] ; [6 7],[23.97413793 79.02586207] ; [3.02586207 9.97413793],0
v2,1,0.064127,3.427284,[46 63] ; [9 4],[49.13934426 59.86065574] ; [5.86065574 7.13934426],0
a3,1,0.069064,3.305126,[67 43] ; [12  2],[70.08064516 39.91935484] ; [8.91935484 5.08064516],0
p9,1,0.077369,3.119312,[58 50] ; [11  3],[61.08196721 46.91803279] ; [7.91803279 6.08196721],0
b1,1,0.104172,2.640476,[49 62] ; [ 3 11],[46.176 64.824] ; [5.824 8.176],0
p7,1,0.111151,2.537777,[50 59] ; [9 4],[52.71311475 56.28688525] ; [6.28688525 6.71311475],0
p4,1,0.159942,1.974771,[34 75] ; [7 7],[36.33333333 72.66666667] ; [4.66666667 9.33333333],0
s2,1,0.173331,1.853895,[16 95] ; [ 4 10],[17.76 93.24] ; [ 2.24 11.76],0
n6,1,0.195053,1.67903,[59 52] ; [10  4],[61.272 49.728] ; [7.728 6.272],0
a1,1,0.218525,1.514029,[  2 109] ; [ 1 13],[  2.664 108.336] ; [ 0.336 13.664],0
d3,1,0.219498,1.507651,[68 42] ; [11  3],[70.08064516 39.91935484] ; [8.91935484 5.08064516],0
r4,1,0.22521,1.470859,[78 33] ; [12  2],[79.92 31.08] ; [10.08  3.92],0
p11,1,0.228063,1.452904,[69 42] ; [11  3],[71.04 39.96] ; [8.96 5.04],0
p3,1,0.235196,1.409161,[30 79] ; [6 8],[31.90243902 77.09756098] ; [4.09756098 9.90243902],0
b4,1,0.236204,1.403105,[66 45] ; [6 8],[63.936 47.064] ; [8.064 5.936],0
p6,1,0.260366,1.266811,[19 88] ; [4 9],[20.50833333 86.49166667] ; [ 2.49166667 10.50833333],0
b5,1,0.323169,0.976078,[64 47] ; [10  4],[65.712 45.288] ; [8.288 5.712],0
d5,1,0.329149,0.952243,[77 33] ; [8 6],[75.40322581 34.59677419] ; [9.59677419 4.40322581],0
r1,1,0.436462,0.605566,[75 36] ; [8 6],[73.704 37.296] ; [9.296 4.704],0
r2,1,0.44182,0.59155,[93 16] ; [13  1],[93.93495935 15.06504065] ; [12.06504065  1.93495935],0
n4,1,0.498609,0.457897,[45 66] ; [7 7],[46.176 64.824] ; [5.824 8.176],0
r3,1,0.501365,0.452046,[96 15] ; [13  1],[96.792 14.208] ; [12.208  1.792],0
a6,1,0.507474,0.439273,[61 50] ; [9 5],[62.16 48.84] ; [7.84 6.16],0
d1,1,0.507474,0.439273,[50 61] ; [5 9],[48.84 62.16] ; [6.16 7.84],0
p10,1,0.526479,0.401183,[52 56] ; [8 6],[53.1147541 54.8852459] ; [6.8852459 7.1147541],0
s4,1,0.527675,0.398866,[ 10 101] ; [ 2 12],[ 10.656 100.344] ; [ 1.344 12.656],0
b3,1,0.528265,0.397727,[18 42] ; [4 6],[18.85714286 41.14285714] ; [3.14285714 6.85714286],0
b2,1,0.528265,0.397727,[18 42] ; [4 6],[18.85714286 41.14285714] ; [3.14285714 6.85714286],0
d2,1,0.581575,0.303695,[40 71] ; [ 4 10],[39.072 71.928] ; [4.928 9.072],0
p8,1,0.640298,0.218353,[38 71] ; [ 4 10],[37.2195122 71.7804878] ; [4.7804878 9.2195122],0
s5,1,0.649039,0.207114,[12 96] ; [ 2 11],[12.49586777 95.50413223] ; [ 1.50413223 11.49586777],0
a4,1,0.698846,0.149675,[34 77] ; [5 9],[34.632 76.368] ; [4.368 9.632],0
s3,1,0.772735,0.083405,[27 81] ; [ 4 10],[27.44262295 80.55737705] ; [ 3.55737705 10.44262295],0
a2,1,0.816334,0.053946,[ 10 101] ; [ 1 13],[  9.768 101.232] ; [ 1.232 12.768],0
d4,1,0.86766,0.027766,[85 26] ; [11  3],[85.248 25.752] ; [10.752  3.248],0
s1,1,0.904077,0.014523,[  7 104] ; [ 1 13],[  7.104 103.896] ; [ 0.896 13.104],0
a5,1,0.974659,0.001009,[56 55] ; [7 7],[55.944 55.056] ; [7.056 6.944],0
