Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,34.451772,[92 15] ; [ 6 16],[81.28682171 25.71317829] ; [16.71317829  5.28682171],1
v4,1,3e-06,21.63035,[99  6] ; [13  9],[92.5984252 12.4015748] ; [19.4015748  2.5984252],1
r3,1,0.007925,7.050237,[96 11] ; [15  7],[92.06976744 14.93023256] ; [18.93023256  3.06976744],0
b1,1,0.014322,5.997982,[38 69] ; [14  8],[43.13178295 63.86821705] ; [ 8.86821705 13.13178295],0
u3,1,0.01676,5.721327,[32 13] ; [5 9],[28.22033898 16.77966102] ; [8.77966102 5.22033898],0
r1,1,0.025115,5.015923,[71 36] ; [ 9 13],[66.35658915 40.64341085] ; [13.64341085  8.35658915],0
d5,1,0.036341,4.381029,[73 33] ; [10 12],[68.734375 37.265625] ; [14.265625  7.734375],0
s4,1,0.045074,4.015874,[25 82] ; [ 1 21],[21.56589147 85.43410853] ; [ 4.43410853 17.56589147],0
s3,1,0.048409,3.895741,[50 56] ; [ 5 16],[45.90551181 60.09448819] ; [ 9.09448819 11.90551181],0
a3,1,0.069691,3.29029,[61 45] ; [ 8 14],[57.140625 48.859375] ; [11.859375 10.140625],0
p11,1,0.078866,3.088111,[70 37] ; [10 12],[66.35658915 40.64341085] ; [13.64341085  8.35658915],0
d2,1,0.083596,2.993564,[40 67] ; [ 4 18],[36.49612403 70.50387597] ; [ 7.50387597 14.49612403],0
a5,1,0.091697,2.844333,[60 47] ; [ 8 14],[56.40310078 50.59689922] ; [11.59689922 10.40310078],0
d1,1,0.105456,2.621036,[44 63] ; [ 5 17],[40.64341085 66.35658915] ; [ 8.35658915 13.64341085],0
a7,1,0.114213,2.494932,[76 30] ; [12 10],[72.875 33.125] ; [15.125  6.875],0
p9,1,0.116182,2.468051,[71 34] ; [11 11],[67.79527559 37.20472441] ; [14.20472441  7.79527559],0
p5,1,0.167805,1.902445,[  3 103] ; [ 2 20],[  4.140625 101.859375] ; [ 0.859375 21.140625],0
p6,1,0.195756,1.673755,[28 77] ; [ 3 19],[25.62992126 79.37007874] ; [ 5.37007874 16.62992126],0
p12,1,0.215083,1.536878,[  1 105] ; [ 1 21],[  1.65625 104.34375] ; [ 0.34375 21.65625],0
s6,1,0.228322,1.451287,[53 52] ; [ 8 14],[50.43307087 54.56692913] ; [10.56692913 11.43307087],0
n6,1,0.247283,1.338587,[63 44] ; [10 12],[60.5503876 46.4496124] ; [12.4496124  9.5503876],0
n2,1,0.268948,1.222104,[22 12] ; [4 5],[20.55813953 13.44186047] ; [5.44186047 3.55813953],0
s2,1,0.276221,1.185592,[42 64] ; [ 6 16],[39.75 66.25] ; [ 8.25 13.75],0
a1,1,0.277585,1.178876,[  4 103] ; [ 2 20],[  4.97674419 102.02325581] ; [ 1.02325581 20.97674419],0
a4,1,0.279934,1.167409,[37 70] ; [ 5 17],[34.8372093 72.1627907] ; [ 7.1627907 14.8372093],0
p3,1,0.289731,1.12087,[42 65] ; [ 6 16],[39.81395349 67.18604651] ; [ 8.18604651 13.81395349],0
a6,1,0.29077,1.116053,[57 50] ; [ 9 13],[54.74418605 52.25581395] ; [11.25581395 10.74418605],0
p10,1,0.300339,1.072688,[65 40] ; [11 11],[62.83464567 42.16535433] ; [13.16535433  8.83464567],0
b4,1,0.332012,0.941034,[61 46] ; [15  7],[63.03875969 43.96124031] ; [12.96124031  9.03875969],0
a2,1,0.343927,0.895738,[12 95] ; [ 1 21],[10.78294574 96.21705426] ; [ 2.21705426 19.78294574],0
n4,1,0.367229,0.81302,[40 67] ; [ 6 16],[38.15503876 68.84496124] ; [ 7.84496124 14.15503876],0
p8,1,0.416312,0.660704,[44 63] ; [ 7 15],[42.30232558 64.69767442] ; [ 8.69767442 13.30232558],0
