Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,27.625597,[66 12] ; [95 95],[46.85820896 31.14179104] ; [114.14179104  75.85820896],1
s2,1,1e-06,23.273226,[47 33] ; [ 53 138],[29.5202952 50.4797048] ; [ 70.4797048 120.5202952],1
p5,1,4.1e-05,16.83652,[19 61] ; [ 12 178],[ 9.18518519 70.81481481] ; [ 21.81481481 168.18518519],1
s4,1,0.000444,12.337313,[21 57] ; [ 19 170],[11.68539326 66.31460674] ; [ 28.31460674 160.68539326],1
s7,1,0.002947,8.84007,[35 40] ; [ 50 132],[24.80544747 50.19455253] ; [ 60.19455253 121.80544747],0
b5,1,0.003532,8.50983,[34 46] ; [118  73],[44.87084871 35.12915129] ; [107.12915129  83.87084871],0
p3,1,0.003637,8.456641,[62 18] ; [112  78],[51.55555556 28.44444444] ; [122.44444444  67.55555556],0
s3,1,0.004847,7.935651,[44 35] ; [ 70 119],[33.60447761 45.39552239] ; [ 80.39552239 108.60447761],0
p6,1,0.005499,7.70755,[42 37] ; [ 66 123],[31.8358209 47.1641791] ; [ 76.1641791 112.8358209],0
a7,1,0.008073,7.017269,[53 27] ; [155  36],[61.40221402 18.59778598] ; [146.59778598  44.40221402],0
a6,1,0.02252,5.205126,[46 34] ; [137  54],[54.02214022 25.97785978] ; [128.97785978  62.02214022],0
p12,1,0.028759,4.781963,[ 9 71] ; [  8 183],[ 5.01845018 74.98154982] ; [ 11.98154982 179.01845018],0
b4,1,0.029216,4.754816,[55 25] ; [104  87],[46.93726937 33.06273063] ; [112.06273063  78.93726937],0
p1,1,0.098559,2.728711,[11 69] ; [ 14 176],[ 7.40740741 72.59259259] ; [ 17.59259259 172.40740741],0
d4,1,0.099493,2.713649,[69 11] ; [148  43],[64.05904059 15.94095941] ; [152.94095941  38.05904059],0
r4,1,0.12757,2.321833,[74  6] ; [164  27],[70.25830258  9.74169742] ; [167.74169742  23.25830258],0
n2,1,0.165205,1.925926,[14  2] ; [25 11],[12.  4.] ; [27.  9.],0
n6,1,0.167971,1.900956,[71  9] ; [155  34],[67.21189591 12.78810409] ; [158.78810409  30.21189591],0
p10,1,0.176445,1.827316,[68 12] ; [147  42],[63.94052045 16.05947955] ; [151.05947955  37.94052045],0
a1,1,0.177809,1.815842,[ 6 74] ; [  7 184],[ 3.83763838 76.16236162] ; [  9.16236162 181.83763838],0
b1,1,0.196665,1.666971,[28 52] ; [ 83 108],[32.76752768 47.23247232] ; [ 78.23247232 112.76752768],0
d1,1,0.206117,1.598492,[49 31] ; [101  90],[44.2804428 35.7195572] ; [105.7195572  85.2804428],0
d2,1,0.227594,1.455833,[39 40] ; [ 79 112],[34.52592593 44.47407407] ; [ 83.47407407 107.52592593],0
v1,1,0.25001,1.32325,[37 42] ; [102  85],[41.28195489 37.71804511] ; [97.71804511 89.28195489],0
s1,1,0.316465,1.003502,[ 4 75] ; [  5 184],[ 2.65298507 76.34701493] ; [  6.34701493 182.65298507],0
p9,1,0.317955,0.99734,[67 12] ; [152  39],[64.07777778 14.92222222] ; [154.92222222  36.07777778],0
a8,1,0.319413,0.991347,[ 5 70] ; [ 18 150],[ 7.09876543 67.90123457] ; [ 15.90123457 152.09876543],0
a3,1,0.337543,0.919741,[55 25] ; [119  71],[51.55555556 28.44444444] ; [122.44444444  67.55555556],0
n3,1,0.376902,0.780781,[10  5] ; [29  8],[11.25  3.75] ; [27.75  9.25],0
u1,1,0.410536,0.677247,[14 66] ; [ 26 165],[11.80811808 68.19188192] ; [ 28.19188192 162.80811808],0
u3,1,0.439223,0.59831,[16  9] ; [38 31],[14.36170213 10.63829787] ; [39.63829787 29.36170213],0
d5,1,0.449122,0.572868,[68 12] ; [155  36],[65.8302583 14.1697417] ; [157.1697417  33.8302583],0
u2,1,0.51756,0.418753,[14 10] ; [36 35],[12.63157895 11.36842105] ; [37.36842105 33.63157895],0
n1,1,0.521801,0.410332,[ 5 11] ; [15 22],[6.03773585 9.96226415] ; [13.96226415 23.03773585],0
d3,1,0.524074,0.405868,[60 20] ; [136  55],[57.8597786 22.1402214] ; [138.1402214  52.8597786],0
a4,1,0.526766,0.400627,[40 40] ; [ 87 103],[37.62962963 42.37037037] ; [ 89.37037037 100.62962963],0
n4,1,0.552806,0.352314,[63 17] ; [144  47],[61.10701107 18.89298893] ; [145.89298893  45.10701107],0
a5,1,0.581292,0.30415,[60 20] ; [137  54],[58.15498155 21.84501845] ; [138.84501845  52.15498155],0
r3,1,0.591653,0.28777,[75  4] ; [178  13],[74.02592593  4.97407407] ; [178.97407407  12.02592593],0
r2,1,0.594538,0.283313,[74  6] ; [171  18],[72.86245353  7.13754647] ; [172.13754647  16.86245353],0
a2,1,0.62906,0.233338,[18 62] ; [ 38 153],[16.53136531 63.46863469] ; [ 39.46863469 151.53136531],0
p7,1,0.643224,0.214551,[57 22] ; [131  58],[55.41791045 23.58208955] ; [132.58208955  56.41791045],0
r1,1,0.650317,0.205501,[62 17] ; [145  46],[60.56666667 18.43333333] ; [146.43333333  44.56666667],0
b2,1,0.662357,0.190673,[15 31] ; [32 78],[13.85897436 32.14102564] ; [33.14102564 76.85897436],0
b3,1,0.662357,0.190673,[15 31] ; [32 78],[13.85897436 32.14102564] ; [33.14102564 76.85897436],0
p2,1,0.744349,0.106341,[70 10] ; [168  21],[70.78066914  9.21933086] ; [167.21933086  21.78066914],0
v4,1,0.750816,0.100846,[75  5] ; [177  14],[74.39114391  5.60885609] ; [177.60885609  13.39114391],0
v2,1,0.7891,0.071546,[43 36] ; [104  81],[43.98863636 35.01136364] ; [103.01136364  81.98863636],0
v3,1,0.850758,0.035401,[28 51] ; [ 63 121],[27.33460076 51.66539924] ; [ 63.66539924 120.33460076],0
p8,1,0.899942,0.015809,[47 33] ; [112  76],[47.46268657 32.53731343] ; [111.53731343  76.46268657],0
p11,1,0.937671,0.006115,[64 16] ; [152  39],[63.76383764 16.23616236] ; [152.23616236  38.76383764],0
n5,1,0.981706,0.000526,[60 20] ; [142  47],[60.07434944 19.92565056] ; [141.92565056  47.07434944],0
