Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s1,1,0.063499,3.443547,[1 2] ; [ 3 52],[0.20689655 2.79310345] ; [ 3.79310345 51.20689655],0
s8,1,0.107967,2.583732,[2 1] ; [14 43],[0.8 2.2] ; [15.2 41.8],0
v3,1,0.11989,2.418759,[2 1] ; [14 41],[0.82758621 2.17241379] ; [15.17241379 39.82758621],0
d3,1,0.19878,1.651315,[2 1] ; [17 38],[0.98275862 2.01724138] ; [18.01724138 36.98275862],0
s7,1,0.218299,1.515518,[2 1] ; [17 36],[1.01785714 1.98214286] ; [17.98214286 35.01785714],0
s2,1,0.238078,1.391941,[2 1] ; [19 38],[1.05 1.95] ; [19.95 37.05],0
v1,1,0.268602,1.223873,[2 1] ; [20 37],[1.1 1.9] ; [20.9 36.1],0
p1,1,0.295782,1.093117,[1 2] ; [ 7 50],[0.4 2.6] ; [ 7.6 49.4],0
s5,1,0.371347,0.799153,[1 2] ; [ 8 48],[0.45762712 2.54237288] ; [ 8.54237288 47.45762712],0
b1,1,0.402728,0.700167,[1 2] ; [33 24],[1.7 1.3] ; [32.3 24.7],0
a7,1,0.434757,0.610082,[1 2] ; [31 24],[1.65517241 1.34482759] ; [30.34482759 24.65517241],0
r2,1,0.437528,0.602758,[2 1] ; [47  9],[2.49152542 0.50847458] ; [46.50847458  9.49152542],0
p7,1,0.455691,0.556458,[2 1] ; [25 31],[1.37288136 1.62711864] ; [25.62711864 30.37288136],0
b5,1,0.476215,0.507519,[1 2] ; [31 26],[1.6 1.4] ; [30.4 26.6],0
p9,1,0.532308,0.389984,[1 2] ; [28 26],[1.52631579 1.47368421] ; [27.47368421 26.52631579],0
p6,1,0.688144,0.161102,[1 2] ; [13 43],[0.71186441 2.28813559] ; [13.28813559 42.71186441],0
p2,1,0.719886,0.128602,[2 1] ; [32 25],[1.7 1.3] ; [32.3 24.7],0
p3,1,0.732356,0.116959,[1 2] ; [14 43],[0.75 2.25] ; [14.25 42.75],0
p8,1,0.788776,0.07177,[1 2] ; [15 42],[0.8 2.2] ; [15.2 41.8],0
d5,1,0.790384,0.070656,[1 2] ; [23 33],[1.22033898 1.77966102] ; [22.77966102 33.22033898],0
p10,1,0.799078,0.064791,[1 2] ; [22 32],[1.21052632 1.78947368] ; [21.78947368 32.21052632],0
u3,1,0.805293,0.060764,[1 2] ; [13 19],[1.2 1.8] ; [12.8 19.2],0
b4,1,0.808915,0.05848,[1 2] ; [23 34],[1.2 1.8] ; [22.8 34.2],0
v2,1,0.819093,0.052309,[1 2] ; [15 40],[0.82758621 2.17241379] ; [15.17241379 39.82758621],0
u2,1,0.848572,0.036458,[1 2] ; [ 9 23],[0.85714286 2.14285714] ; [ 9.14285714 22.85714286],0
