Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,1.1e-05,19.299483,[137  12] ; [26 14],[128.5026455  20.4973545] ; [34.4973545  5.5026455],1
p9,1,0.000401,12.526779,[139  12] ; [27 11],[132.62433862  18.37566138] ; [33.37566138  4.62433862],1
v4,1,0.000748,11.365173,[151   2] ; [35  5],[147.4507772   5.5492228] ; [38.5492228  1.4507772],1
n6,1,0.002134,9.430198,[142  10] ; [30  9],[136.87958115  15.12041885] ; [35.12041885  3.87958115],0
p7,1,0.002163,9.405773,[111  36] ; [19 19],[103.2972973  43.7027027] ; [26.7027027 11.2972973],0
n5,1,0.002913,8.860938,[136  17] ; [28 12],[130.01036269  22.98963731] ; [33.98963731  6.01036269],0
p10,1,0.003247,8.663271,[140  13] ; [29 10],[134.671875  18.328125] ; [34.328125  4.671875],0
p2,1,0.010483,6.550849,[135  18] ; [28 11],[129.890625  23.109375] ; [33.109375  5.890625],0
p8,1,0.015212,5.891697,[98 53] ; [17 22],[91.39473684 59.60526316] ; [23.60526316 15.39473684],0
u3,1,0.031238,4.639812,[24  6] ; [5 6],[21.2195122  8.7804878] ; [7.7804878 3.2195122],0
n4,1,0.041676,4.148317,[138  16] ; [31  9],[134.15463918  19.84536082] ; [34.84536082  5.15463918],0
p5,1,0.056228,3.645285,[ 32 121] ; [ 3 36],[ 27.890625 125.109375] ; [ 7.109375 31.890625],0
b1,1,0.0631,3.453959,[56 98] ; [21 19],[61.12371134 92.87628866] ; [15.87628866 24.12371134],0
d1,1,0.069789,3.287983,[108  46] ; [22 18],[103.19587629  50.80412371] ; [26.80412371 13.19587629],0
r3,1,0.070747,3.265609,[151   3] ; [37  3],[149.2371134   4.7628866] ; [38.7628866  1.2371134],0
p3,1,0.075949,3.149531,[94 58] ; [18 21],[89.13089005 62.86910995] ; [22.86910995 16.13089005],0
p12,1,0.078288,3.100083,[ 30 123] ; [ 3 36],[ 26.296875 126.703125] ; [ 6.703125 32.296875],0
d3,1,0.079707,3.070873,[104  48] ; [33  7],[108.45833333  43.54166667] ; [28.54166667 11.45833333],0
b5,1,0.09095,2.857486,[81 73] ; [27 13],[85.73195876 68.26804124] ; [22.26804124 17.73195876],0
a3,1,0.10862,2.574183,[124  28] ; [28 12],[120.33333333  31.66666667] ; [31.66666667  8.33333333],0
b3,1,0.114818,2.486617,[46 50] ; [ 5 13],[42.94736842 53.05263158] ; [8.05263158 9.94736842],0
b2,1,0.114818,2.486617,[46 50] ; [ 5 13],[42.94736842 53.05263158] ; [8.05263158 9.94736842],0
s8,1,0.1207,2.408212,[107  45] ; [23 17],[102.91666667  49.08333333] ; [27.08333333 12.91666667],0
v1,1,0.163896,1.937904,[112  40] ; [25 15],[108.45833333  43.54166667] ; [28.54166667 11.45833333],0
d4,1,0.182603,1.776313,[136  15] ; [33  7],[133.60732984  17.39267016] ; [35.39267016  4.60732984],0
u1,1,0.201894,1.628621,[ 35 119] ; [13 27],[ 38.10309278 115.89690722] ; [ 9.89690722 30.10309278],0
v2,1,0.211477,1.561287,[123  29] ; [28 11],[120.16753927  31.83246073] ; [30.83246073  8.16753927],0
b4,1,0.296812,1.088461,[90 64] ; [27 13],[92.87628866 61.12371134] ; [24.12371134 15.87628866],0
n3,1,0.315117,1.009106,[19 10] ; [9 2],[20.3  8.7] ; [7.7 3.3],0
s1,1,0.319976,0.989046,[  6 147] ; [ 3 36],[  7.171875 145.828125] ; [ 1.828125 37.171875],0
a2,1,0.336596,0.923353,[ 42 112] ; [14 26],[ 44.45360825 109.54639175] ; [11.54639175 28.45360825],0
p1,1,0.35571,0.852984,[ 20 133] ; [ 3 36],[ 18.328125 134.671875] ; [ 4.671875 34.328125],0
a5,1,0.420954,0.64765,[127  26] ; [31  9],[125.25388601  27.74611399] ; [32.74611399  7.25388601],0
r2,1,0.434203,0.611555,[150   4] ; [38  2],[149.2371134   4.7628866] ; [38.7628866  1.2371134],0
d5,1,0.456541,0.554362,[129  23] ; [32  8],[127.45833333  24.54166667] ; [33.54166667  6.45833333],0
d2,1,0.541078,0.373545,[83 69] ; [24 16],[84.70833333 67.29166667] ; [22.29166667 17.70833333],0
u2,1,0.61063,0.259259,[20 10] ; [7 5],[19.28571429 10.71428571] ; [7.71428571 4.28571429],0
a7,1,0.618832,0.247513,[104  48] ; [29 11],[105.29166667  46.70833333] ; [27.70833333 12.29166667],0
a8,1,0.61917,0.247036,[ 21 122] ; [ 4 31],[ 20.08426966 122.91573034] ; [ 4.91573034 30.08426966],0
p4,1,0.664465,0.188146,[103  49] ; [25 14],[101.86387435  50.13612565] ; [26.13612565 12.86387435],0
r1,1,0.665053,0.187444,[134  19] ; [34  6],[133.18134715  19.81865285] ; [34.81865285  5.18134715],0
p6,1,0.689255,0.159893,[63 87] ; [15 24],[61.9047619 88.0952381] ; [16.0952381 22.9047619],0
r4,1,0.69851,0.150027,[145   9] ; [37  3],[144.4742268   9.5257732] ; [37.5257732  2.4742268],0
a1,1,0.751207,0.10052,[ 14 140] ; [ 3 37],[ 13.49484536 140.50515464] ; [ 3.50515464 36.49484536],0
s7,1,0.762188,0.091572,[114  36] ; [25  9],[113.31521739  36.68478261] ; [25.68478261  8.31521739],0
a4,1,0.806625,0.059918,[77 76] ; [21 19],[77.68911917 75.31088083] ; [20.31088083 19.68911917],0
s4,1,0.847544,0.036961,[ 25 129] ; [ 7 33],[ 25.40206186 128.59793814] ; [ 6.59793814 33.40206186],0
n1,1,0.865961,0.02849,[11 17] ; [4 7],[10.76923077 17.23076923] ; [4.23076923 6.76923077],0
s5,1,0.875337,0.024612,[80 68] ; [20 18],[79.56989247 68.43010753] ; [20.43010753 17.56989247],0
s6,1,0.935399,0.00657,[131  19] ; [33  5],[130.85106383  19.14893617] ; [33.14893617  4.85106383],0
n2,1,0.981032,0.000565,[23  5] ; [9 2],[22.97435897  5.02564103] ; [9.02564103 1.97435897],0
a6,1,0.99066,0.000137,[98 53] ; [26 14],[98.03141361 52.96858639] ; [25.96858639 14.03141361],0
