Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,0.000569,11.873276,[ 1 14] ; [9 4],[5.35714286 9.64285714] ; [4.64285714 8.35714286],1
p9,1,0.000649,11.630769,[ 2 12] ; [11  3],[6.5 7.5] ; [6.5 7.5],1
s3,1,0.005187,7.812902,[ 4 11] ; [11  3],[7.75862069 7.24137931] ; [7.24137931 6.75862069],0
n6,1,0.007989,7.035897,[ 4 10] ; [11  3],[7.5 6.5] ; [7.5 6.5],0
n5,1,0.014372,5.991873,[ 5 10] ; [11  3],[8.27586207 6.72413793] ; [7.72413793 6.27586207],0
p11,1,0.035078,4.441387,[6 9] ; [11  3],[8.79310345 6.20689655] ; [8.20689655 5.79310345],0
r3,1,0.059635,3.547513,[8 7] ; [12  2],[10.34482759  4.65517241] ; [9.65517241 4.34482759],0
b4,1,0.059635,3.547513,[8 7] ; [12  2],[10.34482759  4.65517241] ; [9.65517241 4.34482759],0
p7,1,0.075475,3.159751,[ 2 13] ; [6 8],[ 4.13793103 10.86206897] ; [ 3.86206897 10.13793103],0
a8,1,0.118648,2.435079,[ 1 14] ; [ 4 10],[ 2.5862069 12.4137931] ; [ 2.4137931 11.5862069],0
a4,1,0.12663,2.333333,[10  4] ; [6 8],[8. 6.] ; [8. 6.],0
b3,1,0.146976,2.103355,[3 9] ; [6 5],[4.69565217 7.30434783] ; [4.30434783 6.69565217],0
b2,1,0.146976,2.103355,[3 9] ; [6 5],[4.69565217 7.30434783] ; [4.30434783 6.69565217],0
s2,1,0.1593,1.98086,[ 2 13] ; [5 9],[ 3.62068966 11.37931034] ; [ 3.37931034 10.62068966],0
a5,1,0.183677,1.767619,[12  3] ; [8 6],[10.34482759  4.65517241] ; [9.65517241 4.34482759],0
r4,1,0.195646,1.674579,[ 4 11] ; [7 7],[5.68965517 9.31034483] ; [5.31034483 8.68965517],0
p8,1,0.215869,1.531624,[ 1 14] ; [ 3 10],[ 2.14285714 12.85714286] ; [ 1.85714286 11.14285714],0
s5,1,0.22052,1.500987,[ 3 12] ; [5 7],[ 4.44444444 10.55555556] ; [3.55555556 8.44444444],0
p6,1,0.262125,1.257498,[ 2 13] ; [4 9],[ 3.21428571 11.78571429] ; [ 2.78571429 10.21428571],0
a6,1,0.340405,0.908906,[7 8] ; [9 5],[8.27586207 6.72413793] ; [7.72413793 6.27586207],0
v1,1,0.356981,0.848485,[ 4 10] ; [ 2 12],[ 3. 11.] ; [ 3. 11.],0
p4,1,0.359339,0.840201,[ 4 11] ; [6 8],[5.17241379 9.82758621] ; [4.82758621 9.17241379],0
p3,1,0.359339,0.840201,[ 4 11] ; [6 8],[5.17241379 9.82758621] ; [4.82758621 9.17241379],0
s6,1,0.381133,0.767045,[ 5 10] ; [6 6],[6.11111111 8.88888889] ; [4.88888889 7.11111111],0
n4,1,0.473521,0.513747,[10  5] ; [11  3],[10.86206897  4.13793103] ; [10.13793103  3.86206897],0
p5,1,0.500802,0.453236,[ 1 14] ; [ 2 12],[ 1.55172414 13.44827586] ; [ 1.44827586 12.55172414],0
a3,1,0.564144,0.332579,[13  2] ; [11  3],[12.4137931  2.5862069] ; [11.5862069  2.4137931],0
v2,1,0.572645,0.318277,[7 8] ; [8 6],[7.75862069 7.24137931] ; [7.24137931 6.75862069],0
v3,1,0.621705,0.243478,[ 2 12] ; [ 3 11],[ 2.5 11.5] ; [ 2.5 11.5],0
s4,1,0.683949,0.165714,[ 3 12] ; [ 2 12],[ 2.5862069 12.4137931] ; [ 2.4137931 11.5862069],0
d3,1,0.683949,0.165714,[12  3] ; [12  2],[12.4137931  2.5862069] ; [11.5862069  2.4137931],0
a2,1,0.683949,0.165714,[ 3 12] ; [ 2 12],[ 2.5862069 12.4137931] ; [ 2.4137931 11.5862069],0
s7,1,0.785351,0.074176,[4 9] ; [5 9],[4.33333333 8.66666667] ; [4.66666667 9.33333333],0
r1,1,0.812126,0.056494,[6 9] ; [5 9],[5.68965517 9.31034483] ; [5.31034483 8.68965517],0
b5,1,0.836687,0.042491,[8 7] ; [8 6],[8.27586207 6.72413793] ; [7.72413793 6.27586207],0
a7,1,0.857541,0.032222,[8 7] ; [7 7],[7.75862069 7.24137931] ; [7.24137931 6.75862069],0
b1,1,0.875948,0.02437,[9 6] ; [8 6],[8.79310345 6.20689655] ; [8.20689655 5.79310345],0
n2,1,0.905581,0.014069,[5 6] ; [1 1],[5.07692308 5.92307692] ; [0.92307692 1.07692308],0
p1,1,0.940754,0.005524,[ 2 13] ; [ 2 12],[ 2.06896552 12.93103448] ; [ 1.93103448 12.06896552],0
d4,1,0.959668,0.002557,[14  1] ; [13  1],[13.96551724  1.03448276] ; [13.03448276  0.96551724],0
u1,1,0.959668,0.002557,[ 1 14] ; [ 1 13],[ 1.03448276 13.96551724] ; [ 0.96551724 13.03448276],0
r2,1,1.0,0.0,[10  3] ; [10  3],[10.  3.] ; [10.  3.],0
